SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,PERCENT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels,Labels,FIPS,Latitude,Longitude
Colquitt County,635,87.15,45.32868077,18.6,9507,55.7,35.7,8.6,8.2,1.2,38.43242391,38.51,0,0,246.7835006,6111.541055,297.2064405,1963.749556,908.1285263,163.008316,34.49089303,622.0632471,0,612.0260482,7.641404228,195.212009,7540.002735,405.7425108,0,0,0.026850742,0.664947933,0.032336173,0.213660461,0.098806143,0.017735353,0.003753024,0.067681708,0,0.066589881,0.000830967,0.021239087,0.82036815,0.044145367,1025,10,7,13071,,
Columbia County,636,91.89,12.2951115,22.7,29525,56.4,36.7,6.9,5.9,1.1,34.84550025,48.51,0,25.46345876,93.73186486,6117.797094,372.9674835,3617.26566,715.4532213,152.7253524,0,183.8866544,0,561.332294,4.051968501,101.2613368,5242.747231,367.7638747,0,0.000912447,0.00335851,0.21919729,0.013363251,0.129604742,0.025634208,0.005471973,0,0.006588654,0,0.020112108,0.000145301,0.003628112,0.187844877,0.01317663,1072,6,2,13073,,
Commerce City,771,91.67,23.75690608,20.6,1818,67.7,29.5,2.8,3.5,1.833333333,44.96937883,63.64,2.993289329,0,352.9080583,6090.118069,232.7961331,2248.266964,783.32456,207.8156491,0,357.3611331,1.698019802,659.2183718,26.29344884,208.2078163,7083.916942,284.3843784,0.00180418,0,0.212981298,3.675390539,0.14049505,1.356831683,0.472739274,0.125418042,0,0.215665567,0.001023102,0.397838284,0.015869087,0.125654565,4.275148515,0.171628163,1018,11,13,,34.203997,-83.457106
Cook County,637,94.39,41.36072752,17.3,3162,65,30.5,4.6,5.2,1.833333333,35.40219583,42.57,0,0,543.9784915,5612.075481,172.2130582,2270.674997,913.8601834,127.8620588,0,441.581556,0,639.0008444,4.630970904,224.8998166,6828.28969,514.6410784,0,0,0.180904491,1.866337761,0.057270715,0.755129665,0.303912081,0.042520557,0,0.146850095,0,0.212504744,0.001540164,0.074791271,2.270796964,0.171148008,967,0,0,13075,,
Coweta County,638,91.62,19.8856474,21.3,23601,59.3,33,7.7,7.1,1.4,28.20933885,50.87,0,0,92.08286895,6270.857731,229.116037,4352.1687,764.9020834,136.4409233,2.491347824,393.799914,0,750.7774954,4.727886954,92.49835219,5003.759968,478.6864976,0,0,0.004101097,0.279275878,0.010203805,0.193826109,0.034065082,0.006076437,0.000111012,0.01753824,0,0.033436295,0.000210584,0.004119317,0.222844795,0.021318588,1073,12,5,13077,,
Crawford County,639,78.26,37.19925972,17.9,1737,44.2,45.1,10.7,10,2.7,40.25403029,44.33,0,29.47126655,567.4387392,5744.96772,88.37404721,2803.421042,731.9419459,149.4927288,3.466177317,397.6161831,2.590673575,731.0702303,9.01263673,107.7561025,7032.185953,557.3256534,0,0.018002303,0.346632124,3.509447323,0.05398388,1.712533103,0.447121474,0.091318365,0.002118595,0.242895797,0.001583189,0.446591825,0.005503742,0.065826137,4.295774324,0.340454807,995,11,13,13079,,
Crisp County,640,90.82,52.2428884,18.9,3840,43.8,39.7,16.5,14.1,2.1,39.63464696,37.22,0,0,318.7487214,5841.13212,358.2799271,3012.896341,973.3185911,234.7799401,0.2734375,426.4746953,0,696.4505547,9.382182292,175.7540443,6717.805729,529.0467188,0,0,0.0865,1.585109375,0.097226563,0.817611979,0.264130208,0.063713542,7.29E-05,0.115731771,0,0.188994792,0.002546875,0.047695313,1.823013021,0.143567708,994,0,0,13081,,
Dade County,641,87.12,20.00971345,19.9,2179,48.5,41.9,9.6,9.1,1.833333333,32.37606838,51.02,0,0,436.3212024,6213.417834,222.2221937,3252.144043,759.5186966,191.3527994,0,250.0025838,0,722.7151905,6.750403855,196.1371868,5802.171179,387.0201285,0,0,0.210174392,2.992973841,0.107044516,1.566544286,0.365855897,0.09217531,0,0.120426801,0,0.348127581,0.003253786,0.094479119,2.794878385,0.186424966,959,13,13,13083,,
Dalton Public Schools,772,80,23.97863818,19.8,7927,62.7,31.4,6,6.6,2.9,37.25709372,41.94,0,48.57154535,186.462634,7074.562213,600.0454018,4100.608383,839.6194739,190.8536407,2.099423489,374.4047193,0,683.6742803,0,63.77986754,6287.391573,383.0342765,0,0.006096884,0.023407342,0.888095118,0.075326101,0.514763467,0.10540053,0.023958622,0.000263656,0.047000126,0,0.085824398,0,0.008006812,0.789278416,0.048083764,970,10,16,,34.775517,-84.986244
Dawson County,642,95.91,19.74540311,21.3,3764,54,39.2,6.8,6.8,1,35.86979059,54.75,0,4.401317747,281.654296,7192.852272,947.4653135,6649.254697,1123.322978,261.9660096,0,476.9168783,0,785.33733,11.6580898,279.1898778,5105.453507,639.7292295,0,0.001230074,0.078695537,2.009736982,0.264729012,1.857853348,0.313865569,0.073196068,0,0.133254516,0,0.219428799,0.003257173,0.078007439,1.426503719,0.178746015,1064,17,9,13085,,
Decatur City,773,94.88,7.638279192,24.9,5823,73.3,23.3,3.3,2.8,1.833333333,46.4360458,77.3,61.99032286,0,341.0204414,8186.214475,696.7652378,7264.098812,1135.715559,260.483299,254.2597338,711.7298884,0,1051.88779,162.4789129,94.34495964,5425.554697,446.0780199,0.01077108,0,0.059256397,1.422452344,0.121071613,1.26222394,0.197343294,0.045261892,0.044179976,0.123671647,0,0.182778636,0.02823287,0.016393612,0.942754594,0.077511592,1147,17,9,13087,,
Decatur County,643,88.83,49.20350011,19.1,4870,49.8,37.1,13.1,12.3,0.9,32.04201102,39.71,0,12.44744353,143.4995133,5624.353487,246.3589035,3414.143341,993.6839487,212.77154,0,440.079731,0,623.2980698,9.387268994,153.8096427,6156.179877,465.7960246,0,0.002743326,0.031622177,1.239390144,0.054287474,0.752344969,0.218969199,0.046887064,0,0.096977413,0,0.137351129,0.002067762,0.033893224,1.356585216,0.10264271,1018,16,0,,33.77483,-84.29631
DeKalb County,644,75.97,37.52415169,20,107328,59.4,30.6,10,11.9,5.7,40.07427928,42.31,0,0,244.8365544,7119.68299,347.1145274,5690.072889,1075.099176,132.3959117,0.206001137,695.5333804,1.30849359,692.777826,3.11196752,98.60317606,4986.247755,547.9562843,0,0,0.002447917,0.071184686,0.003470576,0.056891026,0.010749199,0.001323699,2.05E-06,0.006954196,1.30E-05,0.006926617,3.11E-05,0.000985856,0.049853999,0.005478626,966,8,10,13089,,
Dodge County,645,90.87,43.78598036,18.6,3167,54.1,38.5,7.4,7.9,2,27.22288439,44.61,0,0,255.3162078,5930.905039,246.2440638,2034.093382,704.0221913,163.5120019,0,451.2169087,0,470.3584654,8.673223871,128.2571961,7287.880644,536.9827692,0,0,0.085446795,1.984906852,0.082412378,0.680754657,0.235617303,0.054723713,0,0.15101042,0,0.157417114,0.0029018,0.042923903,2.439049574,0.179712662,979,0,0,13091,,
Dooly County,646,87.64,60.47326906,15.9,1248,46.3,40.5,13.2,12.9,1.833333333,49.29859719,28,0,0,668.5848878,5255.953165,430.5694551,4259.831659,944.5578285,204.991867,0,273.8540144,0,763.1057772,12.3985016,435.4020032,5005.407853,509.2520753,0,0,0.583918269,4.590352564,0.376041667,3.720376603,0.82494391,0.179030449,0,0.239174679,0,0.666466346,0.010825321,0.380264423,4.371538462,0.444759615,795,13,6,13093,,
Dougherty County,647,83.3,62.54071661,16.9,14749,66,25.3,8.7,9.7,2.7,43.54910009,29.6,0,0,344.7314842,5379.397087,882.4625758,3022.263059,981.1123913,171.0379131,1.694594888,307.0178527,0,706.5597424,6.035560377,65.5805736,6350.866703,371.6408068,0,0,0.025297986,0.394760323,0.064758289,0.221785206,0.071997424,0.012551359,0.000124076,0.022530341,0,0.051850295,0.000442742,0.00481253,0.46605058,0.027272357,912,5,15,13095,,
Douglas County,648,89.37,27.84254353,19.1,29001,59,33.1,7.9,8.7,2,41.96481991,42.82,0,41.76661736,140.8532561,6131.774859,481.4748047,3281.79965,552.1827075,179.3978015,1.290441709,314.5654333,0,699.0259288,3.381968553,90.26904521,5752.593221,415.2253457,0,0.001552015,0.005233957,0.227845247,0.017890762,0.12194545,0.020517913,0.006665977,4.79E-05,0.011688562,0,0.025974622,0.000125513,0.003354367,0.213755733,0.015429123,995,6,2,13097,,
Dublin City,774,93.88,66.12073,16.7,2404,53.4,37.9,8.7,11.1,1.833333333,58.29903978,26.24,0,0,493.4183319,4829.57317,384.8525957,4449.427866,1000.748644,114.937787,0,406.9724251,0,713.0225874,5.063094842,160.2808985,4598.115641,580.7222629,0,0,0.229604825,2.247358569,0.179084859,2.07046589,0.465682196,0.053485857,0,0.18937604,0,0.331792845,0.002354409,0.074584027,2.139654742,0.270228785,937,13,6,,32.540445,-82.903754
Early County,649,89.08,61.29032258,16.6,1922,53.5,35.9,10.6,9.2,2.2,25.43664655,48.75,0,0,320.1041831,7364.877752,220.7499844,4172.157274,1196.401394,210.6811811,0.17169615,334.5420916,0,680.0430801,9.724609781,220.010078,6554.973985,500.0381894,0,0,0.172653486,3.972424558,0.119068678,2.250353798,0.645306972,0.113636837,9.37E-05,0.180442248,0,0.366800208,0.005244537,0.118668054,3.535582726,0.269708637,972,13,6,13099,,
Echols County,650,93.18,48.2208589,17.2,855,68.1,28.7,3.3,3.4,1.833333333,22.22222222,34.88,0,0,734.0749942,6005.762784,86.89203509,2393.478117,838.6033801,167.8039415,0,237.0717778,0,606.4807485,12.25388304,280.4465263,7907.065497,790.093883,0,0,0.863614035,7.065602339,0.102222222,2.815859649,0.986596491,0.197415205,0,0.278912281,0,0.713508772,0.014421053,0.32994152,9.302432749,0.929520468,955,11,13,13101,,
Effingham County,651,90.77,16.65991411,21.4,13136,58.4,36,5.6,6.1,1,33.77651351,46.83,0,11.40646392,302.6428144,5833.363828,450.5467532,2939.936693,663.6239449,159.7280405,0,592.488447,24.85443514,619.601253,4.60143042,143.9826028,6525.616245,453.9248972,0,0.000921133,0.024434379,0.470964525,0.036375609,0.237359927,0.053578715,0.012895859,0,0.047834957,0.002006699,0.050024361,0.000371498,0.011624543,0.526854446,0.036648143,1049,5,15,13103,,
Elbert County,652,87.01,38.68739206,17.5,3035,57.4,34.7,7.9,6.4,1.833333333,38.81005726,44.08,0,133.7170643,357.4897825,6290.918204,476.6624646,3236.001081,682.1432949,182.5010643,0,502.3967479,5.826029654,864.4437661,7.126846787,146.6553839,7082.140362,591.6986161,0,0.045591433,0.121884679,2.144876442,0.162517298,1.103308072,0.232576606,0.062224053,0,0.171291598,0.00198682,0.294731466,0.002428336,0.050003295,2.414639209,0.201739703,968,0,0,13105,,
Emanuel County,653,84.19,49.43991853,19.2,4136,56.2,35.3,8.4,8.5,1.4,31.13428006,47.21,0,0,348.8134599,6135.106927,259.2585397,2041.783581,681.1999275,171.2635155,0,522.9293351,3.180851064,676.3795116,27.6146059,379.8926185,7121.030464,476.3352394,0,0,0.088375242,1.554371373,0.065684236,0.517299323,0.172587041,0.043389749,0,0.132487911,0.000805126,0.171366054,0.006997099,0.096247582,1.804163443,0.120681818,968,0,0,13107,,
Evans County,654,82.31,55.09641873,19.41111111,1943,53.6,34.3,12,13.1,1.833333333,58.64144454,44.04,0,0,480.9516006,5231.57966,386.5330365,2177.145419,974.7789604,208.2388935,0,454.3947195,0,774.8869068,29.02627895,194.1188317,6821.601132,482.6917138,0,0,0.257467833,2.800633042,0.206922285,1.165496655,0.521832218,0.111477097,0,0.243252702,0,0.41482244,0.015537828,0.103916624,3.651821925,0.258399382,950,11,13,13109,,
Fannin County,655,95.18,25.48535122,21.6,3049,58.1,33.8,8.1,9.1,1.4,30.5791313,53.46,0,19.84816989,491.3944506,7363.273755,496.6161233,6969.010712,863.803283,241.2698295,0.017579534,367.9107937,0,809.1513611,4.991236471,194.491207,4959.443424,679.9320859,0,0.006966218,0.172479501,2.584512955,0.174312889,2.446126599,0.30319449,0.084686783,6.56E-06,0.129137422,0,0.284011151,0.001751394,0.068265005,1.740767465,0.238655297,1043,17,9,13111,,
Fayette County,656,91.3,9.825414145,22.9,21132,65.5,29.5,4.9,4.7,0.8,30.19268864,62.57,0,0,138.7153502,7167.830404,630.1717571,5388.604235,724.5754249,168.1217935,0,593.2794028,0,684.188577,4.829464793,46.80654694,5282.413165,372.024054,0,0,0.006757051,0.349156256,0.030696574,0.262487223,0.035295287,0.008189476,0,0.028899773,0,0.033328128,0.000235188,0.002279955,0.257314499,0.018121806,1101,12,5,13113,,
Floyd County,657,94.63,28.5118525,19.8,9704,68.6,26.3,5.1,6.1,0.8,26.99768642,50.25,0,0,382.4489685,6582.460932,385.9635738,4012.770579,1103.849199,158.3400052,12.96196723,340.0184481,0,794.4248032,11.91102226,177.2289293,6763.957131,540.0460336,0,0,0.041498351,0.71424258,0.041879637,0.435413232,0.11977535,0.017180544,0.001406636,0.036894064,0,0.086200536,0.001292251,0.019230214,0.733936521,0.058598516,1064,10,7,13115,,
Forsyth County,658,96.14,5.040572411,24.6,51917,63.7,31.4,4.8,4.1,0.4,36.80385334,67.05,45.67771635,6.4701304,81.04538629,6764.203051,404.686626,4609.690375,691.3885367,70.99920874,1.601390681,200.0898033,14.39608413,557.5643521,16.38105052,81.73979544,4839.797253,399.166203,0.000899513,0.000127319,0.001595816,0.133195485,0.007968873,0.090770461,0.01361423,0.001398001,3.16E-05,0.003939943,0.000283529,0.010979063,0.00032263,0.001609492,0.095301539,0.007860046,1130,2,4,13117,,
Franklin County,659,91.64,31.41097424,18.6,3826,56.5,34.8,8.7,9.5,2,35.19465199,55.65,0,33.63622844,318.8177784,6841.930243,463.3007919,3336.152376,691.6466466,161.4255463,0,363.8745086,0,641.5823393,6.580373758,272.1006587,7020.688186,756.6774778,0,0.009375327,0.088857815,1.906892316,0.129124412,0.9298092,0.192767904,0.044989545,0,0.101414009,0,0.178813382,0.001834814,0.075836383,1.956714584,0.21089127,986,0,0,13119,,
Fulton County,660,85.46,21.93883112,23.5,99581,62.1,30.6,7.3,8.9,2.1,40.53712,53.63,0,7.059515872,187.2467545,6828.023008,813.6299781,6768.430554,874.176761,154.3128363,7.905597152,667.3867639,1.233079704,605.3874659,0.111790904,93.88209658,4023.26485,539.1817698,0,7.54E-05,0.002001185,0.072974664,0.008695735,0.072337795,0.009342746,0.00164921,8.45E-05,0.007132686,1.32E-05,0.00647011,1.21E-06,0.001003404,0.042998765,0.005762545,1033,8,10,13121,,
Gainesville City,776,86.09,31.16966581,19.8,8375,57.9,31.9,10.2,10.2,2.4,39.32562049,42.8,0,19.63101851,320.7576943,5644.908116,456.5445194,3923.386537,807.6377743,131.0018412,103.559083,311.463711,0,701.1815594,9.553084179,96.93694687,5278.593791,503.2365767,0,0.002287761,0.037375522,0.657761194,0.053197612,0.457164179,0.094108657,0.015264478,0.012066866,0.036292537,0,0.081703881,0.001112836,0.011295522,0.615077015,0.058638806,984,10,16,,34.298409,-83.832855
Gilmer County,661,90.31,30.08674102,19.7,4289,52.7,36.7,10.6,11.4,1.1,41.57679435,52.47,0,9.375218,293.4803264,6403.203586,302.4214969,4561.208324,832.705211,154.7282024,34.01190954,398.6180228,0,652.8807904,8.630424341,135.3211914,5172.793658,633.4114922,0,0.002242947,0.070209839,1.531867568,0.072350198,1.091198415,0.199211938,0.037015621,0.008137095,0.095362555,0,0.156192586,0.00206575,0.032373514,1.237509909,0.151534157,1003,16,9,13123,,
Glascock County,662,92.11,27.96934866,19.41111111,548,48,41.4,10.6,9.1,1.833333333,45.35452323,40,0,0,913.6364964,6434.551934,328.9594526,3087.525036,1033.131277,222.9061861,0,454.4740511,0,708.6313869,6.374160584,432.0411679,7604.824818,779.0910766,0,0,1.736952555,12.2329927,0.62540146,5.869817518,1.964124088,0.423777372,0,0.864014599,0,1.347208029,0.012116788,0.821368613,14.45784672,1.481167883,1025,11,13,13125,,
Glynn County,663,93.51,35.16285625,20.8,13842,56.3,35.8,7.9,8.9,1.1,35.90265988,52.62,22.39132568,47.57127799,165.699162,6599.78206,434.281382,5777.987935,952.3026737,156.5686584,0,272.6979244,26.64458821,576.2256271,5.713263979,107.6989669,4258.535544,421.9757188,0.001719405,0.003653374,0.012724317,0.506817656,0.033349949,0.443709724,0.073130328,0.012023552,0,0.020941338,0.002045947,0.044250108,0.00043852,0.008270481,0.327026441,0.032404999,1053,5,15,13127,,
Gordon County,664,93.5,26.09184329,19.4,6649,54.8,34.8,10.4,10.7,1.1,33.61572348,60.91,0,0.765075951,213.7003519,6091.102122,413.4907069,3026.951336,927.4660054,147.3185817,5.348774252,275.6721477,0,735.4399218,4.445480523,139.4542803,6504.528651,498.6908813,0,0.000120319,0.033722364,0.961197173,0.065250414,0.477662806,0.146357347,0.023247105,0.000843736,0.043501278,0,0.116055046,0.000700857,0.022006317,1.026437058,0.078694541,1011,16,16,13129,,
Grady County,665,89.78,41.0850968,18,4688,61.8,30.9,7.3,6.5,1.3,36.71713147,43.43,87.62665956,0,176.4839526,5657.336977,407.6846715,1996.012152,804.3811007,172.5500661,0.023523891,330.3970798,0,623.4487052,6.344319539,135.1333148,6708.287116,360.2751451,0.01912756,0,0.038526024,1.234957338,0.088995307,0.43571459,0.17559087,0.037666382,4.27E-06,0.07212244,0,0.136094283,0.001384386,0.02949872,1.464370734,0.078645478,923,0,0,13131,,
Greene County,666,89.38,34.39412485,17.5,2544,63.8,30,6.1,5.1,1.833333333,57.72399588,61.7,0,5.964646226,565.8627241,5546.897476,376.8257193,10496.94856,783.7527358,177.8405582,9.275483491,392.3499017,0,539.2988758,8.242330975,222.0519104,4257.356525,608.2845401,0,0.002389937,0.226890723,2.224095912,0.151092767,4.208879717,0.314257075,0.071308962,0.003718553,0.157319182,0,0.216238208,0.003305818,0.089033019,1.707040094,0.243899371,988,17,14,13133,,
Griffin-Spalding County,726,90.24,44.27040396,18,10842,55.1,35.2,9.7,12.2,1.9,47.89016444,39.62,0,54.52286755,213.4474534,5570.974805,685.2644189,2747.069504,856.8396901,162.4670374,0,222.6496015,0,810.4780585,6.164502859,152.5367202,6370.44097,447.6578316,0,0.005574617,0.021825309,0.56962922,0.070068253,0.280886368,0.087611142,0.016612249,0,0.022766095,0,0.082871241,0.000629958,0.015596753,0.651374285,0.04577292,959,10,7,13255,,
Gwinnett County,667,83.23,16.5754051,22.5,195131,68.5,25.7,5.7,6.4,3,37.63405144,51.96,0,5.422751895,179.6402331,5850.168118,515.816408,3890.204897,666.3498511,123.1497719,0,290.0487439,0.265836746,765.3503026,2.56275333,94.18910019,5601.048429,583.5195843,0,2.90E-05,0.000960175,0.03126843,0.002756968,0.020792647,0.003561556,0.000658224,0,0.001550292,1.43E-06,0.004090688,1.37E-05,0.000503405,0.029936914,0.003118828,1077,3,3,13135,,
Habersham County,668,95.13,25.21790516,25.8,7225,64.3,30.5,5.2,6,1.833333333,33.57970435,48.38,0.104152249,4.056182699,153.6585619,7076.06404,283.9692941,3427.506949,1049.898735,231.5792055,0,322.824746,0,703.6456097,5.946888581,197.9000111,6853.145351,573.746126,1.52E-05,0.000577163,0.021885121,1.007842215,0.040445675,0.488179931,0.149536332,0.032984083,0,0.045979239,0,0.100220069,0.000847059,0.028186851,0.976092734,0.081719031,1060,10,16,13137,,
Hall County,669,88.89,18.77245509,21.1,28619,52.6,37.9,9.5,9.3,1.8,34.42979909,46.24,0,28.90796674,189.6371449,6333.754642,470.1909368,3752.036507,648.7378458,178.7721758,5.470341032,426.3982934,0,618.3213973,5.22804186,110.4469003,5768.458192,483.5667039,0,0.001029735,0.006754254,0.225585101,0.016746567,0.133633949,0.023105629,0.006367099,0.000194975,0.015186764,0,0.022022433,0.00018624,0.00393375,0.205451274,0.017222824,1039,6,2,13139,,
Hancock County,670,86.89,62.9076087,15.6,800,45.1,38.9,16,14.8,1.833333333,30.71979434,55.56,0,-9.42625,1022.299475,6310.300338,1078.244763,8593.548513,2367.802863,243.4142375,0,329.928225,0,829.2662875,17.7694625,208.245,5787.165,906.8069375,0,-0.012675,1.3740625,8.4815875,1.44925,11.5504625,3.182525,0.327175,0,0.44345,0,1.1146,0.0238875,0.2799,7.77845,1.218825,883,17,6,13141,,
Haralson County,671,97.64,37.3252859,20.3,3411,63.4,32.3,4.4,8.4,1.833333333,30.80985915,46.95,0,0,378.8042158,6951.83586,368.6382087,3144.350557,851.4178305,208.8756523,0,322.7377045,0,723.1913867,5.948654354,174.7042334,8908.895632,544.8801671,0,0,0.119797713,2.198557608,0.116584579,0.994418059,0.269264145,0.066056875,0,0.102066843,0,0.228712987,0.001882146,0.05525066,2.81748754,0.1723219,991,0,0,13143,,
Harris County,672,89.24,14.57819905,20.7,5552,65.9,29.2,4.9,6.7,2,26.5576324,57.44,0,4.103951729,317.2888311,6185.073667,331.5661023,4851.677224,691.5572839,171.4946704,1.327633285,488.2918228,5.763688761,735.6880836,7.757112752,107.5889625,5172.85969,798.3321488,0,0.000769092,0.059429035,1.158470821,0.062101945,0.908724784,0.129529899,0.032121758,0.000248559,0.091457133,0.00107889,0.137795389,0.00145353,0.020151297,0.968881484,0.149528098,1053,16,9,13145,,
Hart County,673,95.22,34.04379562,18.8,3595,56.1,36.7,7.2,7.5,1.833333333,37.11762171,51.61,0,0,204.5131043,6235.157855,374.3015438,4117.449024,951.7964478,144.6360501,21.418637,360.9744645,0,657.8914771,6.521109875,125.1019694,5318.799166,560.0035744,0,0,0.058937413,1.796876217,0.107869263,1.186584145,0.274292072,0.041682893,0.006172462,0.104027816,0,0.18959388,0.001880389,0.036052851,1.532795549,0.161385257,977,16,9,13147,,
Heard County,674,88.16,33.85155466,18.5,2115,62.8,30.9,6.2,6.6,1.833333333,30.4964539,49.28,0,0,498.6095697,5996.326118,272.136052,3974.026345,1065.5406,237.5820567,0,343.987773,0,827.1391158,6.505513002,164.2414043,6109.177305,471.8446336,0,0,0.249054374,2.995167849,0.135933806,1.985026005,0.532236407,0.118671395,0,0.171820331,0,0.413158392,0.003248227,0.082037825,3.051536643,0.235687943,994,13,6,13149,,
Henry County,675,88.8,23.99615123,19.3,47246,60,33,7,8.7,2.2,40.53545791,36.15,0,45.8371659,106.039401,5767.852506,345.7126741,3478.351359,781.7782782,131.4120527,0,338.2254153,0,627.1134799,2.326607755,115.0938024,5218.873619,394.0527439,0,0.001061466,0.002455658,0.133570673,0.008005969,0.080550946,0.018104178,0.003043221,0,0.007832621,0,0.014522499,5.40E-05,0.002665411,0.120857639,0.009125429,999,2,4,13151,,
Houston County,676,89.61,26.1139932,20.5,31897,62.6,31.4,6,6.7,1.1,31.26729386,48.73,0,52.71381196,129.7041389,6055.26373,358.5118441,2825.071844,757.0532567,132.0276791,0,459.465023,0,681.7673302,0,133.9986917,6413.266012,416.393795,0,0.001786061,0.004394457,0.205158792,0.01214691,0.095716525,0.025649748,0.004473148,0,0.015567295,0,0.023099038,0,0.004539925,0.21728846,0.01410791,1045,6,2,13153,,
Irwin County,677,93.65,40.72004966,17.6,1691,68.4,24.7,6.9,7,1.833333333,21.59284497,41.38,113.1805263,0,551.829113,6854.440071,420.5616381,2421.505671,914.636304,134.6966824,3.548196334,376.498285,0,575.7182259,11.80231815,287.0725843,7956.142519,472.4732525,0.069603785,0,0.339379066,4.215523359,0.258645772,1.489243051,0.562507392,0.082838557,0.002182141,0.231549379,0,0.354068598,0.007256062,0.176552336,4.893075103,0.290573625,938,11,13,13155,,
Jackson County,678,93.5,19.52440551,20.6,8478,60.3,33.4,6.3,6.5,0.8,48.70080964,46.02,0,0,280.4594279,6431.289988,605.7935563,4785.723422,808.2995942,139.5662291,24.83726469,269.0853515,0,564.2730054,3.354399623,158.1582142,5465.411536,719.8295211,0,0,0.034386648,0.788535032,0.074275773,0.586772824,0.099104742,0.017112527,0.00304553,0.032992451,0,0.069184949,0.000411654,0.019391366,0.670109696,0.088257844,1038,10,16,13157,,
Jasper County,679,94.58,34.38596491,18.2,2442,62.3,33,4.8,4.6,1.833333333,47.7739726,30.26,0,12.44405405,297.5132596,5976.303137,273.6421048,3916.522068,813.4948157,118.7967322,0,467.3012203,0,654.4903808,21.69830876,176.6619328,6320.076167,815.6241237,0,0.005397215,0.129017199,2.591633907,0.118665029,1.698407043,0.352772318,0.051515152,0,0.202645373,0,0.283820639,0.009410319,0.076609337,2.740708436,0.353697789,958,13,13,13159,,
Jeff Davis County,680,93.03,41.55393687,17.8,3053,59.9,32.6,7.5,14.6,1.833333333,31.16675546,59.89,0,0,366.316528,5605.101998,347.1257157,1933.883249,689.732604,149.1114052,0,439.8394333,0,507.2660793,8.596672126,189.2131346,7053.420242,617.5040288,0,0,0.123838847,1.894896823,0.117350147,0.653779889,0.233173927,0.050409433,0,0.148696364,0,0.171490337,0.002905339,0.06396659,2.38452342,0.208758598,995,0,0,13161,,
Jefferson City,779,99.31,8.90960891,22.7,4012,63.3,31.8,5,4.1,1.833333333,32.91113792,59.03,0,0,250.7066924,5917.018724,275.0176595,2855.00681,503.8566201,138.8720115,0,293.8575673,0,540.0775972,7.257559821,90.12600199,5269.843968,231.6913285,0,0,0.064020439,1.510984546,0.070229312,0.729062812,0.1286665,0.035463609,0,0.07503988,0,0.137916251,0.001854437,0.023015952,1.345720339,0.059165005,1110,16,0,13163,,
Jefferson County,681,90.4,51.20106762,19.41111111,2374,55.1,35,10,8.9,1.833333333,48.91428571,37.78,0,24.2890059,298.6562805,6716.797296,293.8115838,3554.272772,1043.48639,232.2855055,0,338.0074179,25.27379949,731.3786226,0,230.106011,7116.542965,638.5949663,0,0.010800337,0.132796967,2.986571188,0.13064027,1.580379107,0.463976411,0.103285594,0,0.150290649,0.011238416,0.32520219,0,0.102316765,3.164313395,0.283946925,890,11,13,,34.1227,-83.5875
Jenkins County,682,79.45,52.58701787,17.9,1121,57.9,34.1,8,6.8,1.833333333,19.213732,48.28,0,0,488.0196967,6752.738822,691.9788849,3604.023202,846.1603479,105.7778858,302.4503836,269.9996343,0,904.1008742,11.89122212,260.4098037,7525.704728,790.5055397,0,0,0.455245317,6.299197145,0.645504014,3.361962533,0.789330955,0.09867083,0.282140946,0.251864407,0,0.84338091,0.011088314,0.242917038,7.020249777,0.737413024,953,11,13,13165,,
