SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,PERCENT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels,Labels,FIPS,Latitude,Longitude
Berrien County,610,88.29,36.71641791,21.1,3223,54.3,37.2,8.5,8.7,1.1,28.59266601,46.2,0,0,276.9407136,5162.559836,358.8621874,1841.501948,642.6947068,149.356829,0,259.9022277,0,489.4968228,7.833028235,197.85861,6804.775675,602.8321688,0,0,0.091070431,1.697651257,0.118008067,0.605556935,0.211343469,0.049115731,0,0.085466956,0,0.160964939,0.00257524,0.065063605,2.237676078,0.198234564,1012,0,0,13019,,
Bibb County,611,76.06,54.73251029,17.7,23508,59.5,31.5,9.1,11.3,2.9,52.19221835,26.53,25.52322614,51.54322954,253.4761953,5465.386001,685.6989718,3886.227695,866.1250978,183.6471512,0.69612132,345.8775583,0.88850604,742.4313442,5.791281691,96.91623235,5435.589246,386.6155505,0.001213204,0.002449804,0.012046963,0.259749447,0.032588906,0.184697975,0.041163859,0.008728093,3.32E-05,0.016438234,4.21E-05,0.035285009,0.000275225,0.004606092,0.258333333,0.018374596,915,12,5,13021,,
Bleckley County,612,95.81,29.64360587,19,2541,64.4,30.3,5.3,5.3,1.833333333,28.07520714,44.81,0,0,383.717623,5741.516025,158.2154978,1703.174754,720.4607517,121.1349784,0,310.6926604,0,630.4004447,11.47256985,184.6665958,7567.258953,690.8326407,0,0,0.160149547,2.396292798,0.066033058,0.710842188,0.300692641,0.050558835,0,0.129673357,0,0.263105077,0.004789453,0.077072019,3.158288076,0.28832743,1107,11,13,13023,,
Brantley County,613,94.38,36.98798891,20.7,3489,58.6,34.8,6.6,7.7,1.6,28.38547614,52.08,0,0,278.4175265,5693.037214,323.1218372,1641.530476,996.8803439,192.9764173,0,336.2442906,27.2394239,735.522356,6.435454285,227.3657036,7734.186586,722.633597,0,0,0.085614789,1.750627687,0.099360848,0.504775007,0.306543422,0.059340785,0,0.103396389,0.008374893,0.226176555,0.001977644,0.069916882,2.378286042,0.222212668,1034,0,0,13025,,
Bremen City,763,97.14,11.35957066,22.8,2312,74.9,22.9,2.2,2.3,1.833333333,21.35231317,72.19,0,34.58403547,520.960186,6322.388534,208.192859,2248.909624,841.9592171,149.4775087,0,294.7340138,0,695.9684213,5.121890138,121.0168166,7017.698962,56.9586981,0,0.01524654,0.229701557,2.787651384,0.091794983,0.991583045,0.371232699,0.065908304,0,0.129952422,0,0.306864187,0.002257785,0.053356401,3.094221453,0.025112457,1129,11,13,,33.721218,-85.145504
Brooks County,614,89.8,54.98795181,16.8,2321,53.7,36.4,9.8,11,1.833333333,55.7415467,32,0,0,818.750698,5499.722693,125.0809177,3514.927919,905.2789703,151.9400129,0,612.3492589,63.39703145,930.9431452,9.343265834,216.7586514,5802.850495,660.5059156,0,0,0.385114175,2.586889272,0.0588324,1.65330461,0.42581215,0.071469194,0,0.288026713,0.029819044,0.437884533,0.004394657,0.101956053,2.729470056,0.310680741,1025,13,6,13027,,
Bryan County,615,93.15,12.14814815,21.9,10055,68.9,26.8,4.3,4.5,0.8,47.95045229,47.06,0,116.9367379,197.2743839,5522.64108,416.3415942,2608.438842,724.6646494,135.7392929,23.45549378,307.1981044,0,600.5471348,2.840133267,121.3867648,5749.275584,443.829996,0,0.012234709,0.020639483,0.577803083,0.043559423,0.272906017,0.075818001,0.01420189,0.0024545,0.032140229,0,0.062831427,0.000297364,0.012700149,0.601514669,0.046435604,1065,10,7,13029,,
Buford City,764,92.75,10.74684772,24.1,5340,74.1,23.5,2.4,2.4,1.833333333,34.49454664,68.03,0,0,764.678779,7034.213742,68.28270974,6191.94638,885.5595674,139.4410599,0,479.104133,0,758.9230169,2.174305243,83.2228221,5035.840637,303.1684101,0,0,0.144116105,1.325709738,0.012868914,1.166970037,0.166897004,0.026279026,0,0.090294007,0,0.143031835,0.000410112,0.015685393,0.94908427,0.057136704,1115,16,9,,34.120655,-84.004349
Bulloch County,616,83.49,36.71288273,19.9,11293,56.7,34.8,8.5,9.2,1.9,36.34215141,42.81,0,0,142.8895201,5847.543118,356.038136,3162.028804,812.5742726,132.8954689,0,385.8904977,0,695.4106863,6.498592934,122.5318295,5903.664482,513.6329735,0,0,0.013720889,0.561508014,0.034188435,0.303632339,0.078027096,0.012761002,0,0.037054813,0,0.066776764,0.000624281,0.011765696,0.566897193,0.049321704,1039,10,7,13031,,
Burke County,617,91.79,47.53194688,17.7,4267,63.7,30.6,5.7,6,1.8,30.20180932,20.16,0,0,702.8307546,7581.398662,294.4710007,14527.8985,1154.72105,169.4428849,0,405.2281603,2.812280291,965.0993625,5.047096321,218.1846567,2362.523787,1248.756283,0,0,0.173752051,1.874265292,0.072798219,3.59157019,0.285469885,0.041888915,0,0.100180455,0.000696039,0.238591516,0.001246778,0.053939536,0.584061401,0.308715725,975,15,14,13033,,
