,Number of Iterations,Number of Components,Distortion,Silhouette Score
0,2,2,8.797259461155535e+17,0.9157272756610847
1,3,3,3.834995768588031e+17,0.810073575678155
2,4,4,2.1596984607711773e+17,0.8088454328059385
3,4,5,1.3631767695839934e+17,0.6859906740610431
4,2,6,8.946603706208122e+16,0.6852411066638435
5,7,7,5.202325578920467e+16,0.6822921746712471
6,9,8,3.900987155488496e+16,0.628620807696736
7,9,9,2.8798465670316904e+16,0.6248617019825216
8,3,10,2.207637156423572e+16,0.5501249002891434
9,5,11,1.7850115344808142e+16,0.5520040700774096
10,4,12,1.3751997104924814e+16,0.5494158451136504
11,6,13,1.060224376393148e+16,0.5455482566696049
12,3,14,8280036480472713.0,0.5413424357981955
13,3,15,7223780011386366.0,0.5338688161639165
14,7,16,6142835453559303.0,0.4998842930292949
15,4,17,5135168333222216.0,0.49539275470544497
16,4,18,4326781072807381.0,0.49360808779077686
17,13,19,3705602577888562.5,0.4823902511769118
