,Number of Iterations,Number of Components,Distortion,Silhouette Score
0,2,2,25982996432.311584,0.8986621121638004
1,4,3,11899481297.176285,0.7714374916386473
2,4,4,5970182920.968397,0.7753378357447352
3,5,5,3800855068.4245768,0.5435419293492709
4,3,6,2561858450.6477313,0.5173901305366075
5,7,7,2029988278.6456838,0.4523094117991339
6,8,8,1718215982.4125478,0.4224247216461953
7,7,9,1512036035.1295896,0.4187870905820257
8,4,10,1330459780.8149521,0.3980675571798662
9,5,11,1184735713.974789,0.3091568467696483
10,7,12,1039295717.6891478,0.3166112460176326
11,7,13,932971865.2948549,0.3064713109414399
12,10,14,826300262.1181641,0.32826206103080946
13,8,15,750477074.6786665,0.33875977311429606
14,6,16,680171888.5974069,0.32247788962576307
15,4,17,622288558.9800487,0.32923865483533216
16,22,18,575795837.2990268,0.30400237820221476
17,10,19,536585736.86908376,0.29268467441487256
18,6,20,497694119.26905966,0.29427784564359566
19,6,21,459764504.323792,0.3074343001045329
20,8,22,429822499.4020974,0.3061938830287112
21,8,23,404038366.13345677,0.30698541756725445
22,5,24,386837029.11769724,0.3024094774064237
23,8,25,357715599.3567331,0.30599097427840033
24,4,26,347059394.3195646,0.28881819722579966
25,7,27,323538113.6647785,0.2915247686537502
26,12,28,311259814.7279084,0.28935024015850064
27,7,29,307704599.4335047,0.2754971963007227
