,Number of Iterations,Number of Components,Distortion,Silhouette Score
0,2,2,8.510484590241398e+17,0.9151588318580741
1,3,3,3.7482632067338566e+17,0.8103351512746723
2,3,4,1.8834432590949584e+17,0.8114415945827056
3,6,5,1.1248097145854024e+17,0.680091262794612
4,3,6,6.219150113793482e+16,0.6827302570276527
5,5,7,4.5239466519309496e+16,0.6752002780061367
6,4,8,3.247512667250764e+16,0.6380587314664934
7,8,9,2.6444867385372956e+16,0.5548699196458208
8,3,10,2.1089336498856692e+16,0.5523652008496767
9,4,11,1.610922094555186e+16,0.5472717307311357
10,7,12,1.2520459920125726e+16,0.5419824206732192
11,5,13,1.030936020999673e+16,0.5321397667617203
12,5,14,8676911411549211.0,0.5289534686912578
13,7,15,7280762243225861.0,0.5241302357711879
14,13,16,6077397971056555.0,0.5190381502084188
15,8,17,5074629859914668.0,0.5010862434671913
16,3,18,4445354548745378.0,0.4845636598867103
17,8,19,3871160837005751.5,0.48059216045853537
