SCHOOL_DSTRCT_NM,SCHOOL_DSTRCT_CD,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE_Per Student,Federal_Revenues_Dollars per FTE_Per Student,General Administration_Expenditures_Dollars per FTE_Per Student,Instruction_Expenditures_Dollars per FTE_Per Student,Instructional Support_Expenditures_Dollars per FTE_Per Student,Local_Revenues_Dollars per FTE_Per Student,Maintenance and Operations_Expenditures_Dollars per FTE_Per Student,Media_Expenditures_Dollars per FTE_Per Student,Other_Revenues_Dollars per FTE_Per Student,Pupil Services_Expenditures_Dollars per FTE_Per Student,Renovation and Capital Projects_Expenditures_Dollars per FTE_Per Student,School Administration_Expenditures_Dollars per FTE_Per Student,School food Services_Expenditures_Dollars per FTE_Per Student,State Lottery_Revenues_Dollars per FTE_Per Student,State Other_Revenues_Dollars per FTE_Per Student,State QBE_Revenues_Dollars per FTE_Per Student,Transportation_Expenditures_Dollars per FTE_Per Student,SAT Combined Score,Labels
Colquitt County,635,485,84.2,576,48.96703807,20.6,9112,39.9,37.1,22.9,21.6,1.5,36.84331618,42.53,0.0,14.98189201,277.1100307,6386.048952,370.1349616,2242.272242,778.4470961,172.7487676,33.00660009,641.0612127,0.0,624.9013389,20.51536106,0,148.9958176,7979.112599,402.5447904,0.0,0.001682397,0.031111721,0.71696993,0.041555092,0.251742757,0.087396839,0.019394205,0.003706102,0.071973222,0.0,0.070158033,0.002303556,0,0.01672849,0.895825285,0.045194249,1060.0,0
Columbia County,636,1914,92.33,2073,14.7369936,23.9,29661,49.6,35.2,15.2,12.3,1.5,33.58732411,54.45,0.0,30.33925289,93.60361215,6007.882327,345.8887108,3870.169155,716.7176572,152.8214669,0.0,193.3375834,0.141195509,560.9543835,4.226187249,0,78.48050369,5118.221429,361.291326,0.0,0.001086949,0.003353225,0.21522066,0.012390681,0.138641314,0.025675129,0.005474529,0.0,0.00692593,5.06e-06,0.020095074,0.000151377,0,0.002811436,0.18335019,0.012942585,1113.0,4
Commerce City,771,116,95.87,121,25.83182093,21.35454545,1739,47.4,39.2,13.4,12.6,2.287288136,41.62280702,57.26,0.0,12.40607246,411.0608051,6148.835842,281.737211,3478.388798,570.9210236,207.6090512,0.0,415.8324784,0.0,635.180483,29.83757907,0,77.01871765,7301.194365,290.2819379,0.0,0.00733755,0.243087982,3.636210466,0.166607246,2.056998275,0.337625072,0.122771708,0.0,0.245911443,0.0,0.375623922,0.017642323,0,0.045543416,4.317676826,0.171661875,1108.0,5
Cook County,637,202,95.73,211,46.53198653,21.35454545,3164,40.4,38.6,21.0,19.9,1.1,34.74499089,42.57,5.828871681,0.0,466.7736662,5585.896776,174.9695765,2442.489488,631.6775126,137.8831448,0.0,450.479665,0.0,640.4100126,4.028953856,0,118.6886346,6828.979772,499.0005183,0.001937421,0.0,0.155126422,1.856396966,0.058147914,0.811728824,0.209930468,0.045824905,0.0,0.149709229,0.0,0.212831858,0.001340076,0,0.039443742,2.269519595,0.165837547,1006.0,13
Coweta County,638,1610,89.3,1803,23.94320749,22.6,23427,66.0,24.5,9.4,9.4,2.7,26.82985845,51.85,0.0,0.0,90.82184531,6288.765868,236.7576143,4765.005156,596.7125624,136.4499761,4.924344133,404.9183353,0.0,753.9133991,5.230443932,0,59.88695181,4804.197379,431.2033756,0.0,0.0,0.004134546,0.2862953,0.010778162,0.216926196,0.027165237,0.006212063,0.0002241,0.018433858,0.0,0.034321936,0.000238187,0,0.002726341,0.218710462,0.019630341,1116.0,12
Crawford County,639,87,70.73,123,42.03174603,21.35454545,1713,37.2,38.5,24.3,24.3,2.9,42.3255814,37.78,0.0,32.9056509,582.1021308,5876.562183,83.39924694,2915.786883,756.6394104,145.3943608,0.0,427.8630648,0.0,723.4516112,8.213934618,0,186.5521308,5629.181553,505.4656334,0.0,0.020589609,0.364267367,3.67744892,0.052189142,1.824646818,0.473490952,0.090986573,0.0,0.267746643,0.0,0.452720374,0.005143024,0,0.116742557,3.522644483,0.316310566,1027.0,5
Crisp County,640,230,85.82,268,57.60407816,21.35454545,3763,38.2,31.7,30.1,29.3,3.9,35.72704082,34.65,0.0,0.0,326.0495137,5882.803492,332.836144,3237.115161,501.9996014,190.0427584,0.0,435.5519373,0.0,695.3188387,8.10462397,0,184.8127425,6675.525644,561.820109,0.0,0.0,0.091716715,1.654796705,0.093624767,0.910581982,0.141209142,0.053457348,0.0,0.122519267,0.0,0.195588626,0.002280096,0,0.051987776,1.877783683,0.158036141,991.0,13
Dade County,641,132,84.08,157,25.10060362,20.3,2098,53.1,35.0,11.9,10.2,2.287288136,32.27146814,55.22,0.0,0.0,461.4411439,6548.921063,181.1523356,3783.504261,790.9548427,194.5057674,0.0,300.9798093,0.0,751.2456196,8.312345091,0,129.5456673,5978.924214,250.3800286,0.0,0.0,0.231296473,3.282669209,0.090805529,1.896491897,0.396468065,0.097497617,0.0,0.150867493,0.0,0.376563394,0.004165872,0,0.06493327,2.996954242,0.125505243,1026.0,16
Dalton Public Schools,772,461,85.06,542,26.18339194,23.4,7798,59.6,30.9,9.6,9.5,4.2,32.89996545,51.57,0.0,161.6833624,190.8574468,6985.037528,586.4805655,4217.110605,748.7216479,172.1414042,1.476024622,375.7952706,0.0,646.9590882,0.0,0,87.80132085,6185.864581,370.685395,0.0,0.020596307,0.024312644,0.889814055,0.074711464,0.537212106,0.095378302,0.0219287,0.00018851,0.047872531,0.0,0.082414722,0.0,0,0.011184919,0.788008464,0.047221082,1047.0,0
Dawson County,642,239,95.6,250,22.48322148,20.6,3802,41.3,41.6,17.1,16.5,1.1,31.25494689,58.68,0.0,6.656512362,282.1565676,6735.784637,844.2366649,7174.046988,877.988585,186.2419542,0.0,446.2193109,0.0,772.0808285,12.87450289,0,95.15602841,4777.762493,590.5654129,0.0,0.001843766,0.078203577,1.866901631,0.233990005,1.98837191,0.243345608,0.0516202,0.0,0.123674382,0.0,0.213992635,0.003569174,0,0.026372962,1.324213572,0.163682272,1051.0,7
Decatur City,773,355,96.73,367,8.096085409,26.1,5750,88.7,8.6,2.7,2.5,2.287288136,43.11928144,76.22,52.98706435,13.32869565,496.7599635,9064.20184,814.7723913,7655.268565,1214.352991,239.8828017,13.25483304,818.9832313,0.0,1073.632842,143.40124,0,61.13960696,5352.100174,250.5921809,0.009417391,0.002368696,0.088281739,1.610841739,0.144796522,1.360452174,0.215808696,0.042631304,0.002354783,0.145546087,0.0,0.1908,0.025485217,0,0.010866087,0.951146087,0.044533913,1270.0,7
Decatur County,643,335,88.86,377,50.11753644,18.4,4709,39.5,34.1,26.4,28.8,1.1,32.27711915,36.61,0.0,6.983510299,145.745893,3806.031353,237.4617498,3820.485562,960.8684031,237.2677617,0.0,457.7284137,0.0,611.7784413,9.966882565,0,131.6973965,5966.050542,497.3472712,0.0,0.00160756,0.033544277,0.875956679,0.054650669,0.879282226,0.221142493,0.054606073,0.0,0.105345084,0.0,0.140800595,0.002293481,0,0.030310045,1.373083457,0.114463793,1023.0,11
DeKalb County,644,5016,75.41,6652,42.9704168,22.4,98083,58.2,19.3,22.6,23.3,4.9,38.44276129,47.67,0.0,0.0,529.4657011,7359.642939,348.4746397,6703.101437,1038.079555,141.4392332,0.145292252,644.9588669,0.027109693,731.4785045,3.500091045,0,82.15514972,5151.356586,474.63241,0.0,0.0,0.005580988,0.07757695,0.003673216,0.070656383,0.010942263,0.00149088,1.53e-06,0.006798426,3.06e-07,0.007710409,3.69e-05,0,0.000866001,0.054299726,0.005003008,1100.0,3
Dodge County,645,210,90.91,231,48.01393728,21.35454545,3045,53.4,35.1,11.6,13.3,1.4,30.69854227,53.77,0.0,0.0,270.7646043,6161.332837,240.0203186,2316.989606,531.8757373,169.5235074,0.0,514.3167126,0.0,456.5081576,22.00984893,0,134.5067685,7852.299507,473.6760099,0.0,0.0,0.09447619,2.149802956,0.083747126,0.808440066,0.185579639,0.059149425,0.0,0.179454844,0.0,0.159284072,0.007678161,0,0.046932677,2.739812808,0.16527422,1083.0,13
Dooly County,646,86,87.76,98,64.23487544,21.35454545,1210,28.0,26.6,45.4,43.7,2.287288136,44.18406476,21.59,0.0,1.47107438,691.6001157,4480.653083,587.9023058,4747.137446,767.2249008,199.4173719,0.0,261.5712893,0.0,803.2839091,11.10768595,0,229.8167769,4720.14876,487.815405,0.0,0.001264463,0.594157025,3.849355372,0.50507438,4.078297521,0.659123967,0.171322314,0.0,0.224719008,0.0,0.690107438,0.009545455,0,0.197438017,4.055107438,0.419082645,1048.509554,16
Dougherty County,647,707,86.22,820,67.56735951,19.4,13806,54.5,20.7,24.8,25.3,0.9,39.63935045,30.64,0.0,15.62877372,323.658907,5343.040986,868.1167456,3457.793948,909.7578734,165.9392373,2.903549906,407.3111756,0.0,753.5182776,5.799876141,0,73.24637694,6658.848906,221.9375395,0.0,0.00119296,0.024710271,0.407927713,0.06627843,0.263993916,0.069457482,0.012669129,0.000221643,0.031097349,0.0,0.057529335,0.000442561,0,0.005592496,0.508386933,0.016944082,954.0,6
Douglas County,648,1897,87.74,2162,34.15772282,20.0,27891,44.4,29.5,26.1,27.1,1.9,40.11558333,45.32,0.0,55.74882184,146.6154039,6103.582973,468.3515274,3672.920426,494.9341938,177.9974451,2.441585099,290.5283543,0.0,723.6720175,4.046643003,0,89.0184045,5658.074827,386.4365229,0.0,0.002135097,0.005615073,0.233755333,0.017936969,0.140665806,0.01895486,0.006816894,9.36e-05,0.011126528,0.0,0.027715392,0.000154889,0,0.003409344,0.216693199,0.014799756,1038.0,4
Dublin City,774,145,94.16,154,69.33212176,16.6,2434,43.3,21.7,34.9,35.9,2.287288136,59.88730883,26.71,0.0,0.0,434.6457601,3409.125604,934.6546015,4749.191253,874.9067707,101.7944864,0.0,614.5535867,5.710764174,659.1851561,5.823221035,0,234.4927938,4746.750205,407.9108135,0.0,0.0,0.199470008,1.564535744,0.428935908,2.179527527,0.401516023,0.046717338,0.0,0.282033689,0.0026212,0.302518488,0.002670501,0,0.107612983,2.178405916,0.187202136,968.0,16
Early County,649,109,81.34,134,63.20371445,21.35454545,1795,43.4,40.9,15.7,18.4,3.9,17.4904943,40.37,0.0,0.0,370.9767688,7245.980919,130.8617103,4328.590457,890.1206685,197.7272591,8.467966574,429.617532,0.0,697.5009972,9.803637883,0,141.5328078,6361.57493,464.232156,0.0,0.0,0.214685237,4.193275766,0.075732591,2.504969359,0.515114206,0.114423398,0.004902507,0.248623955,0.0,0.403649025,0.005671309,0,0.081905292,3.681465181,0.268651811,953.0,16
Echols County,650,50,98.04,51,48.39901478,18.7,888,39.3,35.9,24.8,20.9,2.287288136,22.59502664,40.0,0.0,2.30518018,663.7975676,5216.328739,82.59472973,2611.976014,633.3673198,149.8509685,10.71058559,300.1387725,0.0,469.7924887,12.76563063,0,212.7847635,7286.426802,697.7742005,0.0,0.002725225,0.785563063,6.173175676,0.097747748,3.091092342,0.74954955,0.177342342,0.01268018,0.355191441,0.0,0.555968468,0.015112613,0,0.251813063,8.622995495,0.825765766,1009.0,5
Effingham County,651,787,90.98,865,19.87927565,23.0,13475,47.2,38.4,14.4,13.4,2.2,35.68480069,47.72,0.0,26.6175577,297.7484245,5799.525528,406.4759681,3093.893478,636.6735859,158.1846776,0.0,622.6150865,23.36348942,635.3690323,4.322545455,0,101.8475881,6164.225232,487.3750605,0.0,0.00212616,0.023787755,0.463332096,0.032474212,0.24717551,0.050864564,0.012637477,0.0,0.049741744,0.001866419,0.050760668,0.000345083,0,0.008136549,0.492468275,0.038937291,1113.0,6
Elbert County,652,167,88.36,189,41.6322314,21.35454545,3031,43.3,39.2,17.5,15.1,3.6,33.1876862,52.63,24.55030023,138.8399637,345.3708446,6013.597984,460.8644573,3453.420887,689.8031805,142.5334708,0.0,525.9767272,0.0,791.1585384,7.345988123,0,113.1033289,7025.238535,556.7216463,0.008320686,0.047047179,0.117033982,2.037815902,0.15617288,1.170254042,0.233751237,0.048300891,0.0,0.178238205,0.0,0.268099637,0.002490927,0,0.038327285,2.380630155,0.18865391,1019.0,13
Emanuel County,653,230,88.8,259,53.03696045,19.0,4101,46.0,37.3,16.7,15.8,2.9,31.26704953,45.89,0.0,0.0,354.8750646,6170.132236,246.2706633,2135.852443,265.3017093,174.7772202,0.0,559.9203999,0.0,673.5128505,108.8375786,0,371.618771,6937.237991,475.0403389,0.0,0.0,0.090646184,1.576022921,0.06290417,0.545557181,0.067766398,0.04464277,0.0,0.143018776,0.0,0.17203365,0.027800536,0,0.094920751,1.771962936,0.121338698,1006.0,13
Evans County,654,104,85.25,122,57.27221279,21.35454545,1915,38.1,33.4,28.6,33.0,2.4,60.05176877,36.89,0.0,3.020887728,379.9718433,4534.644282,358.7854465,2499.532689,938.573295,196.1608773,0.0,667.7816397,0.0,790.0760888,51.29741514,0,140.7766527,6864.418799,345.472423,0.0,0.001665796,0.20981201,2.503942559,0.198114883,1.380193211,0.518261097,0.108318538,0.0,0.368736292,0.0,0.436266319,0.02832376,0,0.077733681,3.790402089,0.190762402,1075.0,5
Fannin County,655,172,90.53,190,27.77777778,21.9,2963,34.5,43.1,22.4,21.4,2.5,31.71242511,53.22,0.0,32.53636855,511.1662167,7158.724394,505.7449072,7702.181225,877.0219811,249.6334357,0.338457644,407.1719642,0.0,758.0794128,5.264070199,0,149.2557341,4813.58488,682.0552717,0.0,0.011545731,0.181393858,2.540357746,0.179470132,2.733209585,0.311221735,0.088585893,0.000121498,0.144488694,0.0,0.269014512,0.001866352,0,0.052966588,1.708157273,0.2420351,1089.0,7
Fayette County,656,1572,89.73,1752,12.73527005,24.6,20732,59.0,30.2,10.8,10.1,1.5,29.38411144,62.07,0.0,0.0,168.4992548,7277.196788,637.5306946,5841.648191,761.2706135,171.3092832,0.0,626.4841096,0.0,705.075192,4.729567336,0,58.65302527,5180.526336,357.4162131,0.0,0.0,0.00844974,0.36493633,0.031970866,0.292946653,0.038176249,0.008590585,0.0,0.031416651,0.0,0.035357901,0.000237314,0,0.002941347,0.259792591,0.0179235,1154.0,12
Floyd County,657,627,94.14,666,32.55892636,21.2,9398,45.9,37.2,16.9,18.4,1.2,29.26106428,49.68,0.0,0.382116408,320.26279,6647.965114,329.2223579,4280.736427,904.771778,162.9234869,17.46158119,362.0815195,0.0,723.407608,11.39422643,0,92.85831028,6577.403703,569.2816621,0.0,4.26e-05,0.035732071,0.741712066,0.036731219,0.477600553,0.100944882,0.018177272,0.001948287,0.040396893,0.0,0.08071079,0.001271547,0,0.010359651,0.733839115,0.063514578,1082.0,17
Forsyth County,658,3736,96.41,3875,6.10703581,25.4,52823,56.4,32.1,11.5,10.1,0.6,34.61390703,70.19,0.018931147,6.260667323,79.25396778,6709.694917,413.2030384,4903.143051,649.9483112,66.07886527,2.41680783,209.4831571,0.0,552.982121,8.634542907,0,91.58153759,4495.103497,321.4259361,3.79e-07,0.000121727,0.001540806,0.130447532,0.008033432,0.095325142,0.012635973,0.001284668,4.69e-05,0.004072658,0.0,0.010750809,0.000167919,0,0.001780474,0.087392234,0.006248982,1178.0,1
Franklin County,659,233,90.31,258,33.71136944,21.9,3835,24.7,38.8,36.5,35.2,1.9,28.22861118,49.16,0.0,55.51097523,301.5943233,5734.082602,397.8260391,3790.939525,658.9188031,131.6263051,0.0,413.5718748,0.0,614.529309,7.575288136,0,209.3922712,6461.89987,668.0211213,0.0,0.01556193,0.084550196,1.607535854,0.111530639,1.062779661,0.18472751,0.036902216,0.0,0.115942634,0.0,0.172281617,0.002122555,0,0.058701434,1.811577575,0.187277705,1059.0,13
Fulton County,660,6648,87.72,7579,26.00606239,25.3,95026,34.9,26.9,38.2,38.1,2.0,39.43055444,57.74,0.0,9.823760655,239.4272391,6933.400138,860.4424593,7473.95963,729.4538826,179.7714471,7.035280134,740.5455541,0.109856355,628.0574998,0.102338518,0,75.64201945,3898.371867,512.3832706,0.0,0.000110601,0.002696104,0.078074422,0.009689138,0.084161493,0.008214068,0.002024288,7.92e-05,0.008338981,1.26e-06,0.007072275,1.16e-06,0,0.000851767,0.043898091,0.005769789,1098.0,3
Gainesville City,776,460,86.96,529,34.248226,22.3,8218,47.2,30.8,22.0,21.9,3.2,40.08280377,42.59,0.0,20.75539669,328.9399647,5709.422283,567.0414541,4288.806057,810.4428936,128.9674909,9.472097834,304.0899416,0.0,728.5561292,5.429625213,0,67.41623509,4874.881115,416.3526551,0.0,0.002551716,0.040440496,0.701920175,0.069712826,0.527269409,0.099636165,0.015855439,0.001164517,0.037385009,0.0,0.089569238,0.000668046,0,0.008287905,0.599321003,0.05118642,1054.0,17
Gilmer County,661,238,94.07,253,32.97256481,20.5,4230,38.9,38.9,22.2,22.5,2.7,34.63302752,58.33,0.558510638,12.80928605,295.3326194,6232.452771,175.490974,5079.630766,813.2085083,142.0640331,34.464487,293.6057707,0.0,650.6674397,7.910869976,0,118.1105012,4838.455792,542.538234,0.000134752,0.003104019,0.071579196,1.510531915,0.042531915,1.23112766,0.197094563,0.03443026,0.008352246,0.071160757,0.0,0.157699764,0.001917258,0,0.028626478,1.172673759,0.131491726,993.0,11
Glascock County,662,40,97.56,41,27.23809524,21.35454545,552,50.0,35.1,14.9,13.4,2.287288136,42.26545455,58.54,0.0,9.875036232,967.3661594,6284.965743,337.8919928,3141.76779,1050.327409,219.059692,1.324076087,455.0459601,0.0,686.2012681,6.467083333,0,384.6994203,7811.782609,767.9204167,0.0,0.01865942,1.828677536,11.88085145,0.638731884,5.939076087,1.98548913,0.414094203,0.0025,0.860199275,0.0,1.297173913,0.012228261,0,0.727228261,14.76708333,1.451648551,1031.0,5
Glynn County,663,767,93.88,817,38.18107998,21.2,13533,51.6,33.9,14.5,16.2,1.4,33.08387443,56.03,22.90258849,75.46470775,154.8789197,6321.342241,417.0406303,6327.889699,981.6929964,158.6693446,0.0,322.9691229,2.275110471,591.5203244,6.22000665,0,-462.0798212,4052.708934,396.4482295,0.001827385,0.006021577,0.01235794,0.50437597,0.033275696,0.504898397,0.07832853,0.012660164,0.0,0.0257696,0.000181778,0.047197222,0.000496564,0,-0.036869135,0.323362891,0.031632306,1108.0,6
Gordon County,664,419,96.99,432,30.66533267,20.2,6496,28.1,35.3,36.5,35.8,1.2,27.29167627,59.2,0.0,2.818482143,253.1664871,6171.900559,398.5019935,3257.575899,946.6058605,146.1500677,4.25885468,291.0589871,0.0,542.3184667,4.611579433,0,110.7249446,6254.53202,533.4301216,0.0,0.000461823,0.041496305,1.011620998,0.065317118,0.533940887,0.15515548,0.023954741,0.000697352,0.047706281,0.0,0.088890086,0.00075585,0,0.018148091,1.025164717,0.087433805,1033.0,0
Grady County,665,263,92.28,285,42.98978644,20.6,4582,53.1,33.8,13.1,13.2,1.4,33.09651773,51.94,193.2879289,0.0,180.7405958,5425.061093,376.3460716,2167.032687,734.6551244,182.9018551,0.0,320.296148,0.0,604.9638651,5.951641205,0,88.85107813,6736.521825,348.0762702,0.043780009,0.0,0.040938455,1.228780009,0.085242252,0.490833697,0.166398952,0.041427324,0.0,0.072546923,0.0,0.137025316,0.001348756,0,0.0201244,1.525824967,0.078838935,957.0,13
Greene County,666,153,94.44,162,37.68595041,21.35454545,2522,45.8,35.9,18.3,16.1,2.2,54.70272904,57.52,0.0,5.222323553,631.6714195,5605.740615,319.5568834,11178.67296,707.4909477,126.5198017,3.041169707,457.3046788,0.0,528.1134576,8.39520222,0,227.5347819,3999.002379,282.9325852,0.0,0.002129262,0.257509913,2.285257732,0.130273592,4.557145123,0.288417922,0.051578113,0.001241079,0.186427439,0.0,0.215293418,0.003421887,0,0.092759715,1.630249802,0.115340999,1048.509554,7
Griffin-Spalding County,726,538,83.54,644,51.83110728,19.2,10232,40.1,28.2,31.6,33.8,2.6,48.94368231,38.24,0.0,64.89338937,231.8062373,5797.575434,784.7552258,3164.287994,862.2551661,167.1838595,0.0,272.2206753,0.0,518.793188,6.472103206,0,95.62562647,6521.227228,509.6404163,0.0,0.006962471,0.024869038,0.621990813,0.084191751,0.339479085,0.092506841,0.017935887,0.0,0.029205434,0.0,0.055658718,0.000693901,0,0.010258991,0.699627639,0.054676505,1000.0,17
Gwinnett County,667,11757,82.48,14255,21.2664013,23.5,191293,73.5,18.3,8.2,8.6,3.8,36.69882238,53.39,0.0,8.024141343,194.6597103,5935.195611,543.6785559,4230.767582,668.4073557,120.5845478,0.0,292.1844519,0.260657891,773.7178423,2.565706377,0,86.11809104,5358.01918,529.2764016,0.0,4.35e-05,0.00105686,0.032223396,0.002951755,0.022969685,0.003628936,0.000654702,0.0,0.00158631,1.41e-06,0.004200676,1.39e-05,0,0.000467555,0.029089773,0.00287355,1128.0,2
Habersham County,668,449,97.61,460,28.06383619,22.2,7100,58.6,32.2,9.3,13.1,2.287288136,32.73222061,50.55,0.246830986,6.966160563,151.7003873,6887.97967,311.7665648,3885.194569,854.8037845,164.4116577,11.25498592,305.4029,0.0,710.6489803,6.862567606,0,158.5844831,6613.995893,586.2050451,3.66e-05,0.001016901,0.022152113,1.005838028,0.045526761,0.567347887,0.124825352,0.024008451,0.001643662,0.044597183,0.0,0.103774648,0.001002817,0,0.023157746,0.965828169,0.085602817,1107.0,0
Hall County,669,1796,87.31,2057,22.08374125,22.4,28312,47.4,34.8,17.8,18.5,2.4,35.06545263,48.73,0.0,16.80766813,123.4410508,6221.738365,454.4459265,4356.09408,328.1981524,152.4851755,13.40359459,429.8608403,0.0,622.8064598,4.450975911,0,77.19034791,5333.444617,305.90122,0.0,0.000603984,0.004434869,0.223530305,0.016326999,0.156502543,0.011791113,0.005478242,0.000481421,0.015443628,0.0,0.022375671,0.000160003,0,0.002773382,0.191616276,0.01099004,1106.0,4
Hancock County,670,54,87.1,62,67.16621253,21.35454545,794,85.6,11.0,3.4,3.4,5.2,45.54257426,47.37,0.0,26.38960957,1047.08335,5711.557456,1390.881121,8218.943186,2450.619295,244.3237657,0.0,254.3483501,0.0,943.5805919,14.20921914,0,264.5352645,5306.604534,1078.052834,0.0,0.035377834,1.403602015,7.656246851,1.864445844,11.01735516,3.285012594,0.327506297,0.0,0.340944584,0.0,1.264848866,0.019042821,0,0.354609572,7.113413098,1.44511335,1048.509554,7
Haralson County,671,198,96.59,205,41.52515219,20.7,3447,53.3,36.1,10.6,13.4,1.1,26.24633822,44.62,0.0,1.94391935,383.5313055,6590.307238,358.4149637,3229.324842,648.9701334,205.7574296,0.0,332.69528,0.0,709.7127415,5.384873803,0,103.2439687,7714.882797,523.2236205,0.0,0.00062083,0.122494923,2.104856397,0.114473455,1.03140412,0.207272991,0.065715115,0.0,0.106257615,0.0,0.226672469,0.001720337,0,0.0329736,2.464032492,0.167110531,1079.0,13
Harris County,672,409,92.12,444,18.07114324,23.1,5555,34.8,39.2,26.0,23.7,2.2,27.51874718,56.09,0.0,7.991944194,338.1738974,6031.406376,348.1112457,5036.037865,583.4790621,165.4691485,2.015767777,490.2926319,0.0,664.4208281,5.573443744,0,154.8152619,4909.693969,937.7072061,0.0,0.00150315,0.063614761,1.134576058,0.065483348,0.947335734,0.109758776,0.031126913,0.000379838,0.092230423,0.0,0.124984698,0.001047705,0,0.029123312,0.923569757,0.176394239,1125.0,11
Hart County,673,223,96.96,230,36.5613826,23.6,3562,46.2,38.1,15.7,16.5,1.0,33.957795,54.05,0.0,2.748455924,214.3194357,5979.555371,353.2741662,4682.395343,759.8877765,142.1623891,1.158057271,347.21105,0.0,648.2437086,7.12062886,0,148.8708254,5082.488209,487.2187619,0.0,0.000811342,0.063295901,1.76596575,0.104334643,1.382869175,0.224421673,0.04198484,0.000342504,0.102543515,0.0,0.191448624,0.002102751,0,0.043966873,1.50103032,0.143891072,1051.0,11
Heard County,674,130,93.53,139,35.8662614,20.7,2135,48.0,34.9,17.1,16.9,2.287288136,30.59986082,53.13,0.0,3.1264637,542.5794941,5462.79919,269.444103,4242.402042,942.9906838,171.875555,0.0,362.2556253,0.0,788.7795176,6.311119438,0,72.7309274,6184.359719,445.5989321,0.0,0.001578454,0.274168618,2.760384075,0.136149883,2.143709602,0.476496487,0.086847775,0.0,0.18304918,0.0,0.398576112,0.003189696,0,0.036749415,3.124992974,0.225161593,1039.0,16
Henry County,675,3224,87.58,3681,30.71489726,20.5,45579,54.0,26.7,19.2,21.5,2.3,42.24024077,37.25,0.0,47.77599662,105.6416804,5911.315286,365.4349189,3990.355111,734.6642667,130.3364769,0.0,371.9334705,6.379034204,655.7011481,2.095769324,0,92.96466202,4621.852673,334.3284366,0.0,0.001125518,0.002488646,0.139256895,0.008608789,0.094003598,0.017307093,0.003070493,0.0,0.00876193,0.000150289,0.015446807,4.94e-05,0,0.002190044,0.108880186,0.007875996,1032.0,9
Houston County,676,1882,88.82,2119,29.29667028,22.9,31290,38.8,36.2,25.0,23.8,1.7,33.70647239,53.13,0.0,62.1677357,132.1741748,6045.746366,368.7304305,3129.239874,732.9448939,120.9850633,0.0,442.7635174,0.0,660.6882534,0.0,0,86.67138319,6565.537616,507.0504912,0.0,0.002147331,0.004565037,0.2088124,0.012735379,0.108079898,0.025315117,0.004178651,0.0,0.015292426,0.0,0.022819431,0.0,0,0.002993608,0.22676542,0.017512943,1096.0,4
Irwin County,677,114,92.68,123,43.88535032,21.35454545,1670,48.0,36.6,15.4,14.1,2.2,24.30851064,42.98,0.0,2.398203593,499.5002635,5753.712719,375.2667186,2680.197605,701.3375928,129.6852934,0.0,401.2672335,0.0,592.5753473,13.44579641,0,183.0009102,7583.542515,438.8101437,0.0,0.001520958,0.316341317,3.643898204,0.237658683,1.697401198,0.444167665,0.082131737,0.0,0.254125749,0.0,0.375287425,0.00851497,0,0.115898204,4.802748503,0.277904192,982.0,5
Jackson County,678,481,93.76,513,22.01678628,21.8,8910,52.8,33.2,14.0,14.3,1.2,44.20922643,46.69,0.0,19.24590572,257.4676846,6454.484875,575.3508462,5134.263747,835.6875567,133.6990752,0.0,301.8860359,0.0,551.6088249,3.339996633,0,208.8295859,5114.874074,665.3455499,0.0,0.002287318,0.03059596,0.767021324,0.068372615,0.610132435,0.099309764,0.015887767,0.0,0.035874299,0.0,0.065551066,0.000397306,0,0.024815937,0.607828283,0.079066218,1055.0,17
Jasper County,679,144,88.34,163,36.31111111,18.9,2397,53.3,35.7,11.1,10.7,2.287288136,42.76992288,45.07,0.0,13.69953275,307.1795995,5913.683392,315.0071089,4186.277672,874.7891865,129.5069337,0.0,481.8672966,0.0,665.1511139,13.39495202,0,137.7475553,6106.806425,821.5230288,0.0,0.006003338,0.134609929,2.591447643,0.138039216,1.834476429,0.383341677,0.056750104,0.0,0.211159783,0.0,0.291476846,0.005869837,0,0.060362954,2.676078431,0.36,1053.0,16
