,Number of Iterations,Number of Components,Distortion,Silhouette Score
0,2,2,27285770223.630257,0.9018694707376725
1,3,3,11891046268.597872,0.7771825164204567
2,3,4,6228438367.0312805,0.779651555000048
3,5,5,3918063815.5441065,0.5577241781993177
4,5,6,2490355382.9753227,0.5228462266358651
5,6,7,2023314835.6072843,0.4318312359307685
6,4,8,1701638487.010766,0.4094462174603074
7,6,9,1478212428.813894,0.40527612099227894
8,12,10,1315691778.4907112,0.3585330753129708
9,3,11,1137717688.4887192,0.38798357965599306
10,13,12,1005383093.8115722,0.2993776568946171
11,8,13,903012436.6304123,0.3178436176835738
12,10,14,834147424.6305187,0.3150170818845395
13,14,15,745085002.6256069,0.3094078015212436
14,10,16,684600189.9505529,0.3129106984193988
15,8,17,637899688.2452674,0.2992138809186877
16,6,18,585138252.0496132,0.28997295308826926
17,4,19,554409493.4285107,0.2910537336224887
18,15,20,513397999.32112867,0.29164239187639746
19,8,21,476416663.402846,0.28754430863033736
20,8,22,453870791.8221443,0.2866342454875854
21,6,23,421352950.31582713,0.2898459752676652
22,5,24,395349633.8384943,0.2894985811785331
23,12,25,368421111.2684105,0.2890915297453543
24,15,26,352640386.7960459,0.2893864801064149
25,6,27,326668781.17506766,0.281495117918545
26,7,28,312032080.6654181,0.276695754521135
27,4,29,297639490.46874034,0.2858410232793629
