,Number of Iterations,Number of Components,Distortion,Silhouette Score
0,2,2,7.870498869360769e+17,0.9161753988412248
1,3,3,3.449217882230933e+17,0.8136956663339857
2,4,4,1.8273761172575555e+17,0.8132494542993217
3,4,5,1.182457553236375e+17,0.6776344802820005
4,3,6,7.342969283303618e+16,0.6919128157148627
5,4,7,4.1453497421828024e+16,0.6888478238985822
6,8,8,3.0840744822867996e+16,0.5887898155087942
7,8,9,2.395299092374824e+16,0.5828028487629523
8,4,10,1.8880106456984308e+16,0.5569074580026179
9,3,11,1.497599975767897e+16,0.5521545610051662
10,8,12,1.1850209861144244e+16,0.5497636513196096
11,7,13,8718053051379483.0,0.5460230392750355
12,4,14,6583017347440431.0,0.537361517380812
13,5,15,5608535811624053.0,0.5152454817379645
14,9,16,4828097286043301.0,0.5098288470038709
15,5,17,4157597235934872.5,0.49171587589677523
16,8,18,3583272512681276.0,0.48657707110694903
17,3,19,2996534876363142.0,0.48219398020579735
