LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2018-19,607,Barrow County,101,Apalachee High School,Capstone,13,13,11
2018-19,607,Barrow County,101,Apalachee High School,Capstone Research,15,15,15
2018-19,607,Barrow County,101,Apalachee High School,Chemistry,25,25,11
2018-19,607,Barrow County,101,Apalachee High School,Economics: Micro,93,93,39
2018-19,607,Barrow County,101,Apalachee High School,Eng. Language & Comp,60,60,23
2018-19,607,Barrow County,101,Apalachee High School,Eng. Literature & Comp,37,37,20
2018-19,607,Barrow County,101,Apalachee High School,Gov. & Pol. U.S.,12,12,12
2018-19,607,Barrow County,101,Apalachee High School,Physics 1,TFS,,
2018-19,607,Barrow County,101,Apalachee High School,Psychology,TFS,,
2018-19,607,Barrow County,101,Apalachee High School,Spanish Language,21,21,20
2018-19,607,Barrow County,101,Apalachee High School,Statistics,26,26,22
2018-19,607,Barrow County,101,Apalachee High School,U.S. History,43,43,21
2018-19,607,Barrow County,101,Apalachee High School,World History,38,38,21
2018-19,607,Barrow County,3052,Winder-Barrow High School,ALL Subjects,194,334,121
2018-19,607,Barrow County,3052,Winder-Barrow High School,Art: Studio Drawing,TFS,,
2018-19,607,Barrow County,3052,Winder-Barrow High School,Biology,14,14,9
2018-19,607,Barrow County,3052,Winder-Barrow High School,Calculus A,15,15,9
2018-19,607,Barrow County,3052,Winder-Barrow High School,Calculus BC,TFS,,
2018-19,607,Barrow County,3052,Winder-Barrow High School,Economics: Micro,TFS,,
2018-19,607,Barrow County,3052,Winder-Barrow High School,Eng. Language & Comp,71,71,19
2018-19,607,Barrow County,3052,Winder-Barrow High School,Eng. Literature & Comp,26,26,5
2018-19,607,Barrow County,3052,Winder-Barrow High School,Environmental Science,14,14,3
2018-19,607,Barrow County,3052,Winder-Barrow High School,Gov. & Pol. U.S.,45,45,27
2018-19,607,Barrow County,3052,Winder-Barrow High School,Physics 1,16,16,10
2018-19,607,Barrow County,3052,Winder-Barrow High School,Psychology,51,51,11
2018-19,607,Barrow County,3052,Winder-Barrow High School,Spanish Language,11,11,7
2018-19,607,Barrow County,3052,Winder-Barrow High School,Statistics,10,10,2
2018-19,607,Barrow County,3052,Winder-Barrow High School,U.S. History,28,28,8
2018-19,607,Barrow County,3052,Winder-Barrow High School,World History,24,24,9
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,427,757,355
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Art: Studio Drawing,TFS,,
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Biology,33,33,15
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,29,29,18
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Calculus BC,TFS,,
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Capstone,13,13,11
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Capstone Research,15,15,15
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Chemistry,25,25,11
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,100,100,39
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,131,131,42
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,63,63,25
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,14,14,3
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,57,57,39
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,21,21,12
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Psychology,52,52,12
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,32,32,27
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,Statistics,36,36,24
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,71,71,29
2018-19,607,Barrow County,SCHOOL_ALL,SCHOOL_ALL,World History,62,62,30
2018-19,608,Bartow County,105,Adairsville High School,ALL Subjects,119,197,81
2018-19,608,Bartow County,105,Adairsville High School,Art: Studio 2-D Design,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Art: Studio Drawing,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Biology,38,38,16
2018-19,608,Bartow County,105,Adairsville High School,Calculus A,TFS,,
2018-19,608,Bartow County,105,Adairsville High School,Calculus BC,TFS,,
