"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","605","Baldwin County","0189","Baldwin High School","All Students","WritLang Test  Score - New",687305,26245,"25","25",277,"254","254"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"25","25",1094,"1078","1078"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Math Section Score - New",687305,26246,"25","25",539,"522","522"
"2020-21","606","Banks County","0199","Banks County High School","All Students","Reading Test  Score - New",687305,26245,"25","25",279,"281","281"
"2020-21","606","Banks County","0199","Banks County High School","All Students","WritLang Test  Score - New",687305,26245,"25","25",277,"274","274"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"154","66",1094,"1053","1070"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Essay Analysis Score - New",1509133,7921,"49","21",4,"3","3"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Essay Reading Score - New",1509133,7920,"49","21",5,"5","5"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Essay Total",1509133,7920,"49","21",14,"13","13"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Essay Writing Score - New",1509133,7920,"49","21",5,"5","5"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Math Section Score - New",687305,26246,"154","66",539,"514","521"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","Reading Test  Score - New",687305,26245,"154","66",279,"272","275"
"2020-21","607","Barrow County","0101","Apalachee High School","All Students","WritLang Test  Score - New",687305,26245,"154","66",277,"267","274"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"154","88",1094,"1053","1040"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Analysis Score - New",1509133,7921,"49","28",4,"3","4"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Reading Score - New",1509133,7920,"49","28",5,"5","5"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Total",1509133,7920,"49","28",14,"13","13"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Essay Writing Score - New",1509133,7920,"49","28",5,"5","5"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Math Section Score - New",687305,26246,"154","88",539,"514","509"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","Reading Test  Score - New",687305,26245,"154","88",279,"272","270"
"2020-21","607","Barrow County","3052","Winder-Barrow High School","All Students","WritLang Test  Score - New",687305,26245,"154","88",277,"267","261"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"218","66",1094,"1051","1051"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Essay Analysis Score - New",1509133,7921,"47","12",4,"3","4"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Essay Reading Score - New",1509133,7920,"47","12",5,"4","4"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Essay Total",1509133,7920,"47","12",14,"12","13"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Essay Writing Score - New",1509133,7920,"47","12",5,"5","5"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Math Section Score - New",687305,26246,"218","66",539,"512","519"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","Reading Test  Score - New",687305,26245,"218","66",279,"274","271"
"2020-21","608","Bartow County","0105","Adairsville High School","All Students","WritLang Test  Score - New",687305,26245,"218","66",277,"265","261"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"218","91",1094,"1051","1045"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Essay Analysis Score - New",1509133,7921,"47","19",4,"3","3"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Essay Reading Score - New",1509133,7920,"47","19",5,"4","4"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Essay Total",1509133,7920,"47","19",14,"12","11"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Essay Writing Score - New",1509133,7920,"47","19",5,"5","5"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Math Section Score - New",687305,26246,"218","91",539,"512","505"
"2020-21","608","Bartow County","0114","Cass High School","All Students","Reading Test  Score - New",687305,26245,"218","91",279,"274","274"
"2020-21","608","Bartow County","0114","Cass High School","All Students","WritLang Test  Score - New",687305,26245,"218","91",277,"265","266"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"218","61",1094,"1051","1060"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Essay Analysis Score - New",1509133,7921,"47","16",4,"3","3"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Essay Reading Score - New",1509133,7920,"47","16",5,"4","5"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Essay Total",1509133,7920,"47","16",14,"12","13"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Essay Writing Score - New",1509133,7920,"47","16",5,"5","5"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Math Section Score - New",687305,26246,"218","61",539,"512","515"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","Reading Test  Score - New",687305,26245,"218","61",279,"274","277"
"2020-21","608","Bartow County","0198","Woodland High School","All Students","WritLang Test  Score - New",687305,26245,"218","61",277,"265","268"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"34","34",1094,"955","955"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Analysis Score - New",1509133,7921,"TFS","TFS",4,"TFS","TFS"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Reading Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Total",1509133,7920,"TFS","TFS",14,"TFS","TFS"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Essay Writing Score - New",1509133,7920,"TFS","TFS",5,"TFS","TFS"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Math Section Score - New",687305,26246,"34","34",539,"466","466"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","Reading Test  Score - New",687305,26245,"34","34",279,"245","245"
"2020-21","609","Ben Hill County","0291","Fitzgerald High School","All Students","WritLang Test  Score - New",687305,26245,"34","34",277,"244","244"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Combined Test Score",687305,26245.3333333333333333333333333333333333,"61","55",1094,"1040","1030"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Essay Analysis Score - New",1509133,7921,"16","16",4,"3","3"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Essay Reading Score - New",1509133,7920,"16","16",5,"5","5"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Essay Total",1509133,7920,"16","16",14,"13","13"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Essay Writing Score - New",1509133,7920,"16","16",5,"5","5"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Math Section Score - New",687305,26246,"61","55",539,"508","502"
"2020-21","610","Berrien County","0101","Berrien High School","All Students","Reading Test  Score - New",687305,26245,"61","55",279,"267","266"
