LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Male,105,51.5
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Female,99,48.5
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Total,204,100
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Black,32,15.7
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,White,130,63.7
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Hispanic,35,17.2
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Asian,TFS,1
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Multi,TFS,2
2019-20,601,Appling County,103,Appling County High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,TFS,0.5
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2019-20,601,Appling County,103,Appling County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2019-20,601,Appling County,103,Appling County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2019-20,601,Appling County,103,Appling County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Male,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Female,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Total,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Black,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,White,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Asian,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Multi,,
2019-20,601,Appling County,103,Appling County High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Male,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Female,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Total,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Black,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,White,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2019-20,601,Appling County,103,Appling County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Male,105,51.5
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Female,99,48.5
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Total,204,100
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Black,32,15.7
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,White,130,63.7
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Hispanic,35,17.2
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Asian,TFS,1
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Multi,TFS,2
2019-20,601,Appling County,ALL,All Column Values,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,TFS,0.5
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2019-20,601,Appling County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2019-20,601,Appling County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,White,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2019-20,601,Appling County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Male,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Female,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Total,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Black,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,White,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Hispanic,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Asian,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Multi,,
2019-20,601,Appling County,ALL,All Column Values,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Male,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Female,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Total,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Black,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,White,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Hispanic,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Asian,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Multi,,
2019-20,601,Appling County,ALL,All Column Values,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Male,64,54.7
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Female,53,45.3
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Total,117,100
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Black,17,14.5
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,White,41,35
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Hispanic,57,48.7
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Asian,TFS,0
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Multi,TFS,1.7
2019-20,602,Atkinson County,103,Atkinson County High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,TFS,0
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2019-20,602,Atkinson County,103,Atkinson County High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2019-20,602,Atkinson County,103,Atkinson County High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2019-20,602,Atkinson County,103,Atkinson County High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Male,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Female,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Total,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Black,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,White,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Hispanic,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Asian,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Multi,,
2019-20,602,Atkinson County,103,Atkinson County High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Male,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Female,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Total,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Black,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,White,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Asian,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Multi,,
2019-20,602,Atkinson County,103,Atkinson County High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Male,64,54.7
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Female,53,45.3
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Total,117,100
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Black,17,14.5
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,White,41,35
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Hispanic,57,48.7
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Asian,TFS,0
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Multi,TFS,1.7
2019-20,602,Atkinson County,ALL,All Column Values,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,TFS,0
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2019-20,602,Atkinson County,ALL,All Column Values,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,White,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2019-20,602,Atkinson County,ALL,All Column Values,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2019-20,602,Atkinson County,ALL,All Column Values,3,Graduates,Diplomas with Vocational Endorsements,Male,,
