LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,LABEL_SORT_ORDER,COMPLETER_TYPE,LABEL_LVL_1_DESC,LABEL_LVL_5_CD,PROGRAM_TOTAL,PROGRAM_PERCENT
2019-20,761,Atlanta Public Schools,2664,Crim High School,4,Other Completers,Special Education Diplomas,Asian,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,4,Other Completers,Special Education Diplomas,Multi,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,4,Other Completers,Special Education Diplomas,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Male,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Female,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Total,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Black,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,White,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Hispanic,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Asian,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Multi,,
2019-20,761,Atlanta Public Schools,2664,Crim High School,5,Other Completers,Certificates Of Attendance,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Male,78,43.3
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Female,102,56.7
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Total,180,100
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Black,173,96.1
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,White,TFS,0
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Hispanic,TFS,3.9
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Asian,TFS,0
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Multi,TFS,0
2019-20,761,Atlanta Public Schools,4058,Douglass High School,0,Graduates,General Education Diplomas,Native American/ Alaskan Native,TFS,0
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Male,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Female,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Total,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Black,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,White,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Hispanic,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Asian,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Multi,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,1,Graduates,Diplomas with Both College Prep. & Voc.,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Male,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Female,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Total,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Black,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,White,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Hispanic,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Asian,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Multi,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,2,Graduates,Diplomas with College Prep Endorsements,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Male,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Female,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Total,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Black,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,White,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Hispanic,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Asian,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Multi,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,3,Graduates,Diplomas with Vocational Endorsements,Native American/ Alaskan Native,,
2019-20,761,Atlanta Public Schools,4058,Douglass High School,4,Other Completers,Special Education Diplomas,Male,,
