LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2018-19,606,Banks County,199,Banks County High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,53,53,523,548,548
2018-19,606,Banks County,199,Banks County High School,All Students,Math Section Score - New,2220087,49344,53,53,504,507,507
2018-19,606,Banks County,199,Banks County High School,All Students,Reading Test  Score - New,2220087,49344,53,53,264,278,278
2018-19,606,Banks County,199,Banks County High School,All Students,WritLang Test  Score - New,2220087,49344,53,53,259,270,270
2018-19,607,Barrow County,101,Apalachee High School,All Students,Combined Test Score,2220087,49344,385,197,1027,983,970
2018-19,607,Barrow County,101,Apalachee High School,All Students,Essay Analysis Score - New,1747071,19599,175,96,3,3,3
2018-19,607,Barrow County,101,Apalachee High School,All Students,Essay Reading Score - New,1747071,19599,175,96,5,4,5
2018-19,607,Barrow County,101,Apalachee High School,All Students,Essay Total,1747071,19599,175,96,13,12,13
2018-19,607,Barrow County,101,Apalachee High School,All Students,Essay Writing Score - New,1747071,19599,175,96,5,5,5
2018-19,607,Barrow County,101,Apalachee High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,385,197,523,503,497
2018-19,607,Barrow County,101,Apalachee High School,All Students,Math Section Score - New,2220087,49344,385,197,504,480,473
2018-19,607,Barrow County,101,Apalachee High School,All Students,Reading Test  Score - New,2220087,49344,385,197,264,256,253
2018-19,607,Barrow County,101,Apalachee High School,All Students,WritLang Test  Score - New,2220087,49344,385,197,259,247,244
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined Test Score,2220087,49344,385,188,1027,983,997
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Analysis Score - New,1747071,19599,175,79,3,3,3
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Reading Score - New,1747071,19599,175,79,5,4,4
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Total,1747071,19599,175,79,13,12,12
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Essay Writing Score - New,1747071,19599,175,79,5,5,5
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,385,188,523,503,510
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Math Section Score - New,2220087,49344,385,188,504,480,487
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,Reading Test  Score - New,2220087,49344,385,188,264,256,259
2018-19,607,Barrow County,3052,Winder-Barrow High School,All Students,WritLang Test  Score - New,2220087,49344,385,188,259,247,250
2018-19,608,Bartow County,105,Adairsville High School,All Students,Combined Test Score,2220087,49344,309,69,1027,1035,1048
2018-19,608,Bartow County,105,Adairsville High School,All Students,Essay Analysis Score - New,1747071,19599,109,17,3,3,3
2018-19,608,Bartow County,105,Adairsville High School,All Students,Essay Reading Score - New,1747071,19599,109,17,5,5,5
2018-19,608,Bartow County,105,Adairsville High School,All Students,Essay Total,1747071,19599,109,17,13,13,13
2018-19,608,Bartow County,105,Adairsville High School,All Students,Essay Writing Score - New,1747071,19599,109,17,5,5,5
2018-19,608,Bartow County,105,Adairsville High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,309,69,523,532,534
2018-19,608,Bartow County,105,Adairsville High School,All Students,Math Section Score - New,2220087,49344,309,69,504,503,514
2018-19,608,Bartow County,105,Adairsville High School,All Students,Reading Test  Score - New,2220087,49344,309,69,264,269,271
2018-19,608,Bartow County,105,Adairsville High School,All Students,WritLang Test  Score - New,2220087,49344,309,69,259,263,263
2018-19,608,Bartow County,114,Cass High School,All Students,Combined Test Score,2220087,49344,309,129,1027,1035,1017
2018-19,608,Bartow County,114,Cass High School,All Students,Essay Analysis Score - New,1747071,19599,109,50,3,3,3
2018-19,608,Bartow County,114,Cass High School,All Students,Essay Reading Score - New,1747071,19599,109,50,5,5,5
2018-19,608,Bartow County,114,Cass High School,All Students,Essay Total,1747071,19599,109,50,13,13,13
2018-19,608,Bartow County,114,Cass High School,All Students,Essay Writing Score - New,1747071,19599,109,50,5,5,5
2018-19,608,Bartow County,114,Cass High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,309,129,523,532,525
2018-19,608,Bartow County,114,Cass High School,All Students,Math Section Score - New,2220087,49344,309,129,504,503,492
2018-19,608,Bartow County,114,Cass High School,All Students,Reading Test  Score - New,2220087,49344,309,129,264,269,264
2018-19,608,Bartow County,114,Cass High School,All Students,WritLang Test  Score - New,2220087,49344,309,129,259,263,261
2018-19,608,Bartow County,198,Woodland High School,All Students,Combined Test Score,2220087,49344,309,111,1027,1035,1047
2018-19,608,Bartow County,198,Woodland High School,All Students,Essay Analysis Score - New,1747071,19599,109,42,3,3,3
2018-19,608,Bartow County,198,Woodland High School,All Students,Essay Reading Score - New,1747071,19599,109,42,5,5,5
2018-19,608,Bartow County,198,Woodland High School,All Students,Essay Total,1747071,19599,109,42,13,13,13
2018-19,608,Bartow County,198,Woodland High School,All Students,Essay Writing Score - New,1747071,19599,109,42,5,5,5
2018-19,608,Bartow County,198,Woodland High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,309,111,523,532,539
2018-19,608,Bartow County,198,Woodland High School,All Students,Math Section Score - New,2220087,49344,309,111,504,503,508
2018-19,608,Bartow County,198,Woodland High School,All Students,Reading Test  Score - New,2220087,49344,309,111,264,269,273
2018-19,608,Bartow County,198,Woodland High School,All Students,WritLang Test  Score - New,2220087,49344,309,111,259,263,267
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined Test Score,2220087,49344,90,90,1027,937,937
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Analysis Score - New,1747071,19599,25,25,3,3,3
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Reading Score - New,1747071,19599,25,25,5,4,4
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Total,1747071,19599,25,25,13,11,11
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Writing Score - New,1747071,19599,25,25,5,4,4
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Evidence Based Reading and Writing - New,1747071,49344,90,90,523,482,482
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Math Section Score - New,2220087,49344,90,90,504,454,454
2018-19,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading Test  Score - New,2220087,49344,90,90,264,245,245
