"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","644","DeKalb County","5067","Southwest DeKalb High School","All Students","English",1295349,12575,"448","27",19.6,22.5,22.5,20.2
"2020-21","622","Carroll County","3050","Bowdon High School","All Students","Reading",1295349,12574,"80","13",20.9,23.8,21,21.2
"2020-21","622","Carroll County","3050","Bowdon High School","All Students","Science",1295349,12574,"80","13",20.4,22.7,21,20.3
"2020-21","668","Habersham County","2052","Habersham Central High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","668","Habersham County","2052","Habersham Central High School","All Students","Reading",1295349,12574,"25","25",20.9,23.8,22.9,22.9
"2020-21","695","Madison County","5050","Madison County High School","All Students","English",1295349,12575,"13","13",19.6,22.5,22.4,22.4
"2020-21","628","Cherokee County","0115","River Ridge High School","All Students","Reading",1295349,12574,"549","76",20.9,23.8,24.7,23.9
"2020-21","628","Cherokee County","0115","River Ridge High School","All Students","English",1295349,12575,"549","76",19.6,22.5,23.2,23.2
"2020-21","658","Forsyth County","0219","Forsyth Virtual Academy","All Students","English",1295349,12575,"928","TFS",19.6,22.5,25.1,
"2020-21","658","Forsyth County","0219","Forsyth Virtual Academy","All Students","Composite",1295349,12574,"928","TFS",20.3,22.9,25.4,
"2020-21","647","Dougherty County","4062","Westover High School","All Students","English",1295349,12575,"33","26",19.6,22.5,19.5,20.8
"2020-21","675","Henry County","0105","Dutchtown High","All Students","Science",1295349,12574,"408","52",20.4,22.7,20.8,20.3
"2020-21","625","Savannah-Chatham County","5070","Windsor Forest High School","All Students","Mathematics",1295349,12574,"76","TFS",19.9,22,20.9,
"2020-21","754","White County","0105","White County High School","All Students","Mathematics",1295349,12574,"14","14",19.9,22,20.3,20.3
"2020-21","644","DeKalb County","2055","Druid Hills High School","All Students","Writing Subscore",463733,2516,"101","TFS",6.4,6.9,7,
"2020-21","644","DeKalb County","2055","Druid Hills High School","All Students","Reading",1295349,12574,"448","36",20.9,23.8,23.3,23.8
"2020-21","675","Henry County","3050","McDonough High School","All Students","Reading",1295349,12574,"408","24",20.9,23.8,21.4,19
"2020-21","747","Walton County","0199","Loganville High School","All Students","Science",1295349,12574,"66","39",20.4,22.7,21.8,21.7
"2020-21","657","Floyd County","0107","Pepperell High School","All Students","English",1295349,12575,"112","28",19.6,22.5,20.6,21.6
"2020-21","773","Decatur City","3050","Decatur High School","All Students","Writing Subscore",463733,2516,"12","12",6.4,6.9,7.8,7.8
"2020-21","662","Glascock County","0196","Glascock County Middle/High School","All Students","Reading",1295349,12574,"TFS","TFS",20.9,23.8,,
"2020-21","693","Lumpkin County","0101","Lumpkin County High School","All Students","Reading",1295349,12574,"40","40",20.9,23.8,23.6,23.6
"2020-21","667","Gwinnett County","0195","Collins Hill High School","All Students","Reading",1295349,12574,"1292","51",20.9,23.8,24,25.1
"2020-21","667","Gwinnett County","0195","Collins Hill High School","All Students","Composite",1295349,12574,"1292","51",20.3,22.9,23.5,24.2
"2020-21","667","Gwinnett County","0195","Collins Hill High School","All Students","Writing Subscore",463733,2516,"244","15",6.4,6.9,7.4,7.6
"2020-21","678","Jackson County","0191","Jackson County Comprehensive High School","All Students","Science",1295349,12574,"42","28",20.4,22.7,21.6,21.9
"2020-21","681","Jefferson County","0196","Jefferson County High School","All Students","Science",1295349,12574,"TFS","TFS",20.4,22.7,,
"2020-21","681","Jefferson County","0196","Jefferson County High School","All Students","English",1295349,12575,"TFS","TFS",19.6,22.5,,
"2020-21","614","Brooks County","0110","Brooks County High School","All Students","Science",1295349,12574,"TFS","TFS",20.4,22.7,,
"2020-21","618","Butts County","0190","Jackson High School","All Students","Science",1295349,12574,"32","32",20.4,22.7,22.7,22.7
"2020-21","618","Butts County","0190","Jackson High School","All Students","Reading",1295349,12574,"32","32",20.9,23.8,22.9,22.9
"2020-21","660","Fulton County","4062","North Springs High School","All Students","Science",1295349,12574,"1314","46",20.4,22.7,24.7,22.7
"2020-21","644","DeKalb County","0610","Arabia Mountain High School - Academy of Engineering, Medicine and Environm","All Students","Composite",1295349,12574,"448","47",20.3,22.9,22.4,18.3
"2020-21","644","DeKalb County","0610","Arabia Mountain High School - Academy of Engineering, Medicine and Environm","All Students","Mathematics",1295349,12574,"448","47",19.9,22,21.2,16.8
"2020-21","716","Pulaski County","2050","Hawkinsville High School","All Students","Composite",1295349,12574,"TFS","TFS",20.3,22.9,,
"2020-21","611","Bibb County","0105","Howard High School","All Students","Composite",1295349,12574,"24","TFS",20.3,22.9,18.5,
"2020-21","761","Atlanta Public Schools","0108","South Atlanta School of Health and Medical Science","All Students","English",1295349,12575,"303","TFS",19.6,22.5,19.8,
"2020-21","701","Mitchell County","0105","Baconton Community Charter School","All Students","Mathematics",1295349,12574,"TFS","TFS",19.9,22,,
"2020-21","761","Atlanta Public Schools","0192","North Atlanta High School","All Students","Reading",1295349,12574,"303","62",20.9,23.8,20.8,25.4
"2020-21","761","Atlanta Public Schools","0192","North Atlanta High School","All Students","Composite",1295349,12574,"303","62",20.3,22.9,20,24
"2020-21","7820412","State Charter Schools- Georgia Connections Academy","0412","Georgia Connections Academy","All Students","Science",1295349,12574,"10","10",20.4,22.7,22.8,22.8
"2020-21","7820412","State Charter Schools- Georgia Connections Academy","0412","Georgia Connections Academy","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","689","Liberty County","0192","Liberty County High School","All Students","Composite",1295349,12574,"41","16",20.3,22.9,19.7,22.1
"2020-21","689","Liberty County","0192","Liberty County High School","All Students","English",1295349,12575,"41","16",19.6,22.5,19.2,21.8
"2020-21","689","Liberty County","0192","Liberty County High School","All Students","Reading",1295349,12574,"41","16",20.9,23.8,21.1,24.3
"2020-21","691","Long County","0205","Long County High School","All Students","Mathematics",1295349,12574,"TFS","TFS",19.9,22,,
"2020-21","707","Newton County","0206","Alcovy High School","All Students","Mathematics",1295349,12574,"84","15",19.9,22,18.5,18.7
"2020-21","707","Newton County","0206","Alcovy High School","All Students","Composite",1295349,12574,"84","15",20.3,22.9,19.5,19.1
"2020-21","715","Polk County","5050","Cedartown High School","All Students","Science",1295349,12574,"32","17",20.4,22.7,21.9,20.4
"2020-21","718","Quitman County","0110","Quitman County High School","All Students","Composite",1295349,12574,"TFS","TFS",20.3,22.9,,
"2020-21","657","Floyd County","5050","Coosa High School","All Students","Composite",1295349,12574,"112","18",20.3,22.9,21.2,19.4
"2020-21","715","Polk County","0102","Rockmart High School","All Students","Composite",1295349,12574,"32","15",20.3,22.9,22.1,24.8
"2020-21","721","Richmond County","3556","Johnson Magnet","All Students","Science",1295349,12574,"67","TFS",20.4,22.7,21.1,
"2020-21","671","Haralson County","3050","Haralson County High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","671","Haralson County","3050","Haralson County High School","All Students","English",1295349,12575,"12","12",19.6,22.5,20,20
"2020-21","675","Henry County","0391","Eagle's Landing High School","All Students","Reading",1295349,12574,"408","35",20.9,23.8,21.4,21.1
"2020-21","682","Jenkins County","0201","Jenkins County High School","All Students","Science",1295349,12574,"TFS","TFS",20.4,22.7,,
"2020-21","682","Jenkins County","0201","Jenkins County High School","All Students","Composite",1295349,12574,"TFS","TFS",20.3,22.9,,
"2020-21","744","Union County","0101","Union County High School","All Students","Composite",1295349,12574,"12","11",20.3,22.9,22.5,22.5
"2020-21","744","Union County","0101","Union County High School","All Students","English",1295349,12575,"12","11",19.6,22.5,23.3,23.6
"2020-21","761","Atlanta Public Schools","0212","KIPP Atlanta Collegiate Academy","All Students","Writing Subscore",463733,2516,"150","105",6.4,6.9,6,5.5
"2020-21","721","Richmond County","0100","Cross Creek High School","All Students","Mathematics",1295349,12574,"67","TFS",19.9,22,20.4,
"2020-21","706","Muscogee County","0278","Shaw High School","All Students","Science",1295349,12574,"224","13",20.4,22.7,23,17.4
"2020-21","706","Muscogee County","0278","Shaw High School","All Students","Composite",1295349,12574,"224","13",20.3,22.9,23.2,16.8
"2020-21","611","Bibb County","0186","Central High School","All Students","Science",1295349,12574,"24","10",20.4,22.7,18.3,18.4
"2020-21","663","Glynn County","3552","Brunswick High School","All Students","Science",1295349,12574,"161","54",20.4,22.7,20.9,19.4
"2020-21","667","Gwinnett County","2558","South Gwinnett High School","All Students","Writing Subscore",463733,2516,"244","TFS",6.4,6.9,7.4,
"2020-21","616","Bulloch County","4052","Portal Middle/High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","616","Bulloch County","4052","Portal Middle/High School","All Students","Composite",1295349,12574,"40","TFS",20.3,22.9,21.6,
"2020-21","669","Hall County","4752","Johnson High School","All Students","Writing Subscore",463733,2516,"17","TFS",6.4,6.9,7.8,
"2020-21","688","Lee County","0193","Lee County High School","All Students","Composite",1295349,12574,"52","52",20.3,22.9,19.5,19.5
"2020-21","612","Bleckley County","0105","Bleckley County High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","723","Schley County","0101","Schley Middle High School","All Students","Mathematics",1295349,12574,"TFS","TFS",19.9,22,,
"2020-21","723","Schley County","0101","Schley Middle High School","All Students","Reading",1295349,12574,"TFS","TFS",20.9,23.8,,
"2020-21","726","Griffin-Spalding County","0101","Spalding High School","All Students","Reading",1295349,12574,"24","13",20.9,23.8,20.5,23.2
"2020-21","726","Griffin-Spalding County","0101","Spalding High School","All Students","Mathematics",1295349,12574,"24","13",19.9,22,18.7,19.9
"2020-21","625","Savannah-Chatham County","2052","Beach High School","All Students","English",1295349,12575,"76","TFS",19.6,22.5,21.9,
"2020-21","648","Douglas County","0175","Lithia Springs Comprehensive High School","All Students","English",1295349,12575,"196","17",19.6,22.5,19.3,17.2
"2020-21","633","Cobb County","0188","Pope High School","All Students","Mathematics",1295349,12574,"1219","109",19.9,22,23.4,25
"2020-21","633","Cobb County","0188","Pope High School","All Students","Reading",1295349,12574,"1219","109",20.9,23.8,25.3,26.8
"2020-21","633","Cobb County","0188","Pope High School","All Students","Writing Subscore",463733,2516,"211","13",6.4,6.9,7.1,7.5
"2020-21","755","Whitfield County","0275","Southeast Whitfield County High School","All Students","Mathematics",1295349,12574,"80","32",19.9,22,20.3,18.7
"2020-21","667","Gwinnett County","1814","Discovery High School","All Students","Mathematics",1295349,12574,"1292","13",19.9,22,23.2,20.1
"2020-21","646","Dooly County","0182","Dooly County High School","All Students","Science",1295349,12574,"TFS","TFS",20.4,22.7,,
"2020-21","644","DeKalb County","0103","Martin Luther King, Jr. High School","All Students","Mathematics",1295349,12574,"448","10",19.9,22,21.2,16.3
"2020-21","710","Paulding County","0106","South Paulding High School","All Students","Science",1295349,12574,"164","26",20.4,22.7,21,21.3
"2020-21","615","Bryan County","0182","Richmond Hill High School","All Students","Composite",1295349,12574,"59","56",20.3,22.9,22.7,22.9
"2020-21","611","Bibb County","0198","Westside High School","All Students","Mathematics",1295349,12574,"24","TFS",19.9,22,17.4,
"2020-21","667","Gwinnett County","4052","Dacula High School","All Students","Science",1295349,12574,"1292","36",20.4,22.7,23.4,22.1
"2020-21","667","Gwinnett County","1018","Lanier High School","All Students","Composite",1295349,12574,"1292","51",20.3,22.9,23.5,22.4
"2020-21","650","Echols County","1050","Echols County High School","All Students","Reading",1295349,12574,"12","12",20.9,23.8,21.3,21.3
"2020-21","676","Houston County","4056","Warner Robins High School","All Students","Science",1295349,12574,"173","22",20.4,22.7,23.1,22.5
"2020-21","706","Muscogee County","0203","Northside High School","All Students","Mathematics",1295349,12574,"224","64",19.9,22,22.4,19.8
"2020-21","651","Effingham County","0390","Effingham County High School","All Students","English",1295349,12575,"83","35",19.6,22.5,22.5,22.4
"2020-21","651","Effingham County","0390","Effingham County High School","All Students","Mathematics",1295349,12574,"83","35",19.9,22,22.7,22.4
"2020-21","651","Effingham County","0390","Effingham County High School","All Students","Composite",1295349,12574,"83","35",20.3,22.9,23,22.9
"2020-21","786","Social Circle City","0201","Social Circle High School","All Students","Mathematics",1295349,12574,"15","15",19.9,22,19.9,19.9
"2020-21","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","All Students","Mathematics",1295349,12574,"204","29",19.9,22,20.4,19.2
"2020-21","667","Gwinnett County","0105","Mill Creek High School","All Students","Reading",1295349,12574,"1292","104",20.9,23.8,24,23.9
"2020-21","667","Gwinnett County","0105","Mill Creek High School","All Students","Composite",1295349,12574,"1292","104",20.3,22.9,23.5,23.1
"2020-21","667","Gwinnett County","4556","North Gwinnett High School","All Students","Writing Subscore",463733,2516,"244","26",6.4,6.9,7.4,7.7
"2020-21","710","Paulding County","0101","Hiram High School","All Students","English",1295349,12575,"164","16",19.6,22.5,20.1,16.9
"2020-21","710","Paulding County","0101","Hiram High School","All Students","Reading",1295349,12574,"164","16",20.9,23.8,21.8,18.4
"2020-21","727","Stephens County","5050","Stephens County High School","All Students","English",1295349,12575,"11","11",19.6,22.5,20.2,20.2
"2020-21","746","Walker County","0198","LaFayette High School","All Students","Reading",1295349,12574,"81","50",20.9,23.8,20.7,21.2
"2020-21","746","Walker County","0198","LaFayette High School","All Students","Writing Subscore",463733,2516,"26","15",6.4,6.9,6.5,6.5
"2020-21","643","Decatur County","3050","Bainbridge High School","All Students","Composite",1295349,12574,"45","45",20.3,22.9,18.4,18.4
"2020-21","692","Lowndes County","5050","Lowndes High School","All Students","Mathematics",1295349,12574,"70","70",19.9,22,21.1,21.1
"2020-21","725","Seminole County","0196","Seminole County Middle/High School","All Students","English",1295349,12575,"TFS","TFS",19.6,22.5,,
"2020-21","725","Seminole County","0196","Seminole County Middle/High School","All Students","Composite",1295349,12574,"TFS","TFS",20.3,22.9,,
"2020-21","725","Seminole County","0196","Seminole County Middle/High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","685","Lamar County","0175","Lamar County High School","All Students","English",1295349,12575,"TFS","TFS",19.6,22.5,,
"2020-21","685","Lamar County","0175","Lamar County High School","All Students","Mathematics",1295349,12574,"TFS","TFS",19.9,22,,
"2020-21","687","Laurens County","0197","East Laurens High School","All Students","Mathematics",1295349,12574,"37","TFS",19.9,22,19.8,
"2020-21","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology","All Students","Writing Subscore",463733,2516,"244","TFS",6.4,6.9,7.4,
"2020-21","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology","All Students","English",1295349,12575,"1292","54",19.6,22.5,22.8,29.4
"2020-21","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology","All Students","Composite",1295349,12574,"1292","54",20.3,22.9,23.5,29.4
