"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2020-21","761","Atlanta Public Schools","4058","Douglass High School","All Students","English",1295349,12575,"303","TFS",19.6,22.5,19.8,
"2020-21","761","Atlanta Public Schools","4058","Douglass High School","All Students","Science",1295349,12574,"303","TFS",20.4,22.7,19.6,
"2020-21","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Writing Subscore",463733,2516,"TFS","TFS",6.4,6.9,,
"2020-21","755","Whitfield County","0112","Coahulla Creek High School","All Students","Reading",1295349,12574,"80","24",20.9,23.8,20.9,21.5
"2020-21","755","Whitfield County","0112","Coahulla Creek High School","All Students","Mathematics",1295349,12574,"80","24",19.9,22,20.3,21.1
"2020-21","769","Chickamauga City","0211","Gordon Lee High School","All Students","Reading",1295349,12574,"44","44",20.9,23.8,22.6,22.6
"2020-21","769","Chickamauga City","0211","Gordon Lee High School","All Students","Mathematics",1295349,12574,"44","44",19.9,22,19.4,19.4
"2020-21","706","Muscogee County","0378","Spencer High School","All Students","Mathematics",1295349,12574,"224","TFS",19.9,22,22.4,
"2020-21","706","Muscogee County","0378","Spencer High School","All Students","Writing Subscore",463733,2516,"44","TFS",6.4,6.9,7.4,
"2020-21","744","Union County","3050","Woody Gap High/Elementary School","All Students","English",1295349,12575,"12","TFS",19.6,22.5,23.3,
"2020-21","745","Thomaston-Upson County","0195","Upson-Lee High School","All Students","English",1295349,12575,"16","16",19.6,22.5,20.2,20.2
