"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2019-20","653","Emanuel County","0189","Swainsboro High School",160,69,43.13
"2019-20","653","Emanuel County","2050","Emanuel County Institute",73,41,56.16
"2019-20","653","Emanuel County","ALL","All Schools",233,110,47.21
"2019-20","654","Evans County","0197","Second Chance",,,
"2019-20","654","Evans County","2050","Claxton High School",108,48,44.44
"2019-20","654","Evans County","ALL","All Schools",109,48,44.04
"2019-20","655","Fannin County","0176","Fannin County High School",217,116,53.46
"2019-20","655","Fannin County","ALL","All Schools",217,116,53.46
"2019-20","656","Fayette County","0105","Whitewater High School",362,229,63.26
"2019-20","656","Fayette County","0182","McIntosh High School",380,276,72.63
"2019-20","656","Fayette County","0192","Sandy Creek High School",220,104,47.27
"2019-20","656","Fayette County","0198","Starrs Mill High School",348,266,76.44
"2019-20","656","Fayette County","0398","Fayette County High School",285,123,43.16
"2019-20","656","Fayette County","ALL","All Schools",1595,998,62.57
"2019-20","657","Floyd County","0107","Pepperell High School",183,81,44.26
"2019-20","657","Floyd County","0111","Model High",157,94,59.87
"2019-20","657","Floyd County","0401","Armuchee High School",126,71,56.35
"2019-20","657","Floyd County","5050","Coosa High School",145,61,42.07
"2019-20","657","Floyd County","ALL","All Schools",611,307,50.25
"2019-20","658","Forsyth County","0107","West Forsyth High School",622,405,65.11
"2019-20","658","Forsyth County","0190","South Forsyth High School",543,408,75.14
"2019-20","658","Forsyth County","0195","North Forsyth High School",605,315,52.07
"2019-20","658","Forsyth County","0214","Lambert High School",721,599,83.08
"2019-20","658","Forsyth County","0702","Denmark High School",369,243,65.85
"2019-20","658","Forsyth County","5050","Forsyth Central High School",657,388,59.06
"2019-20","658","Forsyth County","ALL","All Schools",3517,2358,67.05
"2019-20","659","Franklin County","3050","Franklin County High School",248,138,55.65
"2019-20","659","Franklin County","ALL","All Schools",248,138,55.65
"2019-20","660","Fulton County","0106","Milton High School",564,400,70.92
"2019-20","660","Fulton County","0118","Hapeville Charter Career Academy",127,44,34.65
"2019-20","660","Fulton County","0119","Cambridge High School",493,352,71.4
"2019-20","660","Fulton County","0176","Banneker High School",259,54,20.85
"2019-20","660","Fulton County","0191","Roswell High School",503,315,62.62
"2019-20","660","Fulton County","0198","Centennial High School",435,224,51.49
"2019-20","660","Fulton County","0203","Northview High School",419,329,78.52
"2019-20","660","Fulton County","0205","Alpharetta High School",553,376,67.99
"2019-20","660","Fulton County","0291","Creekside High School",349,59,16.91
"2019-20","660","Fulton County","0383","McClarin High School",69,1,1.45
"2019-20","660","Fulton County","0386","Independence High School",79,8,10.13
"2019-20","660","Fulton County","0392","Chattahoochee High School",406,287,70.69
"2019-20","660","Fulton County","0691","Tri-Cities High School",294,78,26.53
"2019-20","660","Fulton County","0910","Johns Creek High School",502,362,72.11
"2019-20","660","Fulton County","1110","Langston Hughes High School",382,104,27.23
"2019-20","660","Fulton County","1320","Skyview High School",31,,
"2019-20","660","Fulton County","3066","Riverwood International Charter School",399,221,55.39
"2019-20","660","Fulton County","4062","North Springs High School",331,183,55.29
"2019-20","660","Fulton County","5069","Westlake High School",445,164,36.85
"2019-20","660","Fulton County","ALL","All Schools",6640,3561,53.63
"2019-20","661","Gilmer County","0196","Gilmer High School",263,138,52.47
"2019-20","661","Gilmer County","ALL","All Schools",263,138,52.47
"2019-20","662","Glascock County","0196","Glascock County Middle/High School",35,14,40
"2019-20","662","Glascock County","ALL","All Schools",35,14,40
"2019-20","663","Glynn County","3552","Brunswick High School",360,160,44.44
"2019-20","663","Glynn County","4752","Glynn Academy",421,251,59.62
"2019-20","663","Glynn County","ALL","All Schools",781,411,52.62
"2019-20","664","Gordon County","0106","Sonoraville High School",270,162,60
"2019-20","664","Gordon County","0286","Gordon Central High School",193,120,62.18
"2019-20","664","Gordon County","ALL","All Schools",463,282,60.91
"2019-20","665","Grady County","1050","Cairo High School",251,109,43.43
"2019-20","665","Grady County","ALL","All Schools",251,109,43.43
"2019-20","666","Greene County","0401","Greene County High School",83,38,45.78
"2019-20","666","Greene County","0402","Lake Oconee Charter High School",58,49,84.48
"2019-20","666","Greene County","ALL","All Schools",141,87,61.7
"2019-20","667","Gwinnett County","0101","Grayson High School",654,390,59.63
"2019-20","667","Gwinnett County","0103","Norcross High School",651,275,42.24
"2019-20","667","Gwinnett County","0105","Mill Creek High School",844,532,63.03
"2019-20","667","Gwinnett County","0176","Parkview High School",661,411,62.18
"2019-20","667","Gwinnett County","0182","Brookwood High School",813,515,63.35
"2019-20","667","Gwinnett County","0185","Shiloh High School",409,149,36.43
"2019-20","667","Gwinnett County","0187","Meadowcreek High School",500,155,31
"2019-20","667","Gwinnett County","0189","Phoenix High School",251,13,5.18
"2019-20","667","Gwinnett County","0195","Collins Hill High School",650,373,57.38
"2019-20","667","Gwinnett County","0708","Oakland Meadow School",,,
"2019-20","667","Gwinnett County","0805","Peachtree Ridge High School",793,468,59.02
"2019-20","667","Gwinnett County","1018","Lanier High School",409,241,58.92
"2019-20","667","Gwinnett County","1019","Gwinnett School of Mathematics, Science and Technology",223,164,73.54
"2019-20","667","Gwinnett County","1050","Berkmar High School",543,231,42.54
"2019-20","667","Gwinnett County","1214","Gwinnett Online Campus",143,40,27.97
"2019-20","667","Gwinnett County","1410","Mountain View High School",584,300,51.37
"2019-20","667","Gwinnett County","1710","Archer High School",609,396,65.02
"2019-20","667","Gwinnett County","1814","Discovery High School",550,206,37.45
"2019-20","667","Gwinnett County","1818","Paul Duke STEM High School",107,41,38.32
"2019-20","667","Gwinnett County","1819","McClure Health Science High School",49,25,51.02
"2019-20","667","Gwinnett County","2558","South Gwinnett High School",487,175,35.93
"2019-20","667","Gwinnett County","3750","Central Gwinnett High School",359,101,28.13
"2019-20","667","Gwinnett County","4052","Dacula High School",444,208,46.85
"2019-20","667","Gwinnett County","4556","North Gwinnett High School",732,572,78.14
"2019-20","667","Gwinnett County","5550","Duluth High School",553,266,48.1
"2019-20","667","Gwinnett County","ALL","All Schools",12023,6247,51.96
"2019-20","668","Habersham County","0114","Habersham Success Academy",,,
"2019-20","668","Habersham County","2052","Habersham Central High School",423,209,49.41
"2019-20","668","Habersham County","ALL","All Schools",432,209,48.38
"2019-20","669","Hall County","0102","Chestatee High School",285,140,49.12
"2019-20","669","Hall County","0105","Lanier College and Career Academy",90,4,4.44
"2019-20","669","Hall County","0189","West Hall High School",259,102,39.38
"2019-20","669","Hall County","0202","Flowery Branch High",337,201,59.64
"2019-20","669","Hall County","0391","Cherokee Bluff High School",150,81,54
"2019-20","669","Hall County","0392","The Foundry",,,
"2019-20","669","Hall County","1552","East Hall High School",244,92,37.7
"2019-20","669","Hall County","1556","North Hall High School",280,158,56.43
"2019-20","669","Hall County","4752","Johnson High School",316,131,41.46
"2019-20","669","Hall County","ALL","All Schools",1966,909,46.24
"2019-20","670","Hancock County","0288","Hancock Central High School",54,30,55.56
"2019-20","670","Hancock County","ALL","All Schools",54,30,55.56
"2019-20","671","Haralson County","0198","Haralson County Rebel Academy",,,
"2019-20","671","Haralson County","3050","Haralson County High School",209,100,47.85
"2019-20","671","Haralson County","ALL","All Schools",213,100,46.95
"2019-20","672","Harris County","0299","Harris County High School",383,220,57.44
"2019-20","672","Harris County","ALL","All Schools",383,220,57.44
"2019-20","673","Hart County","3050","Hart County High School",217,112,51.61
"2019-20","673","Hart County","ALL","All Schools",217,112,51.61
"2019-20","674","Heard County","0110","Heard County High School",138,68,49.28
"2019-20","674","Heard County","ALL","All Schools",138,68,49.28
"2019-20","675","Henry County","0101","Union Grove High",372,196,52.69
"2019-20","675","Henry County","0104","Luella High School",284,106,37.32
"2019-20","675","Henry County","0105","Dutchtown High",431,152,35.27
"2019-20","675","Henry County","0214","Locust Grove High",332,130,39.16
"2019-20","675","Henry County","0295","Stockbridge High School",298,97,32.55
"2019-20","675","Henry County","0307","Ola High School",405,150,37.04
"2019-20","675","Henry County","0315","Hampton High School",273,115,42.12
"2019-20","675","Henry County","0391","Eagle's Landing High School",338,68,20.12
"2019-20","675","Henry County","0408","Woodland High School",351,116,33.05
"2019-20","675","Henry County","0804","EXCEL Academy",,,
"2019-20","675","Henry County","3050","McDonough High School",245,76,31.02
"2019-20","675","Henry County","ALL","All Schools",3336,1206,36.15
"2019-20","676","Houston County","0111","Veterans High School",409,222,54.28
"2019-20","676","Houston County","0116","Houston County WIN Academy",51,,
"2019-20","676","Houston County","0192","Houston County High School",461,314,68.11
"2019-20","676","Houston County","1054","Perry High School",299,171,57.19
"2019-20","676","Houston County","2052","Northside High School",423,140,33.1
"2019-20","676","Houston County","4056","Warner Robins High School",321,110,34.27
"2019-20","676","Houston County","ALL","All Schools",1964,957,48.73
"2019-20","677","Irwin County","2050","Irwin County High School",116,48,41.38
"2019-20","677","Irwin County","ALL","All Schools",116,48,41.38
"2019-20","678","Jackson County","0107","East Jackson Comprehensive High School",213,100,46.95
"2019-20","678","Jackson County","0191","Jackson County Comprehensive High School",252,114,45.24
"2019-20","678","Jackson County","ALL","All Schools",465,214,46.02
"2019-20","679","Jasper County","0108","Jasper County High School",152,46,30.26
"2019-20","679","Jasper County","ALL","All Schools",152,46,30.26
"2019-20","680","Jeff Davis County","0199","Jeff Davis High School",187,112,59.89
"2019-20","680","Jeff Davis County","ALL","All Schools",187,112,59.89
"2019-20","681","Jefferson County","0196","Jefferson County High School",180,68,37.78
"2019-20","681","Jefferson County","ALL","All Schools",180,68,37.78
"2019-20","682","Jenkins County","0201","Jenkins County High School",58,28,48.28
"2019-20","682","Jenkins County","ALL","All Schools",58,28,48.28
"2019-20","683","Johnson County","0201","Johnson County High School",85,35,41.18
"2019-20","683","Johnson County","ALL","All Schools",85,35,41.18
"2019-20","684","Jones County","0192","Jones County High School",343,156,45.48
"2019-20","684","Jones County","ALL","All Schools",343,156,45.48
"2019-20","685","Lamar County","0175","Lamar County High School",164,78,47.56
"2019-20","685","Lamar County","ALL","All Schools",164,78,47.56
"2019-20","686","Lanier County","0201","Lanier County High School",98,29,29.59
"2019-20","686","Lanier County","ALL","All Schools",98,29,29.59
"2019-20","687","Laurens County","0110","West Laurens High School",279,129,46.24
"2019-20","687","Laurens County","0197","East Laurens High School",134,62,46.27
"2019-20","687","Laurens County","ALL","All Schools",413,191,46.25
"2019-20","688","Lee County","0193","Lee County High School",461,193,41.87
"2019-20","688","Lee County","ALL","All Schools",461,193,41.87
"2019-20","689","Liberty County","0105","Bradwell Institute",354,100,28.25
"2019-20","689","Liberty County","0192","Liberty County High School",241,88,36.51
"2019-20","689","Liberty County","ALL","All Schools",595,188,31.6
"2019-20","690","Lincoln County","0110","Lincoln County High School",87,37,42.53
"2019-20","690","Lincoln County","ALL","All Schools",87,37,42.53
"2019-20","691","Long County","0205","Long County High School",218,108,49.54
"2019-20","691","Long County","ALL","All Schools",218,108,49.54
"2019-20","692","Lowndes County","5050","Lowndes High School",629,339,53.9
"2019-20","692","Lowndes County","ALL","All Schools",629,339,53.9
"2019-20","693","Lumpkin County","0101","Lumpkin County High School",243,112,46.09
"2019-20","693","Lumpkin County","ALL","All Schools",243,112,46.09
"2019-20","694","Macon County","2060","Macon County High School",87,17,19.54
"2019-20","694","Macon County","ALL","All Schools",87,17,19.54
"2019-20","695","Madison County","5050","Madison County High School",297,105,35.35
"2019-20","695","Madison County","ALL","All Schools",297,105,35.35
"2019-20","696","Marion County","0275","Marion County Middle/High School",110,58,52.73
"2019-20","696","Marion County","ALL","All Schools",110,58,52.73
"2019-20","697","McDuffie County","0192","Thomson High School",226,102,45.13
"2019-20","697","McDuffie County","ALL","All Schools",226,102,45.13
"2019-20","698","McIntosh County","0104","McIntosh Academy",88,30,34.09
"2019-20","698","McIntosh County","ALL","All Schools",88,30,34.09
"2019-20","699","Meriwether County","0300","Greenville High School",66,16,24.24
"2019-20","699","Meriwether County","4050","Manchester High School",90,29,32.22
"2019-20","699","Meriwether County","ALL","All Schools",156,45,28.85
"2019-20","700","Miller County","0210","Miller County High School",57,30,52.63
"2019-20","700","Miller County","ALL","All Schools",57,30,52.63
"2019-20","701","Mitchell County","0282","Mitchell County High School",70,22,31.43
"2019-20","701","Mitchell County","ALL","All Schools",70,22,31.43
"2019-20","702","Monroe County","0184","Mary Persons High School",278,135,48.56
"2019-20","702","Monroe County","ALL","All Schools",278,135,48.56
"2019-20","703","Montgomery County","0201","Montgomery County High School",50,20,40
"2019-20","703","Montgomery County","ALL","All Schools",50,20,40
"2019-20","704","Morgan County","1050","Morgan County High School",208,105,50.48
"2019-20","704","Morgan County","ALL","All Schools",208,105,50.48
"2019-20","705","Murray County","0108","Pleasant Valley Innovative School",19,1,5.26
"2019-20","705","Murray County","0112","North Murray High School",214,134,62.62
"2019-20","705","Murray County","0190","Murray County High School",191,101,52.88
"2019-20","705","Murray County","ALL","All Schools",424,236,55.66
"2019-20","706","Muscogee County","0203","Northside High School",349,197,56.45
"2019-20","706","Muscogee County","0278","Shaw High School",264,93,35.23
"2019-20","706","Muscogee County","0378","Spencer High School",174,21,12.07
"2019-20","706","Muscogee County","0502","Rainey McCullers School of the Arts",14,11,78.57
"2019-20","706","Muscogee County","1064","Kendrick High School",166,19,11.45
"2019-20","706","Muscogee County","2062","Hardaway High School",265,71,26.79
"2019-20","706","Muscogee County","3054","Columbus High School",280,269,96.07
"2019-20","706","Muscogee County","5052","Carver High School",204,36,17.65
"2019-20","706","Muscogee County","5062","Jordan Vocational High School",189,42,22.22
