"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2019-20","601","Appling County","0103","Appling County High School",204,95,46.57
"2019-20","601","Appling County","ALL","All Schools",204,95,46.57
"2019-20","602","Atkinson County","0103","Atkinson County High School",117,51,43.59
"2019-20","602","Atkinson County","ALL","All Schools",117,51,43.59
"2019-20","603","Bacon County","0302","Bacon County High School",117,61,52.14
"2019-20","603","Bacon County","ALL","All Schools",117,61,52.14
"2019-20","604","Baker County","0105","Baker County K12 School",11,,
"2019-20","604","Baker County","ALL","All Schools",11,,
"2019-20","605","Baldwin County","0189","Baldwin High School",236,66,27.97
"2019-20","605","Baldwin County","ALL","All Schools",236,66,27.97
"2019-20","606","Banks County","0199","Banks County High School",204,102,50
"2019-20","606","Banks County","ALL","All Schools",204,102,50
"2019-20","607","Barrow County","0101","Apalachee High School",407,184,45.21
"2019-20","607","Barrow County","3052","Winder-Barrow High School",393,190,48.35
"2019-20","607","Barrow County","ALL","All Schools",800,374,46.75
"2019-20","608","Bartow County","0105","Adairsville High School",208,113,54.33
"2019-20","608","Bartow County","0114","Cass High School",306,152,49.67
"2019-20","608","Bartow County","0198","Woodland High School",303,137,45.21
"2019-20","608","Bartow County","ALL","All Schools",817,402,49.2
"2019-20","609","Ben Hill County","0291","Fitzgerald High School",176,87,49.43
"2019-20","609","Ben Hill County","ALL","All Schools",176,87,49.43
"2019-20","610","Berrien County","0101","Berrien High School",175,84,48
"2019-20","610","Berrien County","0106","Berrien Academy Performance Learning Center",,,
"2019-20","610","Berrien County","ALL","All Schools",184,85,46.2
"2019-20","611","Bibb County","0105","Howard High School",263,82,31.18
"2019-20","611","Bibb County","0186","Central High School",218,74,33.94
"2019-20","611","Bibb County","0198","Westside High School",201,39,19.4
"2019-20","611","Bibb County","0204","Rutland High School",179,61,34.08
"2019-20","611","Bibb County","0286","Northeast High School",157,28,17.83
"2019-20","611","Bibb County","0386","Southwest High School",158,28,17.72
"2019-20","611","Bibb County","ALL","All Schools",1176,312,26.53
"2019-20","612","Bleckley County","0105","Bleckley County High School",163,82,50.31
"2019-20","612","Bleckley County","0115","Bleckley County Success Academy",20,,
"2019-20","612","Bleckley County","ALL","All Schools",183,82,44.81
"2019-20","613","Brantley County","1050","Brantley County High School",240,125,52.08
"2019-20","613","Brantley County","ALL","All Schools",240,125,52.08
"2019-20","614","Brooks County","0110","Brooks County High School",103,40,38.83
"2019-20","614","Brooks County","0394","Delta Innovative School",22,,
"2019-20","614","Brooks County","ALL","All Schools",125,40,32
"2019-20","615","Bryan County","0182","Richmond Hill High School",532,259,48.68
"2019-20","615","Bryan County","0502","Bryan County High School",131,53,40.46
"2019-20","615","Bryan County","ALL","All Schools",663,312,47.06
"2019-20","616","Bulloch County","0203","Southeast Bulloch High School",224,105,46.88
"2019-20","616","Bulloch County","2054","Statesboro High School",342,130,38.01
"2019-20","616","Bulloch County","4052","Portal Middle/High School",53,30,56.6
"2019-20","616","Bulloch County","ALL","All Schools",619,265,42.81
"2019-20","617","Burke County","0288","Burke County High School",258,52,20.16
"2019-20","617","Burke County","ALL","All Schools",258,52,20.16
"2019-20","618","Butts County","0190","Jackson High School",208,103,49.52
"2019-20","618","Butts County","ALL","All Schools",208,103,49.52
"2019-20","619","Calhoun County","0113","Calhoun County High School",53,15,28.3
"2019-20","619","Calhoun County","ALL","All Schools",53,15,28.3
"2019-20","620","Camden County","0295","Camden County High School",567,276,48.68
"2019-20","620","Camden County","ALL","All Schools",567,276,48.68
"2019-20","621","Candler County","0101","Metter High School",114,55,48.25
"2019-20","621","Candler County","0303","Metter Career Academy",14,1,7.14
"2019-20","621","Candler County","ALL","All Schools",128,56,43.75
"2019-20","622","Carroll County","0112","KidsPeace",,,
"2019-20","622","Carroll County","0189","Temple High School",155,84,54.19
"2019-20","622","Carroll County","0212","Mt. Zion High School",89,46,51.69
"2019-20","622","Carroll County","2052","Central High School",286,173,60.49
"2019-20","622","Carroll County","3050","Bowdon High School",89,60,67.42
"2019-20","622","Carroll County","5054","Villa Rica High School",342,182,53.22
"2019-20","622","Carroll County","ALL","All Schools",962,545,56.65
"2019-20","623","Catoosa County","0109","Heritage High School",306,153,50
"2019-20","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School",202,81,40.1
"2019-20","623","Catoosa County","4052","Ringgold High School",268,149,55.6
"2019-20","623","Catoosa County","ALL","All Schools",776,383,49.36
"2019-20","624","Charlton County","0287","Charlton County High School",89,37,41.57
"2019-20","624","Charlton County","ALL","All Schools",89,37,41.57
"2019-20","625","Savannah-Chatham County","0101","Johnson High School",144,25,17.36
"2019-20","625","Savannah-Chatham County","0115","Woodville-Tompkins Technical and Career High School",155,84,54.19
"2019-20","625","Savannah-Chatham County","0117","New Hampstead High School",321,94,29.28
"2019-20","625","Savannah-Chatham County","0210","The School of Liberal Studies at Savannah High",114,18,15.79
"2019-20","625","Savannah-Chatham County","0411","Islands High School",245,110,44.9
"2019-20","625","Savannah-Chatham County","0499","Savannah Arts Academy",225,166,73.78
"2019-20","625","Savannah-Chatham County","0513","Savannah Early College High School",48,35,72.92
"2019-20","625","Savannah-Chatham County","0516","Savannah Classical Academy Charter High School",,,
"2019-20","625","Savannah-Chatham County","2052","Beach High School",189,38,20.11
"2019-20","625","Savannah-Chatham County","3056","Groves High School",149,25,16.78
"2019-20","625","Savannah-Chatham County","5060","Jenkins High School",233,60,25.75
"2019-20","625","Savannah-Chatham County","5070","Windsor Forest High School",203,50,24.63
"2019-20","625","Savannah-Chatham County","ALL","All Schools",2035,709,34.84
"2019-20","626","Chattahoochee County","0206","Chattahoochee County High School",102,41,40.2
"2019-20","626","Chattahoochee County","ALL","All Schools",102,41,40.2
"2019-20","627","Chattooga County","1050","Chattooga High School",175,78,44.57
"2019-20","627","Chattooga County","ALL","All Schools",175,78,44.57
"2019-20","628","Cherokee County","0106","Creekview High School",479,363,75.78
"2019-20","628","Cherokee County","0115","River Ridge High School",420,223,53.1
"2019-20","628","Cherokee County","0176","Etowah High School",551,330,59.89
"2019-20","628","Cherokee County","0191","Sequoyah High School",436,245,56.19
"2019-20","628","Cherokee County","0197","Woodstock High School",534,304,56.93
"2019-20","628","Cherokee County","5050","Cherokee High School",564,296,52.48
"2019-20","628","Cherokee County","ALL","All Schools",2984,1761,59.01
"2019-20","629","Clarke County","0102","Cedar Shoals High School",237,89,37.55
"2019-20","629","Clarke County","0104","Classic City High School",25,,
"2019-20","629","Clarke County","5556","Clarke Central High School",322,123,38.2
"2019-20","629","Clarke County","ALL","All Schools",584,212,36.3
"2019-20","631","Clayton County","0104","Mundy's Mill High School",273,79,28.94
"2019-20","631","Clayton County","0114","Elite Scholars Academy School",64,50,78.13
"2019-20","631","Clayton County","0115","Charles R. Drew High School",242,83,34.3
"2019-20","631","Clayton County","0190","Lovejoy High School",345,122,35.36
"2019-20","631","Clayton County","0215","Martha Ellen Stilwell School for the Performing Arts",135,95,70.37
"2019-20","631","Clayton County","0290","Mount Zion High School",214,68,31.78
"2019-20","631","Clayton County","0377","Riverdale High School",218,58,26.61
"2019-20","631","Clayton County","0378","Perry Career Academy - Eula Wilburn Ponds Perry Center for Learning",445,6,1.35
"2019-20","631","Clayton County","1054","Forest Park High School",309,131,42.39
"2019-20","631","Clayton County","1056","Jonesboro High School",230,52,22.61
"2019-20","631","Clayton County","2052","North Clayton High School",185,54,29.19
"2019-20","631","Clayton County","4058","Morrow High School",316,116,36.71
"2019-20","631","Clayton County","ALL","All Schools",2976,914,30.71
"2019-20","632","Clinch County","1050","Clinch County High School",97,45,46.39
"2019-20","632","Clinch County","ALL","All Schools",97,45,46.39
"2019-20","633","Cobb County","0101","Kennesaw Mountain High School",451,275,60.98
"2019-20","633","Cobb County","0103","Kell High School",378,196,51.85
"2019-20","633","Cobb County","0175","Walton High School",590,446,75.59
"2019-20","633","Cobb County","0188","Pope High School",488,337,69.06
"2019-20","633","Cobb County","0192","Harrison High School",574,350,60.98
"2019-20","633","Cobb County","0209","Allatoona High School",358,213,59.5
"2019-20","633","Cobb County","0373","Sprayberry High School",396,181,45.71
"2019-20","633","Cobb County","0381","Lassiter High School",521,371,71.21
"2019-20","633","Cobb County","0707","Hillgrove High School",598,366,61.2
"2019-20","633","Cobb County","0808","Cobb Horizon High School",169,10,5.92
"2019-20","633","Cobb County","1054","Campbell High School",644,380,59.01
"2019-20","633","Cobb County","1064","McEachern High School",581,216,37.18
"2019-20","633","Cobb County","1069","Wheeler High School",460,249,54.13
"2019-20","633","Cobb County","2056","North Cobb High School",698,395,56.59
"2019-20","633","Cobb County","2066","Osborne High School",426,124,29.11
"2019-20","633","Cobb County","3056","South Cobb High School",441,158,35.83
"2019-20","633","Cobb County","4066","Pebblebrook High School",571,193,33.8
"2019-20","633","Cobb County","ALL","All Schools",8344,4460,53.45
"2019-20","634","Coffee County","0114","Wiregrass Regional College and Career Academy",52,9,17.31
"2019-20","634","Coffee County","0195","Coffee County High School",376,175,46.54
"2019-20","634","Coffee County","ALL","All Schools",428,184,42.99
"2019-20","635","Colquitt County","1554","Colquitt County High School",522,201,38.51
"2019-20","635","Colquitt County","ALL","All Schools",522,201,38.51
"2019-20","636","Columbia County","0112","Grovetown High School",410,144,35.12
"2019-20","636","Columbia County","0183","Harlem High School",244,115,47.13
"2019-20","636","Columbia County","0189","Lakeside High School",398,254,63.82
"2019-20","636","Columbia County","0197","Greenbrier High School",375,223,59.47
"2019-20","636","Columbia County","4050","Evans High School",422,161,38.15
"2019-20","636","Columbia County","ALL","All Schools",1849,897,48.51
"2019-20","637","Cook County","0111","Cook High School",202,86,42.57
"2019-20","637","Cook County","ALL","All Schools",202,86,42.57
"2019-20","638","Coweta County","0196","Northgate High School",416,243,58.41
"2019-20","638","Coweta County","0389","East Coweta High School",725,364,50.21
"2019-20","638","Coweta County","5054","Newnan High School",463,209,45.14
"2019-20","638","Coweta County","ALL","All Schools",1604,816,50.87
"2019-20","639","Crawford County","0193","Crawford County High School",97,43,44.33
"2019-20","639","Crawford County","ALL","All Schools",97,43,44.33
"2019-20","640","Crisp County","0196","Crisp County High School",266,99,37.22
"2019-20","640","Crisp County","ALL","All Schools",266,99,37.22
"2019-20","641","Dade County","0195","Dade County High School",147,75,51.02
"2019-20","641","Dade County","ALL","All Schools",147,75,51.02
"2019-20","642","Dawson County","0198","Dawson County High School",263,144,54.75
"2019-20","642","Dawson County","ALL","All Schools",263,144,54.75
"2019-20","643","Decatur County","0116","New Beginning Learning Center",47,2,4.26
"2019-20","643","Decatur County","3050","Bainbridge High School",298,135,45.3
"2019-20","643","Decatur County","ALL","All Schools",345,137,39.71
"2019-20","644","DeKalb County","0103","Martin Luther King, Jr. High School",303,78,25.74
"2019-20","644","DeKalb County","0105","Miller Grove High School",208,50,24.04
"2019-20","644","DeKalb County","0172","Cedar Grove High School",229,45,19.65
"2019-20","644","DeKalb County","0176","Redan High School",193,54,27.98
"2019-20","644","DeKalb County","0202","Lithonia High School",273,53,19.41
"2019-20","644","DeKalb County","0276","Stone Mountain High School",209,69,33.01
"2019-20","644","DeKalb County","0315","Tapestry Public Charter School",26,12,46.15
"2019-20","644","DeKalb County","0407","Dekalb Early College Academy",63,52,82.54
"2019-20","644","DeKalb County","0410","DeKalb School of the Arts",76,61,80.26
"2019-20","644","DeKalb County","0497","Stephenson High School",308,91,29.55
"2019-20","644","DeKalb County","0610","Arabia Mountain High School - Academy of Engineering, Medicine and Environm",298,180,60.4
"2019-20","644","DeKalb County","0810","Elizabeth Andrews High School",171,5,2.92
"2019-20","644","DeKalb County","1070","Tucker High School",321,157,48.91
"2019-20","644","DeKalb County","2054","Columbia High School",202,57,28.22
"2019-20","644","DeKalb County","2055","Druid Hills High School",285,146,51.23
"2019-20","644","DeKalb County","3060","Lakeside High School",450,290,64.44
"2019-20","644","DeKalb County","3070","McNair High School",101,23,22.77
"2019-20","644","DeKalb County","4053","Clarkston High School",236,102,43.22
"2019-20","644","DeKalb County","4054","Cross Keys High School",248,95,38.31
"2019-20","644","DeKalb County","4069","Towers High School",131,38,29.01
"2019-20","644","DeKalb County","5052","Chamblee Charter High School",353,229,64.87
"2019-20","644","DeKalb County","5055","Dunwoody High School",459,319,69.5
"2019-20","644","DeKalb County","5067","Southwest DeKalb High School",255,78,30.59
"2019-20","644","DeKalb County","ALL","All Schools",5398,2284,42.31
"2019-20","645","Dodge County","0103","Dodge County High School",196,91,46.43
"2019-20","645","Dodge County","0292","DAC (Dodge County Achievement Center)",,,
"2019-20","645","Dodge County","ALL","All Schools",204,91,44.61
"2019-20","646","Dooly County","0182","Dooly County High School",74,21,28.38
"2019-20","646","Dooly County","0205","Dooly County Prep Academy",,,
"2019-20","646","Dooly County","ALL","All Schools",75,21,28
"2019-20","647","Dougherty County","1058","Monroe High School",229,56,24.45
"2019-20","647","Dougherty County","2052","Dougherty Comprehensive High School",232,59,25.43
"2019-20","647","Dougherty County","4062","Westover High School",306,112,36.6
"2019-20","647","Dougherty County","ALL","All Schools",767,227,29.6
"2019-20","648","Douglas County","0100","Chapel Hill High School",343,168,48.98
"2019-20","648","Douglas County","0175","Lithia Springs Comprehensive High School",403,136,33.75
"2019-20","648","Douglas County","0187","Alexander High School",432,228,52.78
"2019-20","648","Douglas County","0212","New Manchester High School",372,115,30.91
"2019-20","648","Douglas County","4050","Douglas County High School",489,226,46.22
"2019-20","648","Douglas County","ALL","All Schools",2039,873,42.82
"2019-20","649","Early County","2050","Early County High School",160,78,48.75
"2019-20","649","Early County","ALL","All Schools",160,78,48.75
"2019-20","650","Echols County","1050","Echols County High School",43,15,34.88
"2019-20","650","Echols County","ALL","All Schools",43,15,34.88
"2019-20","651","Effingham County","0197","South Effingham High School",359,185,51.53
"2019-20","651","Effingham County","0390","Effingham County High School",397,169,42.57
"2019-20","651","Effingham County","ALL","All Schools",756,354,46.83
"2019-20","652","Elbert County","0176","Elbert County High School",152,67,44.08
"2019-20","652","Elbert County","ALL","All Schools",152,67,44.08
