"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2020-21","761","Atlanta Public Schools","1413","Carver High School","72","11","15.28"
"2020-21","761","Atlanta Public Schools","4058","Douglass High School","172","45","26.16"
"2020-21","761","Atlanta Public Schools","4560","Grady High School","339","228","67.26"
"2020-21","761","Atlanta Public Schools","ALL","All Schools","2520","1064","42.22"
"2020-21","763","Bremen City","0201","Bremen High School","161","122","75.78"
"2020-21","763","Bremen City","ALL","All Schools","161","122","75.78"
"2020-21","764","Buford City","0191","Buford High School","353","241","68.27"
"2020-21","764","Buford City","ALL","All Schools","353","241","68.27"
"2020-21","765","Calhoun City","3050","Calhoun High School","269","158","58.74"
"2020-21","765","Calhoun City","ALL","All Schools","269","158","58.74"
"2020-21","766","Carrollton City","1050","Carrollton High School","417","283","67.87"
"2020-21","766","Carrollton City","ALL","All Schools","417","283","67.87"
"2020-21","767","Cartersville City","2050","Cartersville High School","316","201","63.61"
"2020-21","767","Cartersville City","ALL","All Schools","316","201","63.61"
"2020-21","769","Chickamauga City","0211","Gordon Lee High School","101","68","67.33"
"2020-21","769","Chickamauga City","ALL","All Schools","101","68","67.33"
"2020-21","771","Commerce City","0112","Commerce High School","117","67","57.26"
"2020-21","771","Commerce City","ALL","All Schools","117","67","57.26"
"2020-21","772","Dalton Public Schools","0110","Morris Innovative High School","41","16","39.02"
"2020-21","772","Dalton Public Schools","4050","Dalton High School","438","231","52.74"
"2020-21","772","Dalton Public Schools","ALL","All Schools","479","247","51.57"
"2020-21","773","Decatur City","3050","Decatur High School","349","266","76.22"
"2020-21","773","Decatur City","ALL","All Schools","349","266","76.22"
"2020-21","774","Dublin City","0211","Dublin High School","122","39","31.97"
"2020-21","774","Dublin City","0412","Moore Street Facility","24","TFS","TFS"
"2020-21","774","Dublin City","ALL","All Schools","146","39","26.71"
"2020-21","776","Gainesville City","3050","Gainesville High School","479","204","42.59"
"2020-21","776","Gainesville City","ALL","All Schools","479","204","42.59"
"2020-21","779","Jefferson City","0174","Jefferson High School","238","155","65.13"
"2020-21","779","Jefferson City","ALL","All Schools","238","155","65.13"
"2020-21","781","Marietta City","0101","Marietta High School","549","218","39.71"
"2020-21","781","Marietta City","0207","George W. Hartmann Center","TFS","TFS","TFS"
"2020-21","781","Marietta City","ALL","All Schools","551","218","39.56"
"2020-21","7820108","State Charter Schools- Mountain Education Center School","0108","Mountain Education Charter High School","375","72","19.2"
"2020-21","7820108","State Charter Schools- Mountain Education Center School","ALL","All Schools","375","72","19.2"
"2020-21","7820120","State Charter Schools- Georgia Cyber Academy","0120","Georgia Cyber Academy","638","316","49.53"
"2020-21","7820120","State Charter Schools- Georgia Cyber Academy","ALL","All Schools","638","316","49.53"
"2020-21","7820412","State Charter Schools- Georgia Connections Academy","0412","Georgia Connections Academy","468","174","37.18"
"2020-21","7820412","State Charter Schools- Georgia Connections Academy","ALL","All Schools","468","174","37.18"
"2020-21","7820613","State Charter Schools- Foothills Charter High School (Madison Campus)","0613","Foothills Charter High School (Central Office - Athens)","241","52","21.58"
"2020-21","7820613","State Charter Schools- Foothills Charter High School (Madison Campus)","ALL","All Schools","241","52","21.58"
"2020-21","7820618","State Charter Schools- Coastal Plains Charter High School - Candler Campus","0618","Coastal Plains Charter High School - Candler Campus","153","30","19.61"
"2020-21","7820618","State Charter Schools- Coastal Plains Charter High School - Candler Campus","ALL","All Schools","153","30","19.61"
"2020-21","7830103","State Charter Schools II- Statesboro STEAM Academy","0103","Statesboro STEAM Academy","21","17","80.95"
"2020-21","7830103","State Charter Schools II- Statesboro STEAM Academy","ALL","All Schools","21","17","80.95"
"2020-21","7830210","State Charter Schools II- Pataula Charter Academy","0210","Pataula Charter Academy","40","27","67.5"
"2020-21","7830210","State Charter Schools II- Pataula Charter Academy","ALL","All Schools","40","27","67.5"
"2020-21","7830310","State Charter Schools II- Fulton Leadership Academy","0310","Fulton Leadership Academy","11","TFS","TFS"
"2020-21","7830310","State Charter Schools II- Fulton Leadership Academy","ALL","All Schools","11","TFS","TFS"
"2020-21","7830623","State Charter Schools II- Academy For Classical Education","0623","Academy For Classical Education","103","74","71.84"
"2020-21","7830623","State Charter Schools II- Academy For Classical Education","ALL","All Schools","103","74","71.84"
"2020-21","7830626","State Charter Schools II- Furlow Charter School","0626","Furlow Charter School","17","9","52.94"
"2020-21","7830626","State Charter Schools II- Furlow Charter School","ALL","All Schools","17","9","52.94"
"2020-21","7830630","State Charter Schools II- Baconton Community Charter School","0630","Baconton Community Charter School","44","37","84.09"
"2020-21","7830630","State Charter Schools II- Baconton Community Charter School","ALL","All Schools","44","37","84.09"
"2020-21","7830634","State Charter Schools II- Georgia Fugees Academy Charter School","0634","Georgia Fugees Academy Charter School","10","TFS","TFS"
"2020-21","7830634","State Charter Schools II- Georgia Fugees Academy Charter School","ALL","All Schools","10","TFS","TFS"
"2020-21","784","Pelham City","0111","Pelham High School","86","32","37.21"
"2020-21","784","Pelham City","ALL","All Schools","86","32","37.21"
"2020-21","785","Rome City","0193","Rome High School","417","221","53"
"2020-21","785","Rome City","ALL","All Schools","417","221","53"
"2020-21","786","Social Circle City","0300","Social Circle High School","104","59","56.73"
"2020-21","786","Social Circle City","ALL","All Schools","104","59","56.73"
"2020-21","789","Thomasville City","4052","Thomasville High School","154","71","46.1"
"2020-21","789","Thomasville City","ALL","All Schools","154","71","46.1"
"2020-21","791","Trion City","0301","Trion High School","79","55","69.62"
"2020-21","791","Trion City","ALL","All Schools","79","55","69.62"
"2020-21","792","Valdosta City","0273","Valdosta High School","363","150","41.32"
"2020-21","792","Valdosta City","ALL","All Schools","363","150","41.32"
"2020-21","793","Vidalia City","0273","Vidalia Comprehensive High School","150","73","48.67"
"2020-21","793","Vidalia City","ALL","All Schools","150","73","48.67"
"2020-21","799","State Schools","1894","Georgia Academy for the Blind","TFS","TFS","TFS"
"2020-21","799","State Schools","ALL","All Schools","TFS","TFS","TFS"
"2020-21","7991893","State Schools- Atlanta Area School for the Deaf","1893","Atlanta Area School for the Deaf","TFS","TFS","TFS"
"2020-21","7991893","State Schools- Atlanta Area School for the Deaf","ALL","All Schools","TFS","TFS","TFS"
"2020-21","7991895","State Schools- Georgia School for the Deaf","1895","Georgia School for the Deaf","TFS","TFS","TFS"
"2020-21","7991895","State Schools- Georgia School for the Deaf","ALL","All Schools","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","0104","Atlanta Youth Detention Center","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","0298","Augusta Youth Development Campus","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","0405","Muscogee Youth Development Center","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","0598","Macon Youth Development Campus","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","0898","Eastman Youth Development Campus","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","4199","Millegeville ITU","TFS","TFS","TFS"
"2020-21","891","Department of Juvenile Justice","ALL","All Schools","18","TFS","TFS"
"2020-21","ALL","All Systems","ALL","All Schools","110832","55631","50.19"
