Appling County,18.8,,,TRUE
Atkinson County,18,,,TRUE
Atlanta Public Schools,18.6,,,TRUE
Bacon County,19.11411043,,,TRUE
Baker County,19.11411043,,,TRUE
Baldwin County,16.4,,,TRUE
Banks County,20.1,,,TRUE
Barrow County,18.8,,,TRUE
Bartow County,20,,,TRUE
Ben Hill County,17.8,,,TRUE
Berrien County,19.11411043,,,TRUE
Bibb County,17.4,,,TRUE
Bleckley County,18.6,,,TRUE
Brantley County,22,,,TRUE
Bremen City,21.9,,,TRUE
Brooks County,17,,,TRUE
Bryan County,21.3,,,TRUE
Buford City,22.6,,,TRUE
Bulloch County,19.8,,,TRUE
Burke County,17.5,,,TRUE
Butts County,17.5,,,TRUE
Calhoun City,20.5,,,TRUE
Calhoun County,19.11411043,,,TRUE
Camden County,21.2,,,TRUE
Candler County,18.7,,,TRUE
Carroll County,19.7,,,TRUE
Carrollton City,19.7,,,TRUE
Cartersville City,20.5,,,TRUE
Catoosa County,20.4,,,TRUE
Charlton County,19.6,,,TRUE
Chattahoochee County,19.5,,,TRUE
Chattooga County,17.7,,,TRUE
Cherokee County,22.3,,,TRUE
Chickamauga City,20.8,,,TRUE
Clarke County,18.2,,,TRUE
Clay County,19.11411043,,,TRUE
Clayton County,17.4,,,TRUE
Clinch County,19.11411043,,,TRUE
Cobb County,22.3,,,TRUE
Coffee County,19.6,,,TRUE
Colquitt County,17.8,,,TRUE
Columbia County,22,,,TRUE
Commerce City,19.6,,,TRUE
Cook County,19.1,,,TRUE
Coweta County,20.9,,,TRUE
Crawford County,18.8,,,TRUE
Crisp County,17.6,,,TRUE
Dade County,18.3,,,TRUE
Dalton Public Schools,20.2,,,TRUE
Dawson County,20.6,,,TRUE
Decatur City,23.4,,,TRUE
Decatur County,18.3,,,TRUE
DeKalb County,19.3,,,TRUE
Dodge County,17.9,,,TRUE
Dooly County,16.3,,,TRUE
Dougherty County,17.6,,,TRUE
Douglas County,18.9,,,TRUE
Dublin City,16.5,,,TRUE
Early County,18.1,,,TRUE
Echols County,18.3,,,TRUE
