Appling County,19,,,TRUE
Atkinson County,19.41111111,,,TRUE
Atlanta Public Schools,19,,,TRUE
Bacon County,19.41111111,,,TRUE
Baker County,19.41111111,,,TRUE
Baldwin County,15.6,,,TRUE
Banks County,20.1,,,TRUE
Barrow County,19.3,,,TRUE
Bartow County,20.2,,,TRUE
Ben Hill County,16,,,TRUE
Berrien County,21.1,,,TRUE
Bibb County,17.7,,,TRUE
Bleckley County,19,,,TRUE
Brantley County,20.7,,,TRUE
Bremen City,22.8,,,TRUE
Brooks County,16.8,,,TRUE
Bryan County,21.9,,,TRUE
Buford City,24.1,,,TRUE
Bulloch County,19.9,,,TRUE
Burke County,17.7,,,TRUE
Butts County,18.2,,,TRUE
Calhoun City,20.5,,,TRUE
Calhoun County,19.41111111,,,TRUE
Camden County,20.8,,,TRUE
Candler County,17.9,,,TRUE
Carroll County,19.9,,,TRUE
Carrollton City,20.9,,,TRUE
Cartersville City,21,,,TRUE
Catoosa County,19.9,,,TRUE
Charlton County,19.41111111,,,TRUE
Chattahoochee County,19.41111111,,,TRUE
Chattooga County,19.1,,,TRUE
Cherokee County,22.3,,,TRUE
Chickamauga City,21,,,TRUE
Clarke County,18.5,,,TRUE
Clay County,19.41111111,,,TRUE
Clayton County,17.4,,,TRUE
Clinch County,19.41111111,,,TRUE
Cobb County,22.5,,,TRUE
Coffee County,19.9,,,TRUE
Colquitt County,18.6,,,TRUE
Columbia County,22.7,,,TRUE
Commerce City,20.6,,,TRUE
Cook County,17.3,,,TRUE
Coweta County,21.3,,,TRUE
Crawford County,17.9,,,TRUE
Crisp County,18.9,,,TRUE
Dade County,19.9,,,TRUE
Dalton Public Schools,19.8,,,TRUE
Dawson County,21.3,,,TRUE
Decatur City,24.9,,,TRUE
Decatur County,19.1,,,TRUE
DeKalb County,20,,,TRUE
Dodge County,18.6,,,TRUE
Dooly County,15.9,,,TRUE
Dougherty County,16.9,,,TRUE
Douglas County,19.1,,,TRUE
Dublin City,16.7,,,TRUE
Early County,16.6,,,TRUE
Echols County,17.2,,,TRUE
Effingham County,21.4,,,TRUE
Elbert County,17.5,,,TRUE
Emanuel County,19.2,,,TRUE
Evans County,19.41111111,,,TRUE
Fannin County,21.6,,,TRUE
Fayette County,22.9,,,TRUE
Floyd County,19.8,,,TRUE
Forsyth County,24.6,,,TRUE
Franklin County,18.6,,,TRUE
Fulton County,23.5,,,TRUE
Gainesville City,19.8,,,TRUE
Gilmer County,19.7,,,TRUE
Glascock County,19.41111111,,,TRUE
Glynn County,20.8,,,TRUE
Gordon County,19.4,,,TRUE
Grady County,18,,,TRUE
Greene County,17.5,,,TRUE
Griffin-Spalding County,18,,,TRUE
Gwinnett County,22.5,,,TRUE
Habersham County,25.8,,,TRUE
Hall County,21.1,,,TRUE
Hancock County,15.6,,,TRUE
Haralson County,20.3,,,TRUE
Harris County,20.7,,,TRUE
Hart County,18.8,,,TRUE
Heard County,18.5,,,TRUE
Henry County,19.3,,,TRUE
Houston County,20.5,,,TRUE
Irwin County,17.6,,,TRUE
Jackson County,20.6,,,TRUE
Jasper County,18.2,,,TRUE
Jeff Davis County,17.8,,,TRUE
Jefferson City,22.7,,,TRUE
Jefferson County,19.41111111,,,TRUE
Jenkins County,17.9,,,TRUE
Johnson County,17.2,,,TRUE
Jones County,18.9,,,TRUE
Lamar County,18.4,,,TRUE
Lanier County,19.41111111,,,TRUE
Laurens County,20,,,TRUE
Lee County,19.7,,,TRUE
Liberty County,18.3,,,TRUE
Lincoln County,18.5,,,TRUE
Long County,18.1,,,TRUE
Lowndes County,21.3,,,TRUE
Lumpkin County,20.2,,,TRUE
Macon County,16.5,,,TRUE
Madison County,20.3,,,TRUE
Marietta City,21.8,,,TRUE
Marion County,18,,,TRUE
McDuffie County,17.9,,,TRUE
McIntosh County,19.41111111,,,TRUE
Meriwether County,17.4,,,TRUE
Miller County,19.41111111,,,TRUE
Mitchell County,17,,,TRUE
Monroe County,19.9,,,TRUE
Montgomery County,19.41111111,,,TRUE
Morgan County,20.2,,,TRUE
Murray County,19,,,TRUE
Muscogee County,19.2,,,TRUE
Newton County,17.7,,,TRUE
Oconee County,23.5,,,TRUE
Oglethorpe County,20,,,TRUE
Paulding County,19.8,,,TRUE
Peach County,17.4,,,TRUE
Pelham City,17.8,,,TRUE
Pickens County,22.9,,,TRUE
Pierce County,20.3,,,TRUE
Pike County,19.5,,,TRUE
Polk County,19.6,,,TRUE
Pulaski County,19.41111111,,,TRUE
Putnam County,18.5,,,TRUE
Quitman County,19.41111111,,,TRUE
Rabun County,20.4,,,TRUE
Randolph County,19.41111111,,,TRUE
Richmond County,17.1,,,TRUE
Rockdale County,19.3,,,TRUE
Rome City,19.3,,,TRUE
Savannah-Chatham County,19.4,,,TRUE
Schley County,20.1,,,TRUE
Screven County,20.8,,,TRUE
Seminole County,19.41111111,,,TRUE
Social Circle City,21.3,,,TRUE
Stephens County,20.2,,,TRUE
Stewart County,19.41111111,,,TRUE
