SCHOOL_DSTRCT_NM,slope,intercept,r2,p-value,std error
Appling County,0.041249765499999924,1.5600983038333334,0.8082988768853662,0.40077712764776685,0.0300467112584574
Atkinson County,0.250621593,4.504777995333333,0.9891743235996364,0.09375948550997733,0.03718001788318751
Atlanta Public Schools,0.0026877635000000025,0.0641502045,0.7683681776468032,0.44213802302605826,0.00223875794119613
Bacon County,0.286644656,3.4058618236666667,0.9330248636480457,0.23431827387140072,0.11054170418288171
Baker County,0.3802852049999998,27.570322298333334,0.07858435107772474,0.949920012999985,4.824232250281562
Baldwin County,0.039338548500000015,0.9816101458333335,0.6201765825593158,0.5741218820631298,0.049759385881394
Banks County,0.0032210169999999927,2.250290948,0.058990369288037234,0.9624237496346201,0.05450733407325028
Barrow County,0.009160965500000007,0.4108087708333333,0.8950883260499742,0.29422469716612754,0.0045635413611766545
Bartow County,0.0054196585000000075,0.3954267401666667,0.3020912538114979,0.8046305326736773,0.017102271694661046
Ben Hill County,0.12883620100000015,2.261119524333333,0.999435450739166,0.02139274311611569,0.004330995931077397
Berrien County,0.0995671414999999,2.081460508166667,0.8970231530963378,0.2914500931509508,0.049058978021128685
Bibb County,0.02193072700000001,0.21733383266666667,0.7988446053382151,0.41088987219931217,0.01651404212567393
Bleckley County,0.11975008350000005,2.8909613821666666,0.6837369171275743,0.5207071819261326,0.12780509355306358
Brantley County,0.14753792499999996,2.146662231666667,0.8967211359955684,0.2918848082719998,0.07282051279837211
Bremen City,0.14014903150000002,2.8836964278333337,0.9170388612352327,0.2611449767315348,0.06094739833190598
Brooks County,0.10663219999999995,2.586710256,0.9595479778992925,0.18169384948974796,0.031287419377762436
Bryan County,0.020799217999999953,0.563800109,0.8175727135198998,0.39063837728426476,0.014649115885701834
Buford City,-0.06938494,0.9702974813333334,-0.8570186030047501,0.34462820010874906,0.04171794076954439
Bulloch County,0.002466163500000007,0.5463034858333333,0.15518817765343293,0.9008032211208206,0.015698913323544998
Burke County,-0.02840728249999996,0.5952848118333333,-0.8858102032585637,0.3072067703909365,0.014881669398704995
Butts County,0.026204542499999928,1.5470856061666667,0.52624011902918,0.647202610755812,0.04234315366472496
Calhoun City,0.025113929999999948,1.2241048750000003,0.8058009828515592,0.4034702043671137,0.018456329837615804
Calhoun County,1.3850476150000004,12.308975891666666,0.9992106950395064,0.02529566533971265,0.055062931516344574
Camden County,0.03981709449999998,0.5899041508333334,0.7884368549201579,0.42178142023870835,0.031064149079737913
Candler County,-0.011708220000000047,2.9986464226666665,-0.14030379079114602,0.9103841590402801,0.08262362765262544
Carroll County,0.016979526999999994,0.3948585126666667,0.7693513161837016,0.44115918557055794,0.014098841034736142
Carrollton City,0.01614361049999996,0.9704883911666666,0.6812729335827343,0.5228533908755739,0.017346350562412828
Cartersville City,-0.0013535565000000194,1.1076871475,-0.04539631213177963,0.9710898745145428,0.029785702748762105
Catoosa County,0.01940419900000001,0.6397343400000001,0.856437869760231,0.345345007623388,0.01169661011759573
Charlton County,0.3125646070000001,3.533342684,0.928834072708545,0.2416245379547575,0.12467665789960508
Chattahoochee County,0.4996688604999995,7.220546466500002,0.9812579499410371,0.1234480709177239,0.09812465763550726
Chattooga County,0.15174410150000006,2.5021136708333334,0.7441163799257402,0.4657415700023999,0.13623224934792602
Cherokee County,0.004192795000000006,0.11247505033333333,0.8886682399945195,0.3032625259384492,0.002163472332119213
Chickamauga City,0.3428284355,4.862726421166666,0.9401092124128495,0.2214454966553274,0.1243058676795996
Clarke County,0.03856586849999999,0.38692713716666666,0.978446653062259,0.1324145237973749,0.008139270764110891
Clay County,-0.38821768500000076,49.08840319833334,-0.5147319747329802,0.655782872354526,0.6466256128895133
Clayton County,0.009577273500000004,0.09278184383333332,0.9993571874313062,0.02282761648597307,0.00034356469071206006
Clinch County,0.325633823,4.706230063666666,0.8699813259701917,0.32826144966602216,0.18456148607366285
Cobb County,0.002429523499999999,0.0395226565,0.9407936403053128,0.22016369003221542,0.0008753880044247504
Coffee County,0.037214609499999995,0.8678979895000001,0.8224378789246515,0.3852268369092664,0.02574019844289529
Colquitt County,0.08225803650000002,0.7335761791666666,0.998862677448625,0.03036533772811003,0.003926502311757165
Columbia County,0.0038636370000000027,0.17840902399999997,0.6250000359049198,0.5701978879020552,0.004825680611374111
Commerce City,0.1614673369999997,4.034388494000001,0.920236804703969,0.25599193612979904,0.0686694786782518
Cook County,0.06349876349999994,2.1641141121666667,0.8616594982301728,0.3388508334086223,0.03739851753593801
Coweta County,0.004702724499999991,0.21225069883333336,0.6777441311668606,0.525915422119809,0.005102077526469206
Crawford County,0.023878611500000035,3.7405567441666667,0.0518230308512955,0.9669936488500237,0.460153044597282
Crisp County,0.06535150050000005,1.7506076281666667,0.9956594675443646,0.059336761426718884,0.006108849956226934
Dade County,0.143055296,2.6911701296666664,0.9727836069976725,0.14886765614502925,0.034075536781072786
Dalton Public Schools,0.036847878,0.7270186513333334,0.8585333422437706,0.3427521850864432,0.022007339411424402
Dawson County,-0.011411335000000022,1.3773291793333333,-0.2125194653514185,0.8636662183542057,0.05246890657183347
Decatur City,0.0223016875,0.9111794435,0.94085450685727,0.22004935134040518,0.00803105453905499
Decatur County,0.1374494409999999,1.1385016416666667,0.8915379597311823,0.2992539227590002,0.06983120787880831
DeKalb County,0.003960519499999999,0.04621695116666667,0.9975078533448006,0.04495439462577138,0.00028013468073783164
Dodge County,0.241126293,2.2376812416666665,0.9899582337711725,0.0902951177693681,0.03443140393999577
Dooly County,-0.14583857649999965,4.403648740166666,-0.8287154325586541,0.3781443654059153,0.09849159548584224
Dougherty County,0.042346148500000014,0.42369790116666667,0.9999999910818633,8.50221695792776e-05,5.655434520407828e-06
Douglas County,0.004546134500000007,0.20813715283333328,0.9797625465256401,0.12829454859001352,0.0009287651915118751
Dublin City,0.09027639300000001,2.015028203,0.9497635341212116,0.2026468043081328,0.029748099059704314
Early County,0.3047286630000001,3.124956591,0.957573976946379,0.18610533201974438,0.09170990094855133
Echols County,0.2656672974999994,8.406695750499999,0.437749296037279,0.711551496474992,0.545656367220865
Effingham County,0.003280537999999999,0.49846276866666667,0.14916330723018134,0.9046839765286157,0.021746884580637282
Elbert County,0.07877661600000008,2.2606721463333335,0.7707671377333992,0.4397463642919512,0.06511683693523246
Emanuel County,0.10077372149999997,1.6147402358333334,0.7954593893293165,0.41445924803951134,0.07677270661975777
Evans County,0.20332287199999996,3.405337247666667,0.9835177569746063,0.11574482976158995,0.03737921989186546
Fannin County,0.013461074500000001,1.6965922128333335,0.4515407938935408,0.7017490806957283,0.02659925811568195
Fayette County,0.008649955500000014,0.24454996783333327,0.9246186004125108,0.24876763008771952,0.003563327053126608
Floyd County,0.025440175499999995,0.6914712911666666,0.865196044594356,0.33438779417756476,0.014744129553476985
Forsyth County,-0.0007902884999999998,0.0913458165,-0.18881788914871975,0.8790688266547932,0.00411016609264039
Franklin County,0.026156150000000045,1.8163629946666666,0.2556893559396066,0.8353951493517331,0.09889615145899135
Fulton County,0.0028262374999999985,0.03888791983333334,0.9305053009991223,0.23873644859403173,0.0011125028732295844
Gainesville City,0.011137074999999996,0.5860112153333332,0.5828502820574716,0.6038748107985736,0.015526731018790013
Gilmer County,0.012864850000000037,1.1728443923333334,0.2756621686219803,0.8222057892562697,0.04486069326630306
Glascock County,1.0098363099999998,12.980943943333333,0.9283000563346758,0.24254048173018242,0.4044914253891704
Glynn County,0.017125455499999997,0.2960416485,0.8189011244371512,0.38916730108454883,0.012002537921609617
Gordon County,0.04130262299999998,0.9567511256666666,0.8593315419817531,0.3417598765179467,0.02458066692613858
Grady County,0.08379249199999994,1.3656860693333335,0.9883613299039447,0.09722297785917668,0.012896999846877664
Greene County,0.06412528900000003,1.5489710843333335,0.6190230435421801,0.57505747795007,0.08135764862336245
Griffin-Spalding County,0.06003464099999999,0.5834854526666666,0.9936426878136367,0.07182278438255854,0.006801929220850259
Gwinnett County,0.0006827129999999997,0.028234298333333338,0.6115555519612038,0.5810881701696875,0.0008832616187208251
Habersham County,0.026170410000000033,0.9256323406666664,0.7794224178534944,0.4310253010566127,0.021035742624167277
Hall County,0.0028589870000000073,0.19146296366666665,0.28438104787251894,0.8164238399724342,0.009638276733597571
Hancock County,0.4441418429999997,6.594855660333334,0.5699025146751708,0.6139619101592315,0.6403846470051615
Haralson County,-0.024096929000000156,2.6220123896666667,-0.12571716298714095,0.9197536342902126,0.19015499866443886
Harris County,0.009568129500000022,0.9227267834999999,0.28908424577138975,0.8132984544485762,0.03168489992336303
Hart County,0.01958994699999994,1.4789688180000002,0.5512537040283219,0.6282992790659301,0.029649924687880642
Heard County,0.19776891549999995,2.7708926711666666,0.9400131500098265,0.22162483443994302,0.07177190412473317
Henry County,-0.002386269499999996,0.11684978616666666,-0.39574934054715843,0.7409698143549048,0.005537472375572099
Houston County,0.012251960499999992,0.20318649916666667,0.9915581604574243,0.08277890202707042,0.0016021472856763167
Irwin County,0.16890017299999993,4.551357081333333,0.7484400287346048,0.4616063504600829,0.14966464717270803
Jackson County,-0.009594343499999991,0.6445793264999999,-0.3007999931554412,0.8054926789604393,0.03041889375863753
Jasper County,0.011448869000000084,2.6785403176666667,0.2522237287052382,0.8376762210975921,0.0439241583835435
Jeff Davis County,0.009049910000000105,2.3563306959999997,0.4791489797308255,0.6818907190978933,0.016578163223920268
Jefferson City,-0.014162943999999955,1.3488425263333332,-0.8288055639633617,0.37804182952373083,0.009561575750335796
Jefferson County,0.20819528199999993,2.792834478333334,0.8272312578666551,0.37982930097773365,0.1414077756435909
Jenkins County,0.30313499850000003,6.341709472833333,0.6819556696651209,0.5222593818228163,0.3251105314227955
Johnson County,0.5237054774999996,6.632191778833333,0.9876671263289026,0.10008629584631067,0.08301957129180886
Jones County,0.031043426500000026,1.3741904251666668,0.707702637934656,0.49946331416447176,0.030991129859142645
Lamar County,-0.1355024359999999,2.117240693,-0.6831441230577057,0.5212241425522612,0.14485260241999168
Lanier County,0.08821514899999983,4.663329137000001,0.5570024367184069,0.6239027922009468,0.13153199028830517
Laurens County,0.03133745199999993,1.0971101093333333,0.9299402309673576,0.23971666660068933,0.012391244475169037
Lee County,0.06164493250000002,0.8559735465,0.9861831128249565,0.10595014313893514,0.010355106456244509
Liberty County,0.02770052249999999,0.5859528475000001,0.6842471574427587,0.5202618991511362,0.029522389456792267
Lincoln County,0.07482349750000017,5.852038520833334,0.2127315924244208,0.8635280138475232,0.34367644811500647
Long County,0.028944594500000084,1.7102446555,0.832839703692824,0.3734271228449466,0.019236889792376925
Lowndes County,0.021114350500000045,0.5285685011666665,0.955467326984212,0.19070387430331626,0.006521185435578436
Lumpkin County,-0.06595915149999998,1.4845663858333331,-0.9959673918565393,0.057191855289078004,0.00594154885932289
Macon County,0.1517946535000001,3.944640806166666,0.476140591606806,0.6840706684268194,0.28034479899671816
Madison County,0.019189887500000058,1.5339563738333335,0.48707410023756453,0.6761283176724457,0.034408917590386535
Marietta City,0.025639614999999946,0.5224370353333334,0.9423059041539683,0.21730577550216604,0.009108441814212005
Marion County,0.4013575794999999,4.969919074166667,0.9800275394985533,0.12744898910771985,0.0814412798305807
McDuffie County,0.14416198400000002,1.6739626386666666,0.9254542005127431,0.24736728341933978,0.05901657535293474
