SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,TOTAL_Grad_Rate,PERCENT_Grad_Rate,TOTAL_COUNT_Grad_Rate,Percent Direct Certified,ACT Composite,STUDENT_COUNT_ALL_Attendance,FIVE_OR_FEWER_PERCENT_ALL_Attendance,SIX_TO_FIFTEEN_PERCENT_ALL_Attendance,OVER_15_PERCENT_ALL_Attendance,CHRONIC_ABSENT_PERC_ALL_Attendance,PROGRAM_PERCENT_Dropout,Teachers_Percent_Inexp,HOPE_ELIGIBLE_PCT,Debt Services_Expenditures_Per Student,Federal_Revenues_Per Student,General Administration_Expenditures_Per Student,Instruction_Expenditures_Per Student,Instructional Support_Expenditures_Per Student,Local_Revenues_Per Student,Maintenance and Operations_Expenditures_Per Student,Media_Expenditures_Per Student,Other_Revenues_Per Student,Pupil Services_Expenditures_Per Student,Renovation and Capital Projects_Expenditures_Per Student,School Administration_Expenditures_Per Student,School food Services_Expenditures_Per Student,State Lottery_Revenues_Per Student,State Other_Revenues_Per Student,State QBE_Revenues_Per Student,Transportation_Expenditures_Per Student,Debt Services_Expenditures_Dollars per FTE,Federal_Revenues_Dollars per FTE,General Administration_Expenditures_Dollars per FTE,Instruction_Expenditures_Dollars per FTE,Instructional Support_Expenditures_Dollars per FTE,Local_Revenues_Dollars per FTE,Maintenance and Operations_Expenditures_Dollars per FTE,Media_Expenditures_Dollars per FTE,Other_Revenues_Dollars per FTE,Pupil Services_Expenditures_Dollars per FTE,Renovation and Capital Projects_Expenditures_Dollars per FTE,School Administration_Expenditures_Dollars per FTE,School food Services_Expenditures_Dollars per FTE,State Lottery_Revenues_Dollars per FTE,State Other_Revenues_Dollars per FTE,State QBE_Revenues_Dollars per FTE,Transportation_Expenditures_Dollars per FTE,SAT Combined Score
601,Appling County,220,90.16,244,42.7,18.8,3628,45.8,41.2,13,13.1,0.9,31.65255797,42.34,0,0,219.8418275,6116.264074,370.6731064,4233.710609,688.6431781,163.8435639,0,291.9462569,0,486.4229548,7.7594129,0,157.4035088,5297.802646,595.0718495,0,0,232.26,6461.8,391.61,4472.89,727.55,173.1,0,308.44,0,513.9,8.2,0,166.3,5597.1,628.69,1002
602,Atkinson County,105,89.74,117,44.9,18,1727,58,33.9,8.1,8.9,1.812686567,37.41734734,48.11,0,0,354.3041691,5607.573399,369.9516966,1554.688332,685.9467516,219.0664042,0,256.4126462,0,660.3967921,8.758425014,0,165.6419456,7352.63231,600.7654835,0,0,373.1,5905.05,389.58,1637.16,722.34,230.69,0,270.02,0,695.43,9.22,0,174.43,7742.68,632.64,952
761,Atlanta Public Schools,2506,77.95,3215,49.8,18.6,58359,45.8,35.9,18.3,21,4.1,62.56715053,36.24,16.5204947,20.83655186,271.5298794,8696.843385,1003.445298,10404.67158,1363.595157,110.8380605,66.93653661,760.314307,0,677.440031,1.354018575,0,42.33650748,3231.130914,571.7601712,18.76,23.66,308.27,9873.53,1139.21,11812.43,1548.09,125.83,75.99,863.19,0,769.1,1.54,0,48.06,3668.31,649.12,964
603,Bacon County,143,94.08,152,42.8,19.11411043,2220,44.7,42.1,13.2,14,1.812686567,41.4507772,39.19,0,111.3466441,362.6725045,5838.65841,279.1231622,1863.570288,793.5355225,165.073,1.590540541,440.3125586,0,588.0331171,3.310941441,0,172.4990315,6954.783784,523.6696757,0,118.78,386.9,6228.65,297.77,1988.05,846.54,176.1,1.7,469.72,0,627.31,3.53,0,184.02,7419.33,558.65,1019
604,Baker County,20,86.96,23,68.3,19.11411043,297,51.2,36.7,12.1,11.8,1.812686567,62.5,36.36,0,0,1801.138519,8004.371246,802.5562626,8502.30596,1692.261178,531.5301347,0,827.773468,0,637.9541751,8.100909091,0,94.86198653,6766.319865,1148.310337,0,0,1959.48,8708.05,873.11,9249.76,1841.03,578.26,0,900.54,0,694.04,8.81,0,103.2,7361.16,1249.26,1001.5625
605,Baldwin County,273,90.7,301,54.8,16.4,5209,51.9,35.4,12.7,11.9,1.7,65.61181435,32.96,0,0,384.6133116,5076.700094,467.886938,3703.617026,731.7994605,146.3298407,0,290.8251872,11.13995009,621.0527337,11.09641198,0,67.1957439,4608.134959,543.5561874,0,0,414.28,5468.27,503.97,3989.28,788.24,157.62,0,313.26,12,668.95,11.95,0,72.38,4963.56,585.48,915
606,Banks County,168,85.28,197,27,20.1,2935,35.8,45.9,18.3,16.5,1.3,35.13513514,50,0,0,267.9002828,6424.552664,235.5840988,2898.720845,748.2676695,178.9145588,0,281.3705486,17.95482453,510.3941942,6.061083475,0,358.323356,6172.759455,658.8631721,0,0,282.63,6777.88,248.54,3058.14,789.42,188.75,0,296.84,18.94,538.46,6.39,0,378.03,6512.24,695.1,1055
607,Barrow County,801,87.64,914,23.3,18.8,14551,48.1,39,12.9,12.9,1.4,47.52475248,40.59,0,0,217.4924514,5636.507925,351.2898103,3061.98242,643.811459,141.1528967,0.687237991,308.1398433,0,536.2924782,3.925922617,0,85.221158,5707.495361,561.857816,0,0,226.33,5865.47,365.56,3186.36,669.96,146.89,0.72,320.66,0,558.08,4.09,0,88.68,5939.34,584.68,983
608,Bartow County,866,89.19,971,27.5,20,14202,45,40.3,14.7,15.3,0.9,34.80600687,51.29,0,9.134640896,143.2914167,5690.411644,173.8618828,3763.763752,714.478998,141.9095557,28.02432756,313.5179524,0,652.6847641,5.867799606,0,90.83113505,5082.352486,504.7415237,0,9.84,154.38,6130.73,187.32,4055,769.76,152.89,30.19,337.78,0,703.19,6.32,0,97.86,5475.62,543.8,1035
609,Ben Hill County,193,88.53,218,46.1,17.8,3116,50.4,37.6,12,11.8,1.812686567,35.60473269,41,0,0,387.842163,5960.869272,69.68239089,2117.269307,780.2779525,136.3665116,3.091476252,257.565154,0,689.5331483,6.751578947,0,96.51567715,6718.421694,521.4221598,0,0,407.18,6258.11,73.16,2222.85,819.19,143.17,3.25,270.41,0,723.92,7.09,0,101.33,7053.44,547.42,937
