SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2018-19 5 year grad rate PROGRAM_TOTAL,2018-19 5 year grad rate PROGRAM_PERCENT,2018-19 5 year grad rate TOTAL_COUNT,2018-19 Attendance STUDENT_COUNT_ALL,2018-19 Attendance FIVE_OR_FEWER_PERCENT_ALL,2018-19 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2018-19 Attendance OVER_15_PERCENT_ALL,2018-19 Attendance CHRONIC_ABSENT_PERC_ALL,2018-19 Completers PROGRAM_TOTAL,2019-20 Completers PROGRAM_TOTAL,2021-22 Completers PROGRAM_TOTAL,2018-19_Debt Services_x,2018-19_General Administration_x,2018-19_Instruction_x,2018-19_Instructional Support_x,2018-19_Maintenance and Operations_x,2018-19_Media_x,2018-19_Pupil Services_x,2018-19_Renovation and Capital Projects_x,2018-19_School Administration_x,2018-19_School food Services_x,2018-19_Transportation_x,2018-19_Debt Services_y,2018-19_General Administration_y,2018-19_Instruction_y,2018-19_Instructional Support_y,2018-19_Maintenance and Operations_y,2018-19_Media_y,2018-19_Pupil Services_y,2018-19_Renovation and Capital Projects_y,2018-19_School Administration_y,2018-19_School food Services_y,2018-19_Transportation_y,2018-19 SAT DSTRCT_AVG_SCORE_VAL
694,Macon County,109,87.2,125,1322,38.6,39,22.4,20.5,105,87,81,0,1274617.13,7005959.97,677149.25,1921655.27,234500.82,505690.03,0,1084721.78,14184.07,694617.71,0,1037.12,5700.54,550.98,1563.59,190.81,411.46,0,882.61,11.54,565.19,937
695,Madison County,319,94.94,336,5112,47.5,40.6,11.9,11.6,326,297,266,0,1877572.86,32553533.62,2036825.04,3597058.41,918981.08,3083996.37,56607,3472870.35,68714.5,2664641.46,0,383.65,6651.72,416.19,734.99,187.78,630.16,11.57,709.62,14.04,544.47,1065
781,Marietta City,540,81.94,659,9721,56.7,33.4,9.9,12,530,544,536,0,2746878.66,65392537.15,6398630.44,7115236.31,1383210.38,6157814.11,0,6718733.7,38118.54,4834258.03,0,303.66,7228.89,707.34,786.56,152.91,680.72,0,742.73,4.21,534.41,1040
696,Marion County,117,87.97,133,1382,57.3,32.6,10.1,11.6,102,110,85,0,626537.38,6750583.51,981494.73,1404372.71,203959.04,362824.57,0,874102.96,3991.31,1204230.35,0,482.32,5196.75,755.58,1081.12,157.01,279.31,0,672.9,3.07,927.04,973
697,McDuffie County,245,83.9,292,3888,52.5,33.4,14.1,13.2,250,226,193,0,1009397.37,19888154.41,1580167.11,3274852.28,813131.76,1489802.33,0,2495402.56,17997.35,2406698.14,0,274.59,5410.27,429.86,890.87,221.2,405.28,0,678.84,4.9,654.71,948
698,McIntosh County,75,78.95,95,1371,27.6,48.9,23.6,22,76,88,71,0,637973.99,7350902.99,716583.16,2116369.13,264642.47,502372.38,0,1004429.24,12916.42,824251.09,0,506.73,5838.68,569.17,1680.99,210.2,399.02,0,797.8,10.26,654.69,957
699,Meriwether County,134,84.81,158,2629,44.8,40.9,14.4,15.5,128,156,143,0,1317730.09,14149905.34,685540.13,2740361.02,271493.35,1660019.97,0,2290768.97,23048.2,2527441.91,0,550.89,5915.51,286.6,1145.64,113.5,693.99,0,957.68,9.64,1056.62,918
700,Miller County,64,84.21,76,933,39.2,41.2,19.6,21.2,63,57,50,0,742410.65,4839451.59,8543.88,946442.22,108935.86,224146.09,0,726968.99,6679.8,765507.65,0,860.27,5607.71,9.9,1096.69,126.23,259.73,0,842.37,7.74,887.03,951
701,Mitchell County,125,95.42,131,2280,77,20,2.9,3.2,116,70,57,0,696350.97,8728921.37,1339546.21,1803363.58,303782.44,851334.47,0,1217138.57,24747.55,1368168.52,0,318.84,3996.76,613.35,825.72,139.09,389.81,0,557.3,11.33,626.45,966
702,Monroe County,263,86.8,303,4074,59,33.5,7.6,7.5,269,278,252,0,1830264.93,26530081.02,1070988.88,4394131.61,772294.67,1371026.19,50142.8,2386322.67,25181.2,4352235.11,0,474.04,6871.3,277.39,1138.08,200.02,355.1,12.99,618.06,6.52,1127.23,1061
703,Montgomery County,71,82.56,86,919,50.6,38,11.4,9.8,72,50,68,0,365093.5,5264508.53,386911.29,893678.09,192017.63,332908.75,0,745340.23,6531.02,592429.91,0,431.04,6215.48,456.8,1055.11,226.7,393.04,0,879.98,7.71,699.44,955
704,Morgan County,200,93.02,215,3161,53,36.9,10.2,8.7,200,208,209,267836.49,1369443.47,22885036.02,1443337.89,2310097.9,525161.97,1580681.95,2477240.83,2074717.31,60756.56,2162321.95,88.66,453.31,7575.32,477.77,764.68,173.84,523.23,820.01,686.77,20.11,715.76,1012
705,Murray County,421,95.9,439,7580,46.8,39.4,13.9,18,418,424,389,0,880853.94,38592421.12,2566845.49,5057820.55,911758.67,1892563.71,0,3759607,25357.84,3088059.38,0,123.47,5409.65,359.8,708.97,127.8,265.29,0,527,3.55,432.87,968
706,Muscogee County,1997,87.59,2280,34819,46,39.3,14.7,17.1,1911,1905,1738,0,4976148.05,188672508.5,14789356.51,28593453.91,5209257.95,9718910.07,0,20622237.5,0,15688587.59,0,159.78,6058.07,474.87,918.1,167.26,312.06,0,662.16,0,503.74,1028
