SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,2018-19 5 year grad rate PROGRAM_TOTAL,2018-19 5 year grad rate PROGRAM_PERCENT,2018-19 5 year grad rate TOTAL_COUNT,2018-19 Attendance STUDENT_COUNT_ALL,2018-19 Attendance FIVE_OR_FEWER_PERCENT_ALL,2018-19 Attendance SIX_TO_FIFTEEN_PERCENT_ALL,2018-19 Attendance OVER_15_PERCENT_ALL,2018-19 Attendance CHRONIC_ABSENT_PERC_ALL,2018-19 Completers PROGRAM_TOTAL,2019-20 Completers PROGRAM_TOTAL,2021-22 Completers PROGRAM_TOTAL,2018-19_Debt Services_x,2018-19_General Administration_x,2018-19_Instruction_x,2018-19_Instructional Support_x,2018-19_Maintenance and Operations_x,2018-19_Media_x,2018-19_Pupil Services_x,2018-19_Renovation and Capital Projects_x,2018-19_School Administration_x,2018-19_School food Services_x,2018-19_Transportation_x,2018-19_Debt Services_y,2018-19_General Administration_y,2018-19_Instruction_y,2018-19_Instructional Support_y,2018-19_Maintenance and Operations_y,2018-19_Media_y,2018-19_Pupil Services_y,2018-19_Renovation and Capital Projects_y,2018-19_School Administration_y,2018-19_School food Services_y,2018-19_Transportation_y,2018-19 SAT DSTRCT_AVG_SCORE_VAL
601,Appling County,221,90.57,244,3628,45.8,41.2,13,13.1,222,204,220,0,797586.15,22189806.06,1344802.03,2498397.45,594424.45,1059181.02,0,1764742.48,28151.15,2158920.67,0,232.26,6461.8,391.61,727.55,173.1,308.44,0,513.9,8.2,628.69,1002
602,Atkinson County,109,93.16,117,1727,58,33.9,8.1,8.9,106,117,90,0,611883.3,9684279.26,638906.58,1184630.04,378327.68,442824.64,0,1140505.26,15125.8,1037521.99,0,373.1,5905.05,389.58,722.34,230.69,270.02,0,695.43,9.22,632.64,952
761,Atlanta Public Schools,2590,80.69,3210,58359,45.8,35.9,18.3,21,2489,2577,2695,964119.55,15846212.23,507539083.1,58560064.15,79578049.77,6468398.37,44371182.64,0,39534722.77,79019.17,33367351.83,18.76,308.27,9873.53,1139.21,1548.09,125.83,863.19,0,769.1,1.54,649.12,964
603,Bacon County,144,94.74,152,2220,44.7,42.1,13.2,14,148,117,141,0,805132.96,12961821.67,619653.42,1761648.86,366462.06,977493.88,0,1305433.52,7350.29,1162546.68,0,386.9,6228.65,297.77,846.54,176.1,469.72,0,627.31,3.53,558.65,1019
604,Baker County,20,86.96,23,297,51.2,36.7,12.1,11.8,22,11,17,0,534938.14,2377298.26,238359.21,502601.57,157864.45,245848.72,0,189472.39,2405.97,341048.17,0,1959.48,8708.05,873.11,1841.03,578.26,900.54,0,694.04,8.81,1249.26,
605,Baldwin County,274,91.33,300,5209,51.9,35.4,12.7,11.9,270,236,230,0,2003450.74,26444530.79,2437223.06,3811943.39,762232.14,1514908.4,58028,3235063.69,57801.21,2831384.18,0,414.28,5468.27,503.97,788.24,157.62,313.26,12,668.95,11.95,585.48,915
606,Banks County,175,90.21,194,2935,35.8,45.9,18.3,16.5,172,204,167,0,786287.33,18856062.07,691439.33,2196165.61,525114.23,825822.56,52697.41,1498006.96,17789.28,1933763.41,0,282.63,6777.88,248.54,789.42,188.75,296.84,18.94,538.46,6.39,695.1,1055
607,Barrow County,815,90.96,896,14551,48.1,39,12.9,12.9,818,800,863,0,3164732.66,82016826.81,5111618.03,9368100.54,2053915.8,4483742.86,0,7803591.85,57126.1,8175593.08,0,226.33,5865.47,365.56,669.96,146.89,320.66,0,558.08,4.09,584.68,983
608,Bartow County,881,91.11,967,14202,45,40.3,14.7,15.3,891,817,884,0,2035024.7,80815226.17,2469186.46,10147030.73,2015399.51,4452581.96,0,9269429.02,83334.49,7168339.12,0,154.38,6130.73,187.32,769.76,152.89,337.78,0,703.19,6.32,543.8,1035
609,Ben Hill County,193,87.33,221,3116,50.4,37.6,12,11.8,200,176,176,0,1208516.18,18574068.65,217130.33,2431346.1,424918.05,802573.02,0,2148585.29,21037.92,1624751.45,0,407.18,6258.11,73.16,819.19,143.17,270.41,0,723.92,7.09,547.42,937
610,Berrien County,190,87.56,217,3265,41.9,43.9,14.2,15.1,196,184,196,0,823901.37,16074226.35,965673.16,1696886.92,433999.88,627836.78,0,1471598.78,21435.7,2157810.28,0,271.56,5298.03,318.28,559.29,143.05,206.93,0,485.04,7.07,711.21,1002
611,Bibb County,1397,81.6,1712,25998,51,35.3,13.8,15.7,1344,1176,1093,600000,6299558.09,140660976.9,15002960.14,20026045.6,4414499.62,7795658.4,2273.76,16183360.22,0,10347935.17,25.99,272.9,6093.44,649.93,867.53,191.24,337.71,0.1,701.06,0,448.27,933
612,Bleckley County,171,93.44,183,2600,56.4,35.1,8.5,9,178,183,169,0,800890,13994878.58,412746.38,1790244.72,300996.25,732677.45,0,1540265.26,23991.88,1834843.71,0,330.13,5768.71,170.13,737.94,124.07,302.01,0,634.9,9.89,756.32,1087
613,Brantley County,209,86.72,241,3546,50.2,38.5,11.3,11.6,210,240,225,0,955865.84,18083096.95,1181537.71,3372823.66,661461.25,892237.54,0,2463729.37,26370.35,2705538.53,0,290.89,5503.07,359.57,1026.42,201.3,271.53,0,749.77,8.03,823.35,1041
763,Bremen City,192,97.96,196,2313,64.2,31.6,4.2,4.2,193,169,181,0,1061525.03,13436903.55,554017,1917721.9,328026.01,670598.07,0,1507981.6,13299.69,171048.86,0,472,5974.61,246.34,852.7,145.85,298.18,0,670.51,5.91,76.06,1042
614,Brooks County,131,92.91,141,2342,45.4,38.3,16.4,17.5,144,125,140,0,1749276.93,11670013.38,173334.24,2265672.03,293552.33,1457167.37,0,1954339.77,21163.7,1638346.41,0,833.78,5562.45,82.62,1079.92,139.92,694.55,0,931.53,10.09,780.91,947
615,Bryan County,656,91.24,719,9958,51.7,39.3,8.9,8.6,656,663,698,0,1132874.3,51537774.83,3896404.62,6333905.8,1254667.2,2848866.6,0,5124080.31,29512.08,4245261.03,0,119.73,5446.82,411.8,669.4,132.6,301.09,0,541.54,3.12,448.66,1063
764,Buford City,325,93.39,348,5113,63.7,31.9,4.5,4.1,328,319,393,0,3541210.81,34755480.78,309922.78,3823576.88,615394.17,2650029.27,59269.8,3385270.19,12916.61,1939873.19,0,697.09,6841.63,61.01,752.67,121.14,521.66,11.67,666.39,2.54,381.86,1112
616,Bulloch County,630,81.19,776,11180,45.3,41.1,13.5,14.7,633,619,648,0,1292616.03,61691757.22,3623720.58,7438476.09,1344557.69,3867736.3,0,7386913.15,71617.04,5805599.09,0,126.94,6058.31,355.86,730.48,132.04,379.82,0,725.42,7.03,570.13,1043
617,Burke County,268,93.38,287,4197,56.6,35.1,8.3,8.6,258,258,284,0,2808921.33,30793340.27,1238864.95,4928653.24,696215.3,1682767.87,0,3955575.46,21414.59,5898678.99,0,716.93,7859.45,316.2,1257.95,177.7,429.5,0,1009.59,5.47,1505.53,969
618,Butts County,217,85.43,254,3657,53.7,34.9,11.5,12.9,213,208,228,0,1240692.69,18807077.82,1280389.3,2156335.54,489998.58,1832003.38,0,2671764.32,39856.63,2240002.86,0,371.13,5625.81,383.01,645.03,146.57,548.01,0,799.21,11.92,670.06,951
765,Calhoun City,253,98.06,258,4146,52.9,38,9.1,9,252,267,300,0,1038119.59,20033745.91,1637101.49,3011148.69,387274.75,1198284.04,0,2114734.92,28627.04,1147443.05,0,255.32,4927.14,402.63,740.57,95.25,294.71,0,520.1,7.04,282.2,1026
619,Calhoun County,47,90.38,52,561,69.7,23.2,7.1,5.5,45,53,28,0,1151677.56,2902079.52,128094.87,699721.52,177610.92,146613.07,0,719060.61,3782.48,583917.76,0,2185.35,5506.79,243.06,1327.74,337.02,278.2,0,1364.44,7.18,1108,888
620,Camden County,555,95.85,579,9953,48.8,37.8,13.3,14.2,556,567,560,0,1181600.31,52447647.96,3449240.12,6371187.21,1606624.65,3314316.57,0,5819962.19,41889.33,3731118.99,0,129.76,5759.68,378.79,699.67,176.44,363.97,0,639.13,4.6,409.74,1048
621,Candler County,117,93.6,125,2236,58.5,34.9,6.6,7.3,117,128,153,0,845002.53,11352349.38,574446.35,1539201.7,279543.82,544195.76,0,1172028.8,14091.59,860306.98,0,396.9,5332.24,269.82,722.97,131.3,255.61,0,550.51,6.62,404.09,998
622,Carroll County,979,94.04,1041,15871,45.3,41.7,13.1,13.6,981,962,925,422702.66,1928540.09,87079774.12,3405217.82,12360705.52,2296921.09,4372228.74,493037.18,10633289.81,84423.26,8660799.97,28.81,131.43,5934.29,232.06,842.35,156.53,297.96,33.6,724.63,5.75,590.21,1022
766,Carrollton City,372,93,400,5428,46.2,40.6,13.2,12.5,389,384,423,0,2102728.25,29287460.74,2105360.32,4093343.38,513289.53,672574.88,180598.71,3633032.04,46372.78,1706720.73,0,405.23,5644.14,405.74,788.85,98.92,129.62,34.8,700.14,8.94,328.91,1033
767,Cartersville City,285,91.64,311,4670,61.3,31.5,7.2,7.4,282,324,332,0,1289253.07,26503127.81,2044650.88,3345000.46,306783.59,2082199,0,2425559.29,24549.02,1915191.35,0,286.95,5898.76,455.07,744.49,68.28,463.43,0,539.85,5.46,426.26,1074
623,Catoosa County,721,88.57,814,11069,50.8,36.4,12.8,12.7,722,776,781,0,1921838.19,71327711.52,2591999.38,8515873.27,1755349.24,4560522.03,0,7984772.96,59042.21,5699442.2,0,183.77,6820.4,247.85,814.29,167.85,436.08,0,763.51,5.65,544.98,1129
624,Charlton County,110,91.67,120,1786,47.8,40,12.2,12.7,111,89,101,0,808984.75,9226984.52,422356.16,1820923.15,469264.11,627438.4,0,1188992.06,8775.13,1063980.56,0,495.09,5646.87,258.48,1114.4,287.19,383.99,0,727.66,5.37,651.15,989
626,Chattahoochee County,94,79.66,118,971,50.5,38.1,11.4,13.2,95,102,91,0,976761.37,4400964.89,292532.76,953096.88,103619.43,533578.83,0,983218.62,7517.23,499617.56,0,1104.93,4978.47,330.92,1078.16,117.22,603.6,0,1112.24,8.5,565.18,994
627,Chattooga County,193,87.73,220,2896,46.9,38.5,14.6,18.5,197,175,137,0,686948.11,16851592.52,1539532.21,1978609.77,512000.34,819459.65,0,1900186.71,23143.61,1694518.3,0,260.9,6400.15,584.71,751.47,194.46,311.23,0,721.68,8.79,643.57,986
628,Cherokee County,2939,88.93,3305,44422,53.4,37.8,8.9,8.9,2961,2984,2937,11560247.21,6148626.21,268385070.7,18311077.75,26735820.48,4718228.64,16237168.47,340061.06,25336246.85,164219.42,23672804.76,269.45,143.31,6255.62,426.8,623.17,109.97,378.46,7.93,590.55,3.83,551.78,1096
769,Chickamauga City,106,100,106,1346,61.5,32.2,6.2,4.8,104,101,106,0,809736.43,7423228.53,50930.45,1081637.87,190288.53,268160.8,0,898937.26,13263.44,95297.04,0,607.91,5572.99,38.24,812.04,142.86,201.32,0,674.88,9.96,71.54,1150
629,Clarke County,649,85.85,756,13829,50.2,34.9,14.8,16.5,618,584,621,0,3022787.3,96364250.4,9761338.57,14829810.39,1887583.54,5387278.55,102626.13,9113343.24,72430.59,9959873.73,0,234.34,7470.68,756.75,1149.69,146.34,417.65,7.96,706.52,5.62,772.14,957
630,Clay County,,,,202,54,38.6,7.4,7.4,,,,0,365841.14,1589481.48,174768.37,216075.27,56269.39,94805.73,0,439654.45,8289.81,309930.31,0,1988.27,8638.49,949.83,1174.32,305.81,515.25,0,2389.43,45.05,1684.4,
631,Clayton County,2971,76.02,3908,63489,49.8,35.1,15,18.6,2948,2976,3325,0,13616016.36,279159654.8,21485156.55,38291462.92,6281590.03,14177608.6,0,31327166.35,259324.35,22719911.33,0,246.83,5060.63,389.48,694.15,113.87,257.01,0,567.9,4.7,411.87,947
632,Clinch County,87,89.69,97,1378,50.2,40.2,9.6,10.4,87,97,69,0,724377.91,7716052.11,398315.43,1374045.56,185631.66,799684.88,0,848009.03,11744.18,720495.92,0,568.59,6056.56,312.65,1078.53,145.71,627.7,0,665.63,9.22,565.54,982
633,Cobb County,8134,89.51,9087,119817,56.6,33.7,9.7,10.3,8124,8344,8168,0,20146991.94,767179589.5,42171312.12,70851266.22,16509872.19,27644623.76,2371744.97,70788629.78,385773.82,55013441.67,0,177.47,6757.92,371.48,624.11,145.43,243.52,20.89,623.56,3.4,484.6,1079
634,Coffee County,447,86.29,518,7972,49.9,37.4,12.7,14.1,453,428,445,0,1564324.01,41490871.66,2670415.57,4931293.19,1447712.96,4424266.89,0,3892298.78,46974.21,4180235.79,0,210.43,5581.23,359.22,663.34,194.74,595.14,0,523.58,6.32,562.31,1006
635,Colquitt County,581,86.98,668,9922,47.8,39.7,12.5,13.5,594,522,460,0,2208159.15,53713776.33,2513529.86,9722964.44,1316046.15,5578658.95,0,5353912.36,81380.56,4411033.43,0,237.51,5777.54,270.36,1045.82,141.56,600.05,0,575.88,8.75,474.46,986
636,Columbia County,1930,93.28,2069,29097,55.6,35.6,8.8,8.6,1877,1849,1871,0,2532557.89,165641254.2,10466996.1,20317052.32,4300083.23,5242686.7,0,16021996.94,117909.78,11516378.08,0,92.29,6036.49,381.45,740.42,156.71,191.06,0,583.89,4.3,419.69,1085
771,Commerce City,114,95.8,119,1784,53.5,38,8.5,8.7,117,88,110,21843.05,693594.98,10786525.09,243048.6,1436404.5,356107.59,455107.41,0,1191199.74,43362.39,495198.62,13.05,414.33,6443.56,145.19,858.07,212.73,271.87,0,711.59,25.9,295.82,1024
637,Cook County,183,89.27,205,3172,52.6,38.1,9.3,9.1,183,202,197,269689.41,1383455.57,16894020.31,364355.35,2768199.98,434290.94,1331686.79,0,1719722.03,13302.56,1830935.31,89.96,461.46,5635.1,121.53,923.35,144.86,444.19,0,573.62,4.44,610.72,999
638,Coweta County,1624,88.79,1829,23799,46.7,39.8,13.5,12.7,1624,1604,1617,0,2298647.41,138774280.9,4740201.88,16829071.22,3071822.62,8304831.11,175311,16926637.39,106906.03,11524520.13,0,102.68,6198.88,211.74,751.73,137.21,370.97,7.83,756.09,4.78,514.79,1057
639,Crawford County,97,72.93,133,1774,37.8,46.8,15.4,16.9,90,97,114,0,904808.27,9607814.84,162142.56,1315568.02,267624.46,667684.36,0,1248049.2,18080.44,1063026.25,0,545.39,5791.33,97.74,792.99,161.32,402.46,0,752.29,10.9,640.76,1010
640,Crisp County,235,87.36,269,3929,37.3,41.1,21.6,18.6,234,266,226,0,1201748.64,21430422.66,1386095.57,3804253.44,854775.59,1730352.96,0,2529312.26,33547,2319516.08,0,321.32,5730.06,370.61,1017.18,228.55,462.66,0,676.29,8.97,620.19,994
641,Dade County,118,84.89,139,2181,33.9,48.9,17.2,16.6,119,147,149,0,782814.85,13274960.56,429466.65,1513947.82,431489.46,503197.16,0,1471938.49,19883.18,995948.66,0,384.11,6513.72,210.73,742.86,211.72,246.91,0,722.25,9.76,488.69,1017
772,Dalton Public Schools,559,84.7,660,8097,56.6,34.9,8.5,8.6,563,527,543,0,1317963.88,51963114.28,4531738.77,6453280.79,1375123.26,2724667.38,0,4350307.29,0,3078004.28,0,165.12,6510.04,567.74,808.48,172.28,341.35,0,545.01,0,385.62,958
642,Dawson County,252,96.92,260,3725,41.8,44,14.1,12.8,255,263,287,0,1097759.91,25135030.83,3245332.71,4135333.88,960727.5,1722000.35,0,2799351.94,51140.31,2542243.69,0,313.65,7181.44,927.24,1181.52,274.49,492,0,799.81,14.61,726.36,1034
773,Decatur City,317,96.06,330,5701,61.3,31.9,6.8,6,314,304,398,288756,1831157.78,41944381.64,3326074.61,6045947.53,1183547.86,3435306.56,0,5470654.83,958735.44,1477448.24,51.57,327.05,7491.41,594.05,1079.83,211.39,613.56,0,977.08,171.23,263.88,1139
643,Decatur County,382,86.82,440,5277,41.5,38.2,20.3,21.5,382,345,343,0,674903.29,26583994.8,1108364.75,4511135.54,1018160.65,1824013.52,0,2974755.62,45114.79,2183654.34,0,138.87,5469.96,228.06,928.22,209.5,375.31,0,612.09,9.28,449.31,956
644,DeKalb County,5607,76.92,7289,110413,50.6,34.2,15.1,17.3,5464,5398,5478,0,25211425.63,713891749.5,38618619.49,111573825.2,13885138.88,67539232.02,0,69291220.16,325438.9,65456085.63,0,252.53,7150.57,386.82,1117.56,139.08,676.5,0,694.04,3.26,655.63,969
645,Dodge County,200,91.32,219,3238,42.6,44.6,12.8,12.8,199,204,196,0,789618.89,17891517.61,785391.56,1916315.65,469259.67,1469166.93,0,1493589.61,31317.75,1735343.53,0,264.17,5985.79,262.76,641.12,157,491.52,0,499.7,10.48,580.58,991
646,Dooly County,88,84.62,104,1272,42.6,39.9,17.5,14.5,85,75,73,0,774443.73,6901403.52,389548.53,1195187.2,242569.42,280492.3,0,996490.86,15306.38,858260.47,0,653.54,5823.97,328.73,1008.6,204.7,236.7,0,840.92,12.92,724.27,975
647,Dougherty County,851,87.28,975,15195,60.6,28.2,11.3,12.6,795,767,726,0,4899376.5,76739102.66,12345557.08,15734889.09,2560521.44,4601259.16,0,10224309.07,85730.83,6280587.41,0,352.65,5523.58,888.62,1132.58,184.3,331.19,0,735.93,6.17,452.07,916
648,Douglas County,1944,89.92,2162,29253,49.1,38.2,12.7,12.7,1934,2039,1909,0,4314822.47,169487712.2,14067339.27,17363636.84,5036864.54,8918482.61,0,19774656.07,107619.54,14084764.1,0,160.75,6314.51,524.1,646.91,187.66,332.27,0,736.73,4.01,524.75,986
774,Dublin City,169,88.95,190,2492,42.3,38.8,18.9,20.7,168,141,119,0,1333264.24,11531533.64,1001826.29,2256422.11,377058.42,846338.46,0,1477147.44,14308.56,1210312.45,0,601.38,5201.41,451.88,1017.78,170.08,381.75,0,666.28,6.45,545.92,871
649,Early County,129,88.97,145,2037,40.8,42.3,16.9,16.3,124,160,133,0,660884.66,13041287.3,466924.64,2335503.26,373558.59,631437.19,0,1475689.16,31996.94,910022.47,0,342.43,6757.14,241.93,1210.11,193.55,327.17,0,764.61,16.58,471.51,987
650,Echols County,62,100,62,867,51.9,38.2,9.9,7.6,64,43,51,0,571137.81,4917852.1,78003.49,727543.65,138163.48,204988.55,0,505187.61,9637.07,582859.65,0,681.55,5868.56,93.08,868.19,164.87,244.62,0,602.85,11.5,695.54,959
651,Effingham County,815,91.47,891,12974,46,43.9,10.1,10.3,813,756,788,17352.77,3554631.16,74455563.53,4712203.58,7824492.46,2029681.74,4671889.94,368150.38,7720808.38,64994.85,5965969.81,1.42,291.43,6104.42,386.34,641.51,166.41,383.04,30.18,633.01,5.33,489.13,1072
652,Elbert County,165,93.75,176,3042,46.4,38.6,15,13.7,170,152,158,16706.32,1039573.96,17833317.11,1344755.09,2107849.63,526346.21,1641449.29,0,2468881.54,19245.22,1957504.54,5.77,358.97,6157.91,464.35,727.85,181.75,566.8,0,852.51,6.65,675.93,1008
653,Emanuel County,222,85.38,260,4260,46.9,37.6,15.5,16.1,216,233,213,0,1283097.41,23219688.68,998992.18,2819674.1,660742.31,2045692.6,126573,2632035.36,27618.07,2073432.45,0,315.96,5717.73,246,694.33,162.7,503.74,31.17,648.12,6.8,510.57,1012
654,Evans County,97,85.84,113,1970,44.8,38.3,17,18.1,97,109,114,0,635286.68,8782742.99,857813.08,1909507.07,330921.89,832244.38,0,1504301.46,21226.83,1034174,0,347.34,4801.94,469.01,1044.02,180.93,455.03,0,822.47,11.61,565.43,1038
655,Fannin County,186,95.88,194,3109,43.5,39.9,16.7,16,188,217,179,0,1214924.6,21265731.5,1396022.54,2829610.85,729541.08,1202690.93,0,2417127.88,17636.7,2402985.28,0,411.42,7201.4,472.75,958.22,247.05,407.28,0,818.53,5.97,813.74,1061
656,Fayette County,1671,92.94,1798,21174,53.5,37.2,9.4,9.3,1696,1595,1566,0,2917856.93,141175215.6,11890075.66,14841650.77,3399227.72,12236314.45,0,13816214.68,62553.23,8214235.11,0,143.38,6937.02,584.25,729.28,167.03,601.26,0,678.9,3.07,403.63,1111
657,Floyd County,602,93.92,641,9967,58.4,33,8.7,9.6,603,611,535,0,2758468.46,65011331.77,3451857.39,9305497.05,1477861.43,3093048.25,0,7309202.13,114058.22,5483422.3,0,295.85,6972.47,370.21,998.02,158.5,331.73,0,783.91,12.23,588.1,1047
658,Forsyth County,3405,95.97,3548,51013,55.9,37.3,6.7,5.7,3409,3517,3946,2369950,3957526.78,324890570.5,18645924.38,35470617.79,3575448.34,8821910.18,1950,27002311.42,128234.87,21553365.42,47.97,80.11,6576.2,377.42,717.97,72.37,178.57,0.04,546.56,2.6,436.27,1133
659,Franklin County,236,91.83,257,3879,43.9,41.3,14.8,17.3,237,248,232,0,963456.61,25028984.86,1859684.97,2420163.03,621579.75,1495131.31,0,2279735.74,25632.94,3136487.25,0,266.96,6935.16,515.29,670.59,172.23,414.28,0,631.68,7.1,869.07,993
660,Fulton County,7056,89.12,7917,101671,54.1,35.3,10.6,12.2,7033,6640,6955,0,24545810.46,648201294.9,76544190.18,84288773.79,15326802.71,64982069.88,6872347.02,60161479.23,11278.28,56319065.57,0,261,6892.39,813.9,896.25,162.97,690.96,73.07,639.7,0.12,598.85,1036
776,Gainesville City,455,83.03,548,8452,50.5,35.7,13.8,13.9,454,465,493,0,2470290.28,46415973.96,3193609.06,6138708.34,974238.72,2238031.6,0,4713344.27,42417.11,3633935.92,0,290.49,5458.13,375.54,721.86,114.56,263.17,0,554.25,4.99,427.32,971
661,Gilmer County,281,93.05,302,4326,35.6,44.5,19.8,19.6,288,263,256,806.25,1201552.6,25959138.23,1117620.99,4034981.39,737108.37,1481480.7,0,2866897.44,34228.34,2705252.64,0.19,286.9,6198.46,266.86,963.46,176,353.74,0,684.55,8.17,645.95,1021
662,Glascock County,33,91.67,36,560,38.9,45.7,15.4,13.6,33,35,36,0,505763.51,3179477.67,177118.09,540795.74,126877.3,238965.46,0,327612.28,4282.41,439792.55,0,919.57,5780.87,322.03,983.26,230.69,434.48,0,595.66,7.79,799.62,1027
663,Glynn County,755,93.21,810,14065,48.7,39.2,12.1,13.5,765,781,785,16812.12,2478245.78,86784765.83,6507736.82,12431691.84,2148762.59,3860047.84,0,7267717.28,74137.06,5846645.43,1.3,190.94,6686.55,501.41,957.83,165.56,297.41,0,559.96,5.71,450.47,1040
664,Gordon County,463,93.35,496,6810,47.7,38.3,14,14.6,465,463,435,0,1325312.31,38729245.29,2232284.05,5693371.36,888644.04,1899657.01,0,4705937.99,27896.8,3400732.35,0,205.89,6016.66,346.79,884.48,138.05,295.12,0,731.08,4.33,528.31,997
665,Grady County,281,90.94,309,4767,50.5,37.7,11.7,11,277,251,270,0,790461.2,25354096.73,1696909.2,3284079.42,848518.49,1489609.49,0,2843194.11,27998.94,1789367.17,0,174.53,5598.17,374.68,725.12,187.35,328.9,0,627.78,6.18,395.09,974
666,Greene County,121,85.82,141,2576,51.6,35.6,12.8,11.7,123,141,136,0,1347267,13571024.71,963980.99,2066583.37,557811.12,826435.62,0,1641844.1,26068.53,1744604.44,0,547.89,5518.92,392.02,840.42,226.84,336.09,0,667.69,10.6,709.48,956
726,Griffin-Spalding County,635,89.19,712,11027,45.8,39.1,15.1,16.6,637,631,557,0,2222255.31,57777249.86,6511489.33,8474517.35,1668642.99,2130708.34,0,8583702.59,66707.02,5302203.52,0,224.09,5826.08,656.6,854.54,168.26,214.85,0,865.55,6.73,534.66,959
667,Gwinnett County,12072,84.45,14295,195746,59.7,31.4,8.9,9.4,11603,12023,12474,0,38517034.9,1093668247,94084680.84,122409402.8,23222805.23,54878944.94,62076.75,143281328,467121.1,113509355.4,0,207.74,5898.52,507.43,660.2,125.25,295.98,0.33,772.76,2.52,612.19,1069
668,Habersham County,421,93.35,451,7272,54.5,36.1,9.3,10.2,436,432,469,698.75,1048952.01,45833437.38,3056664.3,8445771.6,1630161.93,1801252.29,0,4803373.14,36685,4280505.06,0.1,151.65,6626.2,441.91,1221.02,235.67,260.41,0,694.43,5.3,618.84,1029
669,Hall County,1810,89.74,2017,28732,43.2,42.1,14.6,13.6,1821,1966,1878,0,3650703.35,170976922.8,12535140.79,16755016.15,4661138.98,11329768.08,0,16830354.06,125352.74,15792758.74,0,130.71,6121.84,448.82,599.91,166.89,405.66,0,602.61,4.49,565.46,1024
670,Hancock County,64,82.05,78,850,39.3,41.1,19.6,20.4,66,54,42,0,644065.2,4892315.1,868256.82,1723174.42,171536.74,300145.48,0,862754.79,11417.49,779351.91,0,814.24,6184.97,1097.67,2178.48,216.86,379.45,0,1090.71,14.43,985.27,822
671,Haralson County,212,99.07,214,3499,52.3,40.4,7.3,12,204,213,208,0,1056118.67,22299195.14,1168240.01,2631715.63,684046.46,1048435.94,0,2288572.32,20084.95,1860815.69,0,332.43,7018.95,367.72,828.37,215.31,330.01,0,720.36,6.32,585.71,1003
672,Harris County,392,94,417,5481,57.6,34.4,8,7.6,384,383,360,0,1833409.21,32328006.36,1353407.2,3972508.28,895123.01,2672092.01,0,3676371.14,34275.23,4462238.07,0,349.15,6156.54,257.74,756.52,170.47,508.87,0,700.13,6.53,849.79,1043
673,Hart County,223,96.12,232,3637,46,41.7,12.2,10.8,224,217,231,0,789598.54,21180017.03,953169.87,3665697.68,512276.88,1429543.95,0,2262086.92,23734.67,2231695.72,0,228.27,6123.16,275.56,1059.76,148.1,413.28,0,653.97,6.86,645.19,959
674,Heard County,148,85.06,174,2129,49.8,39,11.2,11.5,149,138,155,0,1034576.11,11630592.59,666724.92,2119678.75,435132.59,621551.26,537050.96,1629260.36,11308.57,1120748.57,0,520.15,5847.46,335.21,1065.7,218.77,312.49,270.01,819.14,5.69,563.47,1000
675,Henry County,3273,88.6,3694,47507,48.9,39.3,11.8,13.9,3203,3336,3308,0,4959401.17,258272381.9,14438300.98,33340199.24,6084627.03,15620683.25,0,28742000.37,97776.07,20403426.49,0,115.85,6032.99,337.26,778.79,142.13,364.88,0,671.39,2.28,476.6,994
676,Houston County,1869,89.51,2088,31656,51.1,39.2,9.7,10.3,1872,1964,1887,0,4418022.05,181469873.9,11095021.38,23286015.44,4056044.01,11963526.37,0,20689301.7,0,14042014.28,0,152.16,6249.82,382.11,801.97,139.69,412.02,0,712.54,0,483.61,1042
